Ensayo,Tratamiento,Dia,Evento_Sin_muerte,Evento_Muerte_sin_hongo,Evento_Muerte_con_Bb,Evento_Muerte_con_hongo, Muertes,Supervivientes
14,Control Sacarosa 25%m/V,17/9,0,0,0,1,2,37
14,Control PGB,17/9,0,0,0,1,1,46
14,BbQ 450 μL,17/9,0,0,0,1,1,46
14,Bb 150 μL,17/9,0,0,0,1,5,52
14,Bb 300 μL,17/9,0,0,0,1,3,51
14,Bb 450 μL,17/9,0,0,0,1,1,29
14,Control Sacarosa 25%m/V,18/9,1,0,0,0,0,37
14,Control PGB,18/9,1,0,0,0,0,46
14,BbQ 450 μL,18/9,0,0,0,1,7,39
14,Bb 150 μL,18/9,0,0,0,1,1,51
14,Bb 300 μL,18/9,1,0,0,0,0,51
14,Bb 450 μL,18/9,1,0,0,0,0,29
14,Control Sacarosa 25%m/V,19/9,1,0,0,0,0,37
14,Control PGB,19/9,0,0,0,1,1,45
14,BbQ 450 μL,19/9,0,0,0,1,3,36
14,Bb 150 μL,19/9,0,1,0,0,13,38
14,Bb 300 μL,19/9,0,0,0,1,12,39
14,Bb 450 μL,19/9,1,1,0,0,0,29
14,Control Sacarosa 25%m/V,20/9,1,0,0,0,0,37
14,Control PGB,20/9,1,0,0,0,0,45
14,BbQ 450 μL,20/9,0,0,0,1,15,21
14,Bb 150 μL,20/9,0,0,0,1,6,32
14,Bb 300 μL,20/9,0,0,0,1,8,31
14,Bb 450 μL,20/9,0,0,0,1,10,19
14,Control Sacarosa 25%m/V,23/9,0,0,0,1,3,34
14,Control PGB,23/9,0,0,0,1,9,36
14,BbQ 450 μL,23/9,0,0,0,1,14,7
14,Bb 150 μL,23/9,0,0,0,1,14,18
14,Bb 300 μL,23/9,0,0,0,1,18,13
14,Bb 450 μL,23/9,0,0,0,1,14,5
14,Control Sacarosa 25%m/V,24/9,1,0,0,0,0,34
14,Control PGB,24/9,1,0,0,0,0,36
14,BbQ 450 μL,24/9,1,0,0,0,0,7
14,Bb 150 μL,24/9,1,0,0,0,0,18
14,Bb 300 μL,24/9,0,0,0,1,1,12
14,Bb 450 μL,24/9,0,0,0,1,1,4
14,Control Sacarosa 25%m/V,25/9,1,1,0,0,0,34
14,Control PGB,25/9,0,0,0,1,1,35
14,BbQ 450 μL,25/9,1,1,0,0,0,7
14,Bb 150 μL,25/9,1,0,0,0,0,18
