,Control Sacarosa 25%m/V,,Control PGB + Q,,Bb +Q N°2 150 uL,,Bb +Q N°2 300 uL,,Bb +Q N°2 450 uL,,Bb +Q N°2 600 uL,,Bb +Q N°2 750 uL
tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,1,1,1,1,1,1,1,1,1,1,1,1
3,0,1,1,2,1,1,1,1,1,1,1,1,1
4,0,1,1,2,1,2,1,1,1,1,1,1,1
5,0,2,1,2,1,2,1,1,1,1,1,1,1
6,0,2,1,3,1,2,1,1,1,1,1,1,1
7,0,3,1,3,1,2,1,1,1,1,1,1,1
7,0,3,1,3,1,2,1,1,1,1,1,1,1
7,0,4,1,3,1,2,1,2,1,2,1,2,1
7,0,4,1,3,1,2,1,2,1,2,1,2,1
7,0,5,0,3,1,3,1,2,1,3,1,2,1
7,0,6,0,3,1,3,1,2,1,3,1,2,1
7,0,7,1,3,1,3,1,2,1,3,1,2,1
7,0,7,1,3,1,3,1,2,1,3,1,2,1
7,0,7,1,3,1,3,1,2,1,3,1,2,1
7,0,7,1,3,1,3,1,3,1,3,1,2,1
7,0,7,1,3,1,3,1,3,1,3,1,2,1
7,0,7,1,3,1,3,1,3,1,3,1,3,1
7,0,7,0,3,1,3,1,3,1,3,1,3,1
7,0,7,0,3,1,3,1,3,1,3,1,3,1
7,0,7,0,3,1,3,1,3,1,3,1,3,1
7,0,7,0,3,1,3,1,3,1,3,1,3,1
7,0,7,0,3,1,3,1,3,1,3,1,3,1
7,0,7,0,3,1,3,1,3,1,3,1,3,1
7,0,7,0,3,1,3,1,3,1,3,1,3,1
7,0,7,0,3,1,3,1,3,1,3,1,3,1
7,0,7,0,3,1,3,1,3,1,3,1,3,1
7,0,7,0,3,1,3,1,3,1,3,1,3,1
7,0,7,0,3,1,3,1,3,1,3,1,3,1
7,0,7,0,3,1,3,1,3,1,3,1,3,1
7,0,7,0,3,1,3,1,3,1,4,1,3,1
7,0,7,0,3,1,3,1,3,1,4,1,3,1
7,0,7,0,3,1,3,1,3,1,4,1,3,1
7,0,7,0,3,1,3,1,3,1,4,1,3,1
7,0,7,0,3,1,3,1,3,1,4,1,3,1
7,0,7,0,3,1,3,1,3,1,4,1,3,1
7,0,7,0,3,1,3,1,3,1,4,1,3,1
7,0,7,0,3,1,3,1,4,1,5,0,3,1
7,0,7,0,3,1,3,1,4,1,6,0,3,1
7,0,7,0,3,1,3,1,4,1,7,1,3,1
7,0,7,0,3,1,3,1,4,1,7,1,3,1
7,0,7,0,3,1,3,1,4,1,7,1,3,1
7,0,7,0,4,1,4,1,4,1,7,1,3,1
7,0,7,0,4,1,4,1,4,1,7,1,3,1
7,0,7,0,4,1,4,1,4,1,7,1,3,1
7,0,7,0,4,1,4,1,4,1,7,1,3,1
7,0,7,0,4,1,4,1,4,1,7,1,3,1
7,0,7,0,4,1,4,1,4,1,7,1,3,1
7,0,7,0,4,1,4,1,4,1,7,0,3,1
7,0,7,0,4,1,4,1,4,1,7,0,3,1
7,0,7,0,4,1,4,1,4,1,7,0,3,1
7,0,7,0,4,1,4,1,4,1,7,0,3,1
7,0,7,0,4,1,4,1,4,1,7,0,3,1
7,0,7,0,4,1,4,1,4,1,7,0,3,1
7,0,7,0,4,1,4,1,4,1,7,0,3,1
7,0,7,0,4,1,4,1,4,1,7,0,3,1
7,0,7,0,4,1,4,1,4,1,,,3,1
7,0,7,0,5,0,4,1,4,1,,,3,1
7,0,7,0,6,0,4,1,4,1,,,3,1
7,0,7,0,7,1,5,0,4,1,,,4,1
7,0,7,0,7,1,6,0,4,1,,,4,1
7,0,7,0,7,1,7,1,4,1,,,4,1
7,0,7,0,7,1,7,1,4,1,,,4,1
7,0,7,0,7,1,7,1,5,0,,,4,1
7,0,7,0,7,1,7,1,6,0,,,4,1
7,0,7,0,7,1,7,1,7,1,,,4,1
7,0,7,0,7,1,7,1,7,1,,,4,1
7,0,7,0,7,1,7,1,7,1,,,4,1
7,0,7,0,7,1,7,1,7,1,,,4,1
