,Control Sacarosa 25%m/V,,Control PGB,,Bb 150 uL,,Bb 300 uL,,Bb 450 uL,,Bb  600 uL,,Bb 750 uL
tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,2,1,1,1,1,1,1,1
1,1,1,1,1,1,3,1,1,1,1,1,1,1
2,1,1,1,1,1,3,1,1,1,1,1,1,1
3,1,2,0,2,1,3,1,1,1,1,1,1,1
3,1,3,1,2,1,3,1,1,1,2,1,1,1
3,1,3,1,3,1,3,1,2,1,2,1,1,1
3,1,3,1,3,1,3,1,3,1,2,1,1,1
4,1,4,1,3,1,4,1,3,1,2,1,1,1
5,0,4,1,3,1,4,1,3,1,3,1,1,1
6,0,4,1,3,1,4,1,3,1,3,1,1,1
7,1,4,1,3,1,4,1,3,1,3,1,1,1
7,1,4,1,3,1,4,1,3,1,3,1,2,1
8,1,4,1,3,1,4,1,3,1,4,1,2,1
9,1,4,1,3,1,4,1,3,1,4,1,2,1
10,1,4,1,3,1,4,1,3,1,4,1,2,1
11,0,4,1,3,1,4,1,3,1,4,1,3,1
11,0,4,1,3,1,4,1,3,1,4,1,3,1
11,0,4,1,3,1,4,1,4,1,4,1,3,1
11,0,4,1,3,1,4,1,4,1,4,1,3,1
11,0,4,1,4,1,4,1,4,1,4,1,3,1
11,0,4,1,4,1,4,1,4,1,4,1,3,1
11,0,5,0,4,1,4,1,4,1,4,1,3,1
11,0,6,0,4,1,4,1,4,1,4,1,3,1
11,0,7,1,4,1,4,1,4,1,5,0,4,1
11,0,7,1,4,1,4,1,4,1,6,0,4,1
11,0,7,1,4,1,4,1,4,1,7,1,4,1
11,0,7,1,4,1,4,1,4,1,7,1,4,1
11,0,7,1,4,1,4,1,4,1,7,1,4,1
11,0,7,1,4,1,4,1,4,1,7,1,4,1
11,0,7,1,4,1,4,1,4,1,7,1,4,1
11,0,7,1,4,1,4,1,4,1,7,1,4,1
11,0,7,1,4,1,4,1,4,1,7,1,4,1
11,0,7,1,4,1,5,0,4,1,7,1,4,1
11,0,7,1,4,1,6,0,4,1,7,1,4,1
11,0,7,1,4,1,7,1,4,1,7,1,4,1
11,0,7,1,4,1,7,1,4,1,7,1,4,1
11,0,7,1,4,1,7,1,4,1,7,1,4,1
11,0,7,1,4,1,7,1,4,1,7,1,4,1
11,0,7,1,4,1,7,1,4,1,7,1,4,1
11,0,7,1,4,1,7,1,4,1,7,1,4,1
11,0,7,1,4,1,7,1,4,1,7,1,4,1
11,0,7,1,4,1,7,1,4,1,7,1,4,1
11,0,7,1,4,1,7,1,4,1,7,1,4,1
11,0,7,1,4,1,7,1,5,0,7,1,4,1
11,0,7,1,4,1,7,1,6,0,7,1,5,0
11,0,8,1,4,1,7,1,7,1,7,1,6,0
11,0,8,1,5,0,7,1,7,1,7,1,7,1
11,0,9,1,6,0,7,1,7,1,7,1,7,1
11,0,9,1,7,1,7,1,7,1,7,1,7,1
11,0,10,1,7,1,7,1,7,1,7,1,7,1
11,0,10,1,7,1,7,1,7,1,7,1,7,1
11,0,10,1,7,1,7,1,7,1,7,1,7,1
11,0,10,1,7,1,7,1,7,1,7,1,7,1
11,0,10,1,7,1,7,1,7,1,7,1,7,1
11,0,11,1,7,1,7,1,7,1,7,1,7,1
11,0,11,1,7,1,7,1,7,1,7,1,7,1
11,0,11,1,7,1,7,1,7,1,7,1,7,1
11,0,11,1,7,1,7,1,7,1,7,1,7,1
11,0,11,1,7,1,7,1,7,1,7,1,7,1
11,0,11,0,7,1,7,1,7,1,7,1,7,1
11,0,11,0,7,1,7,1,7,1,7,1,7,1
11,0,11,0,7,1,7,1,7,1,7,1,7,1
11,0,11,0,7,1,7,1,7,1,7,1,7,1
11,0,11,0,7,1,7,1,7,1,7,1,7,1
11,0,11,0,7,1,7,1,7,1,7,1,7,1
11,0,11,0,7,1,7,1,7,1,7,1,7,1
11,0,11,0,7,1,7,1,7,1,7,1,7,1
11,0,11,0,7,1,7,1,7,1,7,1,7,1
11,0,11,0,7,1,7,1,7,1,7,1,7,1
