,Control Agua,,Control Sacarosa 25%m/V,,Bb 100%,,Bb + Q 100%
tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas
0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0
3,1,3,1,3,1,3,1
3,1,3,1,3,1,3,1
3,1,3,1,3,1,3,1
3,1,3,1,3,1,3,1
3,1,3,1,3,1,3,1
3,1,3,1,3,1,3,1
3,1,3,1,3,1,3,1
3,1,3,1,3,1,3,1
3,1,4,0,3,1,3,1
4,1,5,0,3,1,3,1
5,0,6,0,3,1,3,1
6,0,7,0,3,1,3,1
7,0,8,0,3,1,3,1
8,0,9,0,3,1,3,1
9,0,10,0,3,1,3,1
10,0,10,0,3,1,3,1
10,0,10,0,3,1,3,1
10,0,10,0,3,1,3,1
10,0,10,0,3,1,3,1
10,0,10,0,4,1,3,1
10,0,10,0,5,0,4,0
10,0,10,0,6,0,5,0
10,0,10,0,7,0,6,0
10,0,10,0,8,0,7,0
10,0,10,0,9,0,8,0
10,0,10,0,10,0,9,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
10,0,10,0,10,0,10,0
,,10,0,10,0,10,0
,,10,0,10,0,,
,,10,0,10,0,,
,,10,0,10,0,,
,,10,0,10,0,,
,,,,10,0,,
,,,,10,0,,
,,,,10,0,,
,,,,10,0,,
,,,,10,0,,
