,Control Sacarosa 25%m/V,,Bb 100%,,Bb : Sac 75 : 25,,Bb : Sac 50 : 50,,Bb : Sac 25 : 75,,Bb + Q 100%,,Bb + Q : Sac 75 : 25,,Bb + Q : Sac 50 : 50,,Bb + Q : Sac 25 : 75
tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,5,0,1,1,1,1,1,1
1,1,2,1,1,1,1,1,1,1,6,0,1,1,1,1,2,0
1,1,3,0,1,1,1,1,2,1,7,1,1,1,1,1,3,0
1,1,4,0,1,1,1,1,2,1,7,1,1,1,1,1,4,1
1,1,5,0,1,1,2,1,2,1,8,1,1,1,1,1,5,0
1,1,6,0,1,1,3,0,2,1,8,1,1,1,1,1,6,0
1,1,7,1,1,1,4,1,3,1,9,0,1,1,1,1,7,0
2,1,7,1,1,1,5,0,4,1,10,0,2,1,1,1,8,0
2,1,7,1,1,1,6,0,4,1,11,0,2,1,1,1,9,0
2,1,7,1,1,1,7,0,5,0,11,0,3,1,1,1,10,0
3,1,8,1,1,1,8,0,6,0,11,0,4,1,1,1,11,0
4,1,8,1,2,1,9,0,7,0,11,0,5,0,2,1,11,0
5,0,8,1,3,0,10,1,8,1,11,0,6,0,2,1,11,0
6,0,8,1,4,0,11,0,9,0,11,0,7,1,2,1,11,0
7,1,8,1,5,0,11,0,10,0,11,0,7,1,2,1,11,0
8,0,9,1,6,0,11,0,11,0,11,0,8,1,3,0,11,0
9,1,9,1,7,0,11,0,11,0,11,0,8,1,4,0,11,0
10,0,9,1,8,0,11,0,11,0,11,0,9,0,5,0,11,0
11,0,9,1,9,0,11,0,11,0,11,0,10,0,6,0,11,0
11,0,9,1,10,1,11,0,11,0,11,0,11,0,7,0,11,0
11,0,9,1,10,1,11,0,11,0,11,0,11,0,8,0,11,0
11,0,9,1,11,0,11,0,11,0,11,0,11,0,9,0,11,0
11,0,9,1,11,0,11,0,11,0,11,0,11,0,10,0,11,0
11,0,9,1,11,0,11,0,11,0,11,0,11,0,11,0,11,0
11,0,9,1,11,0,11,0,11,0,11,0,11,0,11,0,11,0
11,0,10,1,11,0,11,0,11,0,11,0,11,0,11,0,11,0
11,0,10,1,11,0,11,0,11,0,11,0,11,0,11,0,11,0
11,0,10,1,11,0,11,0,11,0,11,0,11,0,11,0,11,0
11,0,10,1,11,0,11,0,11,0,11,0,11,0,11,0,11,0
11,0,10,1,11,0,11,0,11,0,11,0,11,0,11,0,11,0
11,0,10,1,11,0,11,0,11,0,11,0,11,0,11,0,11,0
11,0,10,1,11,0,11,0,11,0,11,0,11,0,11,0,11,0
