,Control Sacarosa 25%m/V,,Bb +   Q  N°1,,Bb +   Q  N°2
tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,2,0,1,1
1,1,3,0,1,1
1,1,4,0,2,0
2,0,5,0,3,0
3,0,6,1,4,1
4,0,7,0,4,1
5,0,8,0,4,1
6,1,9,0,4,1
6,1,10,0,4,1
6,1,11,1,4,1
6,1,12,0,4,1
7,1,13,0,4,1
8,0,14,0,4,1
9,0,15,0,5,1
10,0,16,0,5,1
11,1,17,0,5,1
11,1,18,0,5,1
11,1,18,0,5,1
11,1,18,0,5,1
12,1,18,0,5,1
12,1,18,0,5,1
13,1,18,0,5,1
13,1,18,0,5,1
14,0,18,0,5,1
15,0,18,0,5,1
16,0,18,0,5,1
17,0,18,0,5,1
18,0,18,0,5,1
18,0,18,0,5,1
18,0,18,0,5,1
18,0,18,0,5,1
18,0,18,0,5,1
18,0,18,0,5,1
18,0,18,0,5,1
18,0,18,0,5,1
18,0,18,0,5,1
18,0,18,0,5,1
18,0,18,0,5,1
18,0,18,0,5,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,6,1
18,0,18,0,7,1
18,0,18,0,7,1
18,0,18,0,7,1
18,0,18,0,7,1
18,0,18,0,7,1
18,0,18,0,7,1
18,0,18,0,7,1
18,0,18,0,7,1
18,0,18,0,7,1
18,0,18,0,7,1
18,0,18,0,7,1
18,0,18,0,7,1
18,0,18,0,7,1
18,0,18,0,8,1
18,0,18,0,8,1
18,0,18,0,8,1
18,0,18,0,8,1
18,0,18,0,9,0
18,0,18,0,10,0
18,0,18,0,11,1
18,0,18,0,11,1
18,0,18,0,11,1
18,0,18,0,11,1
18,0,18,0,11,1
18,0,18,0,11,1
18,0,18,0,11,1
18,0,18,0,11,1
18,0,18,0,11,1
18,0,18,0,11,1
18,0,18,0,11,1
18,0,18,0,11,1
18,0,18,0,12,1
18,0,18,0,12,1
18,0,18,0,12,1
18,0,18,0,12,1
18,0,18,0,12,1
18,0,18,0,13,1
18,0,18,0,13,1
18,0,18,0,13,1
18,0,18,0,13,1
18,0,18,0,13,1
18,0,18,0,13,1
18,0,18,0,13,1
18,0,18,0,13,1
18,0,18,0,13,1
18,0,18,0,13,1
18,0,18,0,13,1
18,0,18,0,13,1
18,0,18,0,13,1
18,0,18,0,13,1
18,0,18,0,13,1
,,18,0,13,1
,,18,0,14,1
,,18,0,14,1
,,18,0,14,1
,,18,0,14,1
,,18,0,14,1
,,,,14,1
,,,,15,0
,,,,16,0
,,,,17,0
,,,,18,0
,,,,18,
