,Control Sacarosa 25%m/V,,Bb +Q N°2 300 uL,,Bb +Q N°2 450 uL,,Bb +Q N°2 600 uL,,Bb +Q N°2 750 uL
tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas
0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,1,1,2,1,2,1
3,0,2,1,1,1,2,1,2,1
4,0,2,1,2,1,2,1,2,1
5,0,2,1,2,1,2,1,2,1
6,0,3,0,2,1,2,1,2,1
7,1,4,0,2,1,2,1,2,1
8,0,5,1,2,1,2,1,2,1
9,0,5,1,2,1,2,1,2,1
10,0,5,1,2,1,2,1,2,1
11,0,5,1,2,1,2,1,2,1
12,0,6,1,2,1,2,1,2,1
13,0,6,1,2,1,2,1,2,1
13,0,7,1,2,1,2,1,2,1
13,0,7,1,2,1,2,1,2,1
13,0,7,1,3,0,2,1,2,1
13,0,7,1,4,0,2,1,2,1
13,0,7,1,5,1,2,1,2,1
13,0,7,1,5,1,3,0,2,1
13,0,7,1,5,1,4,0,3,0
13,0,7,1,5,1,5,1,4,0
13,0,7,1,5,1,5,1,5,1
13,0,7,1,5,1,5,1,5,1
13,0,7,1,5,1,5,1,5,1
13,0,7,1,5,1,5,1,5,1
13,0,8,1,5,1,5,1,5,1
13,0,8,1,5,1,5,1,5,1
13,0,8,1,5,1,5,1,5,1
13,0,8,1,5,1,5,1,5,1
13,0,8,1,5,1,5,1,5,1
13,0,8,1,5,1,5,1,5,1
13,0,8,1,5,1,5,1,5,1
13,0,8,1,5,1,5,1,5,1
13,0,8,1,5,1,5,1,5,1
13,0,8,1,5,1,5,1,5,1
13,0,8,1,5,1,5,1,5,1
13,0,8,1,5,1,5,1,5,1
13,0,9,1,5,1,5,1,5,1
13,0,9,1,5,1,5,1,5,1
13,0,9,1,5,1,5,1,5,1
13,0,9,1,5,1,5,1,5,1
13,0,9,1,5,1,5,1,5,1
13,0,9,1,5,1,5,1,5,1
13,0,9,1,5,1,5,1,5,1
13,0,9,1,5,1,5,1,5,1
13,0,9,1,5,1,5,1,5,1
13,0,9,1,5,1,5,1,5,1
13,0,10,0,5,1,5,1,5,1
13,0,11,0,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,12,1,5,1,5,1,5,1
13,0,13,1,5,1,5,1,5,1
13,0,13,1,5,1,5,1,5,1
13,0,13,0,5,1,5,1,5,1
13,0,13,0,5,1,5,1,5,1
13,0,13,0,5,1,5,1,5,1
13,0,13,0,5,1,5,1,5,1
13,0,13,0,5,1,5,1,5,1
13,0,,,5,1,5,1,5,1
13,0,,,5,1,5,1,5,1
13,0,,,5,1,5,1,5,1
13,0,,,5,1,5,1,5,1
13,0,,,5,1,5,1,5,1
13,0,,,5,1,5,1,5,1
13,0,,,5,1,5,1,5,1
13,0,,,5,1,5,1,5,1
13,0,,,5,1,5,1,5,1
13,0,,,5,1,5,1,5,1
13,0,,,5,1,5,1,5,1
13,0,,,5,1,5,1,5,1
13,0,,,5,1,6,1,5,1
13,0,,,5,1,6,1,5,1
13,0,,,5,1,6,1,5,1
13,0,,,5,1,6,1,5,1
13,0,,,5,1,6,1,5,1
13,0,,,5,1,6,1,5,1
13,0,,,5,1,6,1,5,1
13,0,,,5,1,6,1,5,1
13,0,,,5,1,7,1,5,1
13,0,,,5,1,7,1,5,1
13,0,,,5,1,7,1,5,1
13,0,,,5,1,7,1,5,1
13,0,,,5,1,7,1,5,1
13,0,,,5,1,7,1,5,1
13,0,,,5,1,7,1,5,1
13,0,,,5,1,7,1,5,1
13,0,,,5,1,7,1,5,1
13,0,,,5,1,7,1,5,1
13,0,,,5,1,8,1,5,1
13,0,,,5,1,8,1,5,1
13,0,,,5,1,8,1,5,1
13,0,,,5,1,8,1,6,1
13,0,,,5,1,8,1,6,1
13,0,,,6,1,8,1,6,1
13,0,,,6,1,8,1,6,1
13,0,,,6,1,8,1,6,1
13,0,,,6,1,9,1,6,1
13,0,,,6,1,9,1,6,1
13,0,,,6,1,9,1,6,1
13,0,,,6,1,9,1,6,1
13,0,,,6,1,9,1,6,1
13,0,,,7,1,10,0,6,1
13,0,,,8,1,11,0,7,1
13,0,,,8,1,12,1,7,1
13,0,,,8,1,12,1,7,1
13,0,,,8,1,12,1,7,1
13,0,,,9,1,12,1,7,1
13,0,,,9,1,12,1,7,1
13,0,,,9,1,13,1,7,1
13,0,,,10,0,13,1,7,1
13,0,,,11,0,13,1,7,1
13,0,,,12,1,13,0,8,1
13,0,,,13,1,13,0,8,1
,,,,13,0,13,0,9,1
,,,,,,13,0,10,0
,,,,,,,,11,0
,,,,,,,,12,1
,,,,,,,,12,1
,,,,,,,,13,1
,,,,,,,,13,1
,,,,,,,,13,0
,,,,,,,,13,0
