,"Control Sacarosa 25%m/V (""Casa Patricia"")",,"Control Sacarosa 25%m/V (""Casa Dani"")",,"Bb+Q N°2 450 ul ""Casa Patricia""",,"Bb+Q N°2 450 ul ""Casa Dani"""
tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas,tiempo_dias,#Muertas
0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
2,0,1,1,1,1,1,1
3,0,1,1,1,1,1,1
4,0,1,1,2,1,1,1
5,0,1,1,2,1,1,1
6,0,1,1,2,1,1,1
7,1,1,1,2,1,1,1
7,1,1,1,2,1,1,1
7,1,2,1,2,1,1,1
7,1,2,1,2,1,1,1
7,1,2,1,2,1,1,1
7,1,2,1,2,1,1,1
8,0,2,1,3,1,1,1
8,0,3,0,3,1,2,1
8,0,4,0,3,1,2,1
8,0,5,0,3,1,2,1
8,0,6,0,3,1,2,1
8,0,7,1,3,1,2,1
8,0,7,1,3,1,2,1
8,0,8,0,3,1,2,1
8,0,8,0,3,1,2,1
8,0,8,0,3,1,2,1
8,0,8,0,3,1,2,1
8,0,8,0,3,1,2,1
8,0,8,0,3,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,2,1
8,0,8,0,4,1,3,1
8,0,8,0,4,1,3,1
8,0,8,0,4,1,3,1
8,0,8,0,4,1,3,1
8,0,8,0,4,1,3,1
8,0,8,0,4,1,3,1
8,0,8,0,4,1,3,1
8,0,8,0,4,1,3,1
8,0,8,0,4,1,3,1
8,0,8,0,4,1,3,1
8,0,8,0,4,1,3,1
8,0,8,0,4,1,3,1
8,0,8,0,4,1,3,1
8,0,8,0,4,1,3,1
8,0,8,0,5,0,3,1
8,0,8,0,6,0,4,1
8,0,8,0,7,1,4,1
8,0,8,0,7,1,4,1
8,0,8,0,7,1,4,1
8,0,8,0,7,1,4,1
8,0,8,0,7,1,4,1
8,0,8,0,7,1,4,1
8,0,8,0,7,1,5,0
8,0,8,0,7,1,6,0
8,0,8,0,7,1,7,1
8,0,8,0,7,1,7,1
8,0,8,0,7,1,7,1
8,0,8,0,7,1,7,1
8,0,8,0,7,1,7,1
8,0,8,0,7,1,7,1
8,0,8,0,7,1,7,1
8,0,8,0,7,1,7,1
8,0,8,0,7,1,7,1
8,0,8,0,7,1,7,1
8,0,8,0,7,1,7,1
8,0,8,0,7,1,8,1
8,0,8,0,7,1,8,1
8,0,8,0,7,1,8,1
8,0,8,0,7,1,8,1
8,0,8,0,7,1,8,
8,0,8,0,7,1,,
8,0,8,0,7,1,,
8,0,8,0,7,1,,
8,0,8,0,7,1,,
8,0,8,0,7,1,,
,,8,0,7,1,,
,,8,0,7,1,,
,,8,0,7,1,,
,,8,0,7,1,,
,,8,0,7,1,,
,,8,0,7,1,,
,,8,0,7,1,,
,,8,0,7,1,,
,,8,0,8,1,,
,,8,0,8,1,,
,,8,0,8,1,,
,,8,0,8,1,,
,,8,0,8,1,,
,,8,0,8,0,,
,,8,0,8,0,,
,,8,0,8,0,,
,,8,0,8,0,,
,,8,0,8,0,,
,,8,0,8,0,,
,,,,8,0,,
,,,,8,0,,
,,,,8,0,,
,,,,8,0,,
