locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	2959	2968	10	-	12.2114	1.77e-05	0.649	Promoter (<=1kb)	1	3335	3683	349	1	-376	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00001	NW_007930836.1	489	498	10	+	10.748	8.49e-05	0.805	Promoter (2-3kb)	1	3335	3683	349	1	-2837	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00001	NW_007930836.1	4276	4285	10	+	11.3577	4.71e-05	0.787	Promoter (<=1kb)	1	3335	3683	349	1	941	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00002	NW_007930836.1	7266	7275	10	-	10.6992	8.82e-05	0.822	Promoter (<=1kb)	1	5664	7104	1441	2	-171	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00003	NW_007930836.1	8587	8596	10	-	11.0976	6.27e-05	0.787	Promoter (<=1kb)	1	8108	8869	762	2	282	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00003	NW_007930836.1	9908	9917	10	-	10.6098	9.9e-05	0.841	Promoter (1-2kb)	1	8108	8869	762	2	-1048	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00005	NW_007930836.1	16143	16152	10	-	10.8862	7.32e-05	0.799	Promoter (<=1kb)	1	15330	20029	4700	1	822	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00005	NW_007930836.1	17915	17924	10	+	11.8455	3.18e-05	0.674	Promoter (2-3kb)	1	15330	20029	4700	1	2585	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00005	NW_007930836.1	14957	14966	10	-	10.9919	6.72e-05	0.787	Promoter (<=1kb)	1	15330	20029	4700	1	-373	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00005	NW_007930836.1	16169	16178	10	-	11.3333	4.82e-05	0.787	Promoter (<=1kb)	1	15330	20029	4700	1	848	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00006	NW_007930836.1	20688	20697	10	-	10.9919	6.72e-05	0.787	Promoter (<=1kb)	1	21184	22451	1268	1	-496	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00006	NW_007930836.1	18373	18382	10	-	11.2439	5.41e-05	0.787	Promoter (2-3kb)	1	21184	22451	1268	1	-2811	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00006	NW_007930836.1	20125	20134	10	-	11.8699	3.05e-05	0.667	Promoter (1-2kb)	1	21184	22451	1268	1	-1059	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00007	NW_007930836.1	23983	23992	10	-	11.9187	2.94e-05	0.667	Promoter (<=1kb)	1	23340	25184	1845	1	652	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00009	NW_007930836.1	28155	28164	10	+	10.6829	9.09e-05	0.827	Promoter (1-2kb)	1	26627	26932	306	1	1528	19883021	XM_008595106.1	XP_008593328.1	uncharacterized protein
BBA_00010	NW_007930836.1	30222	30231	10	-	11.561	3.84e-05	0.745	Promoter (<=1kb)	1	30265	32130	1866	1	-43	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00010	NW_007930836.1	31279	31288	10	-	11.3333	4.82e-05	0.787	Promoter (1-2kb)	1	30265	32130	1866	1	1023	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00010	NW_007930836.1	29450	29459	10	+	11.9756	2.67e-05	0.649	Promoter (<=1kb)	1	30265	32130	1866	1	-806	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00012	NW_007930836.1	38385	38394	10	+	10.8862	7.32e-05	0.799	Promoter (<=1kb)	1	37116	37424	309	2	-961	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00015	NW_007930836.1	46463	46472	10	-	11.2439	5.41e-05	0.787	Promoter (<=1kb)	1	45678	47093	1416	2	630	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00017	NW_007930836.1	52902	52911	10	+	10.9837	6.86e-05	0.787	Promoter (1-2kb)	1	50976	55391	4416	1	1926	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
BBA_00018	NW_007930836.1	54139	54148	10	+	10.6829	9.09e-05	0.827	Promoter (2-3kb)	1	55812	56743	932	2	2595	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00019	NW_007930836.1	60434	60443	10	-	11.0976	6.27e-05	0.787	Promoter (1-2kb)	1	57711	58663	953	2	-1780	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00019	NW_007930836.1	61386	61395	10	-	12.2927	1.63e-05	0.649	Promoter (2-3kb)	1	57711	58663	953	2	-2732	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00019	NW_007930836.1	61416	61425	10	-	11.3577	4.71e-05	0.787	Promoter (2-3kb)	1	57711	58663	953	2	-2762	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00021	NW_007930836.1	65902	65911	10	-	11.9756	2.67e-05	0.649	Promoter (<=1kb)	1	66572	67074	503	1	-670	19883033	XM_008595118.1	XP_008593340.1	LSM domain-containing protein
BBA_00024	NW_007930836.1	73745	73754	10	-	11.8699	3.05e-05	0.667	Promoter (1-2kb)	1	75584	76846	1263	1	-1839	19883036	XM_008595121.1	XP_008593343.1	uncharacterized protein
BBA_00024	NW_007930836.1	75411	75420	10	-	10.8862	7.32e-05	0.799	Promoter (<=1kb)	1	75584	76846	1263	1	-173	19883036	XM_008595121.1	XP_008593343.1	uncharacterized protein
BBA_00025	NW_007930836.1	78406	78415	10	+	11.8699	3.05e-05	0.667	Promoter (<=1kb)	1	77430	78098	669	2	-308	19883037	XM_008595122.1	XP_008593344.1	uncharacterized protein
BBA_00025	NW_007930836.1	76976	76985	10	-	11.9756	2.67e-05	0.649	Promoter (1-2kb)	1	77430	78098	669	2	1122	19883037	XM_008595122.1	XP_008593344.1	uncharacterized protein
BBA_00026	NW_007930836.1	79290	79299	10	+	10.9919	6.72e-05	0.787	Promoter (<=1kb)	1	78801	79499	699	2	200	19883038	XM_008595123.1	XP_008593345.1	uncharacterized protein
BBA_00027	NW_007930836.1	81181	81190	10	+	12.748	1e-05	0.649	Promoter (1-2kb)	1	80124	81112	989	1	1057	19883039	XM_008595124.1	XP_008593346.1	Mitochondrial glycoprotein
BBA_00027	NW_007930836.1	81728	81737	10	+	11.0976	6.27e-05	0.787	Promoter (1-2kb)	1	80124	81112	989	1	1604	19883039	XM_008595124.1	XP_008593346.1	Mitochondrial glycoprotein
BBA_00030	NW_007930836.1	90265	90274	10	+	10.6992	8.82e-05	0.822	Promoter (<=1kb)	1	88075	90170	2096	2	-95	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00031	NW_007930836.1	92663	92672	10	+	11.1545	5.94e-05	0.787	Promoter (<=1kb)	1	92358	93023	666	1	305	19883043	XM_008595128.1	XP_008593350.1	uncharacterized protein
BBA_00032	NW_007930836.1	98606	98615	10	-	10.6504	9.4e-05	0.834	Promoter (2-3kb)	1	94827	95943	1117	2	-2672	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00032	NW_007930836.1	96027	96036	10	+	14.187	1.64e-06	0.649	Promoter (<=1kb)	1	94827	95943	1117	2	-84	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00034	NW_007930836.1	106193	106202	10	-	10.6829	9.09e-05	0.827	Promoter (1-2kb)	1	106279	108060	1782	2	1867	19883046	XM_008595131.1	XP_008593353.1	group II pyridoxal-5-phosphate decarboxylase
BBA_00034	NW_007930836.1	108287	108296	10	+	12.0325	2.39e-05	0.649	Promoter (<=1kb)	1	106279	108060	1782	2	-227	19883046	XM_008595131.1	XP_008593353.1	group II pyridoxal-5-phosphate decarboxylase
BBA_00036	NW_007930836.1	111787	111796	10	+	12.0325	2.39e-05	0.649	Promoter (<=1kb)	1	110439	111308	870	2	-479	19883048	XM_008595133.1	XP_008593355.1	Ras family protein
BBA_00037	NW_007930836.1	113040	113049	10	-	11.3577	4.71e-05	0.787	Promoter (1-2kb)	1	113425	114147	723	2	1107	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
BBA_00039	NW_007930836.1	120221	120230	10	+	11.9756	2.67e-05	0.649	Promoter (<=1kb)	1	119294	119569	276	1	927	19883051	XM_008595136.1	XP_008593358.1	uncharacterized protein
BBA_00039	NW_007930836.1	119228	119237	10	-	13.1951	5.68e-06	0.649	Promoter (<=1kb)	1	119294	119569	276	1	-66	19883051	XM_008595136.1	XP_008593358.1	uncharacterized protein
BBA_00047	NW_007930836.1	136851	136860	10	+	11.9756	2.67e-05	0.649	Promoter (<=1kb)	1	135407	136672	1266	2	-179	19883059	XM_008595144.1	XP_008593366.1	Cel5b-like protein
BBA_00048	NW_007930836.1	138785	138794	10	+	11.9756	2.67e-05	0.649	Promoter (<=1kb)	1	138249	138827	579	1	536	19883060	XM_008595145.1	XP_008593367.1	uncharacterized protein
BBA_00050	NW_007930836.1	145874	145883	10	+	13.3089	4.34e-06	0.649	Promoter (<=1kb)	1	143876	146215	2340	2	332	19883062	XM_008595147.1	XP_008593369.1	Cys2-His2 zinc finger transcription factor ACEI
BBA_00050	NW_007930836.1	145975	145984	10	-	11.6423	3.54e-05	0.712	Promoter (<=1kb)	1	143876	146215	2340	2	240	19883062	XM_008595147.1	XP_008593369.1	Cys2-His2 zinc finger transcription factor ACEI
BBA_00051	NW_007930836.1	149363	149372	10	-	11.9187	2.94e-05	0.667	Promoter (<=1kb)	1	150227	151027	801	1	-864	19883063	XM_008595148.1	XP_008593370.1	uncharacterized protein
BBA_00051	NW_007930836.1	149405	149414	10	-	12.2114	1.77e-05	0.649	Promoter (<=1kb)	1	150227	151027	801	1	-822	19883063	XM_008595148.1	XP_008593370.1	uncharacterized protein
BBA_00054	NW_007930836.1	157291	157300	10	-	11.9756	2.67e-05	0.649	Promoter (<=1kb)	1	157526	158122	597	1	-235	19883066	XM_008595151.1	XP_008593373.1	endoribonuclease L-PSP
BBA_00064	NW_007930836.1	184888	184897	10	+	12.3171	1.52e-05	0.649	Promoter (<=1kb)	1	184120	184979	860	1	768	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00064	NW_007930836.1	183909	183918	10	+	10.9837	6.86e-05	0.787	Promoter (<=1kb)	1	184120	184979	860	1	-202	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00064	NW_007930836.1	182348	182357	10	-	11.3008	5.16e-05	0.787	Promoter (1-2kb)	1	184120	184979	860	1	-1772	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00067	NW_007930836.1	192494	192503	10	-	11.3008	5.16e-05	0.787	Promoter (<=1kb)	1	190905	192006	1102	2	-497	19883079	XM_008595164.1	XP_008593386.1	2-nitropropane dioxygenase
BBA_00068	NW_007930836.1	195882	195891	10	-	11.9756	2.67e-05	0.649	Promoter (<=1kb)	1	194874	196661	1788	2	779	19883080	XM_008595165.1	XP_008593387.1	vitamin H transporter
BBA_00068	NW_007930836.1	196947	196956	10	-	10.7724	8.22e-05	0.799	Promoter (<=1kb)	1	194874	196661	1788	2	-295	19883080	XM_008595165.1	XP_008593387.1	vitamin H transporter
BBA_00068	NW_007930836.1	196871	196880	10	-	10.8293	7.99e-05	0.799	Promoter (<=1kb)	1	194874	196661	1788	2	-219	19883080	XM_008595165.1	XP_008593387.1	vitamin H transporter
BBA_00071	NW_007930836.1	206453	206462	10	+	11.0976	6.27e-05	0.787	Promoter (1-2kb)	1	204827	207269	2443	1	1626	19883083	XM_008595168.1	XP_008593390.1	nitrate assimilation regulatory protein nirA
BBA_00075	NW_007930836.1	220993	221002	10	+	10.9268	7.19e-05	0.799	Promoter (1-2kb)	1	219885	220517	633	1	1108	19883087	XM_008595172.1	XP_008593394.1	uncharacterized protein
BBA_00078	NW_007930836.1	228690	228699	10	-	12.3171	1.52e-05	0.649	Promoter (1-2kb)	1	226883	227794	912	1	1816	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00078	NW_007930836.1	228528	228537	10	-	10.8455	7.88e-05	0.799	Promoter (1-2kb)	1	226883	227794	912	1	1654	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00078	NW_007930836.1	231666	231675	10	-	11.3577	4.71e-05	0.787	Promoter (4-5kb)	1	226883	227794	912	1	4792	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00078	NW_007930836.1	229876	229885	10	-	12.9675	7.03e-06	0.649	Promoter (3-4kb)	1	226883	227794	912	1	3002	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00079	NW_007930836.1	234544	234553	10	-	11.1951	5.72e-05	0.787	Promoter (2-3kb)	1	235076	236668	1593	2	2124	19883091	XM_008595176.1	XP_008593398.1	LysR family regulatory protein
BBA_00079	NW_007930836.1	232711	232720	10	-	10.6098	9.9e-05	0.841	Promoter (3-4kb)	1	235076	236668	1593	2	3957	19883091	XM_008595176.1	XP_008593398.1	LysR family regulatory protein
BBA_00079	NW_007930836.1	232801	232810	10	-	10.9919	6.72e-05	0.787	Promoter (3-4kb)	1	235076	236668	1593	2	3867	19883091	XM_008595176.1	XP_008593398.1	LysR family regulatory protein
