locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	3273	3279	7	-	12.4024	8e-05	1	Promoter (<=1kb)	1	3335	3683	349	1	-62	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00001	NW_007930836.1	4068	4074	7	+	12.4024	8e-05	1	Promoter (<=1kb)	1	3335	3683	349	1	733	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00001	NW_007930836.1	5213	5219	7	-	13.4024	4.39e-05	1	Promoter (1-2kb)	1	3335	3683	349	1	1884	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00002	NW_007930836.1	7317	7323	7	+	12.4024	8e-05	1	Promoter (<=1kb)	1	5664	7104	1441	2	-213	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00004	NW_007930836.1	13036	13042	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	1	12136	13042	907	1	900	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	10767	10773	7	-	12.4024	8e-05	1	Promoter (1-2kb)	1	12136	13042	907	1	-1369	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	10715	10721	7	+	13.4024	4.39e-05	1	Promoter (1-2kb)	1	12136	13042	907	1	-1415	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00006	NW_007930836.1	20719	20725	7	+	12.4024	8e-05	1	Promoter (<=1kb)	1	21184	22451	1268	1	-459	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00011	NW_007930836.1	35094	35100	7	+	13.4024	4.39e-05	1	Promoter (2-3kb)	1	33013	35806	2794	1	2081	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00012	NW_007930836.1	36306	36312	7	-	12.4024	8e-05	1	Promoter (1-2kb)	1	37116	37424	309	2	1118	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00016	NW_007930836.1	48107	48113	7	+	12.4024	8e-05	1	Promoter (<=1kb)	1	47545	49098	1554	2	985	19883028	XM_008595113.1	XP_008593335.1	U4/U6 small nuclear ribonucleoprotein Prp4
BBA_00023	NW_007930836.1	70403	70409	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	1	71296	72546	1251	1	-887	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
BBA_00024	NW_007930836.1	75266	75272	7	+	12.4024	8e-05	1	Promoter (<=1kb)	1	75584	76846	1263	1	-312	19883036	XM_008595121.1	XP_008593343.1	uncharacterized protein
BBA_00027	NW_007930836.1	81410	81416	7	-	13.4024	4.39e-05	1	Promoter (1-2kb)	1	80124	81112	989	1	1292	19883039	XM_008595124.1	XP_008593346.1	Mitochondrial glycoprotein
BBA_00032	NW_007930836.1	98838	98844	7	-	13.4024	4.39e-05	1	Promoter (2-3kb)	1	94827	95943	1117	2	-2901	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00035	NW_007930836.1	110065	110071	7	-	12.4024	8e-05	1	Promoter (<=1kb)	1	109584	109859	276	1	487	19883047	XM_008595132.1	XP_008593354.1	uncharacterized protein
BBA_00036	NW_007930836.1	111675	111681	7	-	12.4024	8e-05	1	Promoter (<=1kb)	1	110439	111308	870	2	-373	19883048	XM_008595133.1	XP_008593355.1	Ras family protein
BBA_00036	NW_007930836.1	111618	111624	7	+	12.4024	8e-05	1	Promoter (<=1kb)	1	110439	111308	870	2	-310	19883048	XM_008595133.1	XP_008593355.1	Ras family protein
BBA_00036	NW_007930836.1	110567	110573	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	1	110439	111308	870	2	741	19883048	XM_008595133.1	XP_008593355.1	Ras family protein
BBA_00043	NW_007930836.1	128461	128467	7	-	12.4024	8e-05	1	Promoter (<=1kb)	1	127178	128543	1366	2	82	19883055	XM_008595140.1	XP_008593362.1	uncharacterized protein
BBA_00050	NW_007930836.1	147714	147720	7	+	12.4024	8e-05	1	Promoter (1-2kb)	1	143876	146215	2340	2	-1499	19883062	XM_008595147.1	XP_008593369.1	Cys2-His2 zinc finger transcription factor ACEI
BBA_00053	NW_007930836.1	156363	156369	7	-	12.4024	8e-05	1	Promoter (<=1kb)	1	153461	155881	2421	2	-488	19883065	XM_008595150.1	XP_008593372.1	glycosyltransferase family 39
BBA_00059	NW_007930836.1	166796	166802	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	1	166586	167842	1257	1	216	19883071	XM_008595156.1	XP_008593378.1	FAD binding domain containing protein
BBA_00061	NW_007930836.1	174075	174081	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	1	173082	174917	1836	1	993	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00064	NW_007930836.1	183775	183781	7	-	12.4024	8e-05	1	Promoter (<=1kb)	1	184120	184979	860	1	-345	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00064	NW_007930836.1	183834	183840	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	1	184120	184979	860	1	-280	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00068	NW_007930836.1	194922	194928	7	+	12.4024	8e-05	1	Promoter (1-2kb)	1	194874	196661	1788	2	1733	19883080	XM_008595165.1	XP_008593387.1	vitamin H transporter
BBA_00069	NW_007930836.1	198682	198688	7	-	12.4024	8e-05	1	Promoter (<=1kb)	1	199580	200518	939	1	-898	19883081	XM_008595166.1	XP_008593388.1	metalloprotease MEP1
BBA_00070	NW_007930836.1	201089	201095	7	-	12.4024	8e-05	1	Promoter (<=1kb)	1	201650	202113	464	1	-561	19883082	XM_008595167.1	XP_008593389.1	uncharacterized protein
BBA_00075	NW_007930836.1	219473	219479	7	-	12.4024	8e-05	1	Promoter (<=1kb)	1	219885	220517	633	1	-412	19883087	XM_008595172.1	XP_008593394.1	uncharacterized protein
BBA_00077	NW_007930836.1	225543	225549	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	1	225168	226320	1153	1	375	19883089	XM_008595174.1	XP_008593396.1	tat pathway signal sequence
BBA_00077	NW_007930836.1	225928	225934	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	1	225168	226320	1153	1	760	19883089	XM_008595174.1	XP_008593396.1	tat pathway signal sequence
BBA_00078	NW_007930836.1	227544	227550	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	1	226883	227794	912	1	661	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00080	NW_007930836.1	239412	239418	7	-	12.4024	8e-05	1	Promoter (<=1kb)	1	237968	238498	531	2	-920	19883092	XM_008595177.1	XP_008593399.1	uncharacterized protein
BBA_00083	NW_007930836.1	244586	244592	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	1	244052	244462	411	1	540	19883095	XM_008595180.1	XP_008593402.1	uncharacterized protein
BBA_00089	NW_007930836.1	262826	262832	7	+	13.4024	4.39e-05	1	Promoter (2-3kb)	1	260154	260459	306	2	-2367	19883101	XM_008595186.1	XP_008593408.1	uncharacterized protein
BBA_00094	NW_007930836.1	275609	275615	7	+	12.4024	8e-05	1	Promoter (1-2kb)	1	274311	275919	1609	1	1298	19883106	XM_008595191.1	XP_008593413.1	major facilitator superfamily transporter
BBA_00099	NW_007930836.1	292575	292581	7	-	12.4024	8e-05	1	Promoter (<=1kb)	1	291414	292137	724	2	-444	19883111	XM_008595196.1	XP_008593418.1	uncharacterized protein
BBA_00105	NW_007930836.1	308643	308649	7	+	12.4024	8e-05	1	Promoter (1-2kb)	1	310431	312301	1871	1	-1782	19883117	XM_008595202.1	XP_008593424.1	Putative Zn(II)2Cys6 transcription factor
BBA_00112	NW_007930836.1	328227	328233	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	1	328097	328444	348	2	211	19883124	XM_008595209.1	XP_008593431.1	uncharacterized protein
BBA_00120	NW_007930836.1	348048	348054	7	+	12.4024	8e-05	1	Promoter (1-2kb)	1	347854	349183	1330	2	1129	19883132	XM_008595217.1	XP_008593439.1	uncharacterized protein
BBA_00124	NW_007930836.1	361252	361258	7	-	12.4024	8e-05	1	Promoter (1-2kb)	1	358719	360065	1347	2	-1193	19883136	XM_008595221.1	XP_008593443.1	rRNA-processing protein UTP23
BBA_00126	NW_007930836.1	367371	367377	7	+	13.4024	4.39e-05	1	Promoter (2-3kb)	1	369658	373338	3681	1	-2281	19883138	XM_008595223.1	XP_008593445.1	protein kinase, putative
BBA_00126	NW_007930836.1	368100	368106	7	+	12.4024	8e-05	1	Promoter (1-2kb)	1	369658	373338	3681	1	-1552	19883138	XM_008595223.1	XP_008593445.1	protein kinase, putative
