#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-21513AD8137C22EC-29B76E17EDD304A
#datatype	hitsStandard Results
#status	0
#Start time	2025-03-07T12:04:28	Run time	0:00:00:22
#status	Warning: Too many queries.	msg	Error(s) occurred during search, the result may be incomplete

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	non-specific	185691	35	317	4.54106e-92	274.576	cd02182	GH16_Strep_laminarinase_like	 - 	cl22861
Q#1 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	superfamily	473984	35	317	4.54106e-92	274.576	cl22861	LamG superfamily	 - 	 - 
Q#1 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	specific	441874	1	317	8.10846e-42	145.517	COG2273	BglS	 - 	cl34454
Q#1 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	superfamily	441874	1	317	8.10846e-42	145.517	cl34454	BglS superfamily	 - 	 - 
Q#1 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	non-specific	395585	106	263	0.0079777	36.4166	pfam00722	Glyco_hydro_16	 - 	cl22861
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	441878	26	562	9.80162e-55	193.506	COG2303	BetA	 - 	cl34456
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	superfamily	441878	26	562	9.80162e-55	193.506	cl34456	BetA superfamily	 - 	 - 
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	366272	113	296	9.82873e-21	90.8044	pfam00732	GMC_oxred_N	 - 	cl21454
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	superfamily	473865	113	296	9.82873e-21	90.8044	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	235000	23	561	9.55909e-20	92.5871	PRK02106	PRK02106	 - 	cl21454
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	130444	27	63	0.00520458	39.4278	TIGR01377	soxA_mon	C	cl31099
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	superfamily	130444	27	63	0.00520458	39.4278	cl31099	soxA_mon superfamily	C	 - 
Q#4 - >XP_008593466.1 cutinase-2 protein [Beauveria bassiana ARSEF 2860]	non-specific	395860	37	212	9.09703e-43	141.72	pfam01083	Cutinase	 - 	cl21494
Q#4 - >XP_008593466.1 cutinase-2 protein [Beauveria bassiana ARSEF 2860]	superfamily	473884	37	212	9.09703e-43	141.72	cl21494	Abhydrolase superfamily	 - 	 - 
Q#4 - >XP_008593466.1 cutinase-2 protein [Beauveria bassiana ARSEF 2860]	non-specific	440169	97	146	0.00975782	35.6534	COG0400	YpfH	NC	cl43129
Q#4 - >XP_008593466.1 cutinase-2 protein [Beauveria bassiana ARSEF 2860]	superfamily	440169	97	146	0.00975782	35.6534	cl43129	YpfH superfamily	NC	 - 
Q#5 - >XP_008593517.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	specific	187688	41	187	1.62612e-27	104.676	cd09630	CDH_like_cytochrome	 - 	cl14783
