locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	3974	3984	11	-	10.802	8.11e-05	0.428	Promoter	1	3335	3683	349	1	649	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00003	NW_007930836.1	9867	9877	11	-	11.6832	4.73e-05	0.365	Distal Intergenic	1	8108	8869	762	2	-1008	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00003	NW_007930836.1	10217	10227	11	+	13.505	1.35e-05	0.266	Distal Intergenic	1	8108	8869	762	2	-1348	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00003	NW_007930836.1	10215	10225	11	+	12.6634	2.69e-05	0.287	Distal Intergenic	1	8108	8869	762	2	-1346	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00003	NW_007930836.1	10218	10228	11	-	13.0495	1.99e-05	0.266	Distal Intergenic	1	8108	8869	762	2	-1359	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00003	NW_007930836.1	10219	10229	11	+	11.2277	6.3e-05	0.398	Distal Intergenic	1	8108	8869	762	2	-1350	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00003	NW_007930836.1	10220	10230	11	-	16.1782	1.55e-06	0.266	Distal Intergenic	1	8108	8869	762	2	-1361	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00003	NW_007930836.1	9869	9879	11	-	12.8317	2.41e-05	0.276	Distal Intergenic	1	8108	8869	762	2	-1010	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00003	NW_007930836.1	9866	9876	11	+	12.8317	2.41e-05	0.276	Promoter	1	8108	8869	762	2	-997	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00004	NW_007930836.1	11745	11755	11	-	13	2.08e-05	0.271	Promoter	1	12136	13042	907	1	-391	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	11742	11752	11	+	13.6733	1.1e-05	0.266	Promoter	1	12136	13042	907	1	-384	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	11743	11753	11	-	10.3861	9.78e-05	0.457	Promoter	1	12136	13042	907	1	-393	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	10927	10937	11	+	11.4752	5.36e-05	0.383	Distal Intergenic	1	12136	13042	907	1	-1199	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00004	NW_007930836.1	10928	10938	11	-	10.7723	8.27e-05	0.428	Distal Intergenic	1	12136	13042	907	1	-1208	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00005	NW_007930836.1	14369	14379	11	+	14.5743	5.37e-06	0.266	Promoter	1	15330	20029	4700	1	-951	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00005	NW_007930836.1	14414	14424	11	+	10.5545	9.18e-05	0.449	Promoter	1	15330	20029	4700	1	-906	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00005	NW_007930836.1	14370	14380	11	-	12.8317	2.41e-05	0.276	Promoter	1	15330	20029	4700	1	-960	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00012	NW_007930836.1	37034	37044	11	-	10.7327	8.45e-05	0.435	Promoter	1	37116	37424	309	2	390	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00016	NW_007930836.1	49558	49568	11	-	11.7426	4.48e-05	0.362	Promoter	1	47545	49098	1554	2	-470	19883028	XM_008595113.1	XP_008593335.1	U4/U6 small nuclear ribonucleoprotein Prp4
BBA_00019	NW_007930836.1	59355	59365	11	-	13.6436	1.19e-05	0.266	Promoter	1	57711	58663	953	2	-702	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00019	NW_007930836.1	58040	58050	11	+	10.3762	9.86e-05	0.458	Promoter	1	57711	58663	953	2	613	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00029	NW_007930836.1	85287	85297	11	-	10.3762	9.86e-05	0.458	Promoter	1	85654	87786	2133	1	-367	19883041	XM_008595126.1	XP_008593348.1	pumilio-family RNA binding repeat domain-containing protein
BBA_00032	NW_007930836.1	94772	94782	11	+	12.1386	3.77e-05	0.326	Distal Intergenic	1	94827	95943	1117	2	1161	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00043	NW_007930836.1	129217	129227	11	-	16.1386	2e-06	0.266	Promoter	1	127178	128543	1366	2	-684	19883055	XM_008595140.1	XP_008593362.1	uncharacterized protein
BBA_00043	NW_007930836.1	129214	129224	11	+	13.7228	9.91e-06	0.266	Promoter	1	127178	128543	1366	2	-671	19883055	XM_008595140.1	XP_008593362.1	uncharacterized protein
BBA_00043	NW_007930836.1	129216	129226	11	+	10.5347	9.35e-05	0.449	Promoter	1	127178	128543	1366	2	-673	19883055	XM_008595140.1	XP_008593362.1	uncharacterized protein
BBA_00049	NW_007930836.1	143489	143499	11	+	10.6139	8.81e-05	0.447	Distal Intergenic	1	140006	141980	1975	2	-1509	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00059	NW_007930836.1	166536	166546	11	-	11.2376	6.19e-05	0.398	Promoter	1	166586	167842	1257	1	-50	19883071	XM_008595156.1	XP_008593378.1	FAD binding domain containing protein
BBA_00059	NW_007930836.1	166559	166569	11	-	13.0495	1.99e-05	0.266	Promoter	1	166586	167842	1257	1	-27	19883071	XM_008595156.1	XP_008593378.1	FAD binding domain containing protein
BBA_00059	NW_007930836.1	166556	166566	11	+	10.8119	7.88e-05	0.428	Promoter	1	166586	167842	1257	1	-20	19883071	XM_008595156.1	XP_008593378.1	FAD binding domain containing protein
BBA_00064	NW_007930836.1	181841	181851	11	-	12.0495	3.95e-05	0.337	Distal Intergenic	1	184120	184979	860	1	-2279	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00067	NW_007930836.1	193172	193182	11	-	10.7921	8.18e-05	0.428	Distal Intergenic	1	190905	192006	1102	2	-1176	19883079	XM_008595164.1	XP_008593386.1	2-nitropropane dioxygenase
