"seqnames","start","end","width","strand","score","p_value","q_value","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","distanceToTSS","GeneID","transcript_id","protein_id"
"NW_007930837.1",7497,7507,11,"-",15.7041,1.38e-07,0.627,"Promoter (<=1kb)",2,7430,8015,586,1,"BBA_00684",77,NA,NA,NA
"NW_007930899.1",24235,24245,11,"-",15.7041,1.38e-07,0.627,"Promoter (1-2kb)",64,23777,25630,1854,2,"BBA_09720",1395,NA,NA,NA
"NW_007930863.1",30892,30902,11,"+",15.7041,1.38e-07,0.627,"Promoter (<=1kb)",28,31495,33205,1711,1,"BBA_07784",-593,NA,NA,NA
"NW_007930865.1",36023,36033,11,"+",15.7041,1.38e-07,0.627,"Promoter (1-2kb)",30,37291,38121,831,1,"BBA_07989",-1258,NA,NA,NA
"NW_007930845.1",51422,51432,11,"+",15.7041,1.38e-07,0.627,"Promoter (<=1kb)",10,51712,53073,1362,1,"BBA_04363",-280,NA,NA,NA
"NW_007930854.1",114055,114065,11,"+",15.7041,1.38e-07,0.627,"Promoter (<=1kb)",19,111653,113752,2100,2,"BBA_06451",-303,NA,NA,NA
"NW_007930872.1",122822,122832,11,"-",15.7041,1.38e-07,0.627,"Promoter (<=1kb)",37,122747,123765,1019,1,"BBA_08644",85,NA,NA,NA
"NW_007930837.1",321294,321304,11,"+",15.7041,1.38e-07,0.627,"Promoter (3-4kb)",2,324464,326351,1888,1,"BBA_00779",-3160,NA,NA,NA
"NW_007930855.1",395690,395700,11,"+",15.7041,1.38e-07,0.627,"Promoter (2-3kb)",20,393087,396410,3324,1,"BBA_06758",2603,NA,NA,NA
"NW_007930846.1",410922,410932,11,"-",15.7041,1.38e-07,0.627,"Promoter (1-2kb)",11,409367,410627,1261,1,"BBA_04769",1565,NA,NA,NA
"NW_007930850.1",460720,460730,11,"-",15.7041,1.38e-07,0.627,"Promoter (1-2kb)",15,459261,461030,1770,1,"BBA_05729",1469,NA,NA,NA
"NW_007930838.1",854230,854240,11,"+",15.7041,1.38e-07,0.627,"Promoter (<=1kb)",3,851984,854375,2392,2,"BBA_01499",135,NA,NA,NA
"NW_007930843.1",970898,970908,11,"+",15.7041,1.38e-07,0.627,"Promoter (3-4kb)",8,973951,976030,2080,1,"BBA_03933",-3043,NA,NA,NA
"NW_007930837.1",1866407,1866417,11,"+",15.7041,1.38e-07,0.627,"Promoter (3-4kb)",2,1861909,1862766,858,2,"BBA_01211",-3641,NA,NA,NA
"NW_007930860.1",18813,18823,11,"+",15.4184,4.75e-07,0.632,"Promoter (<=1kb)",25,16757,18026,1270,2,"BBA_07429",-787,NA,NA,NA
"NW_007930905.1",19988,19998,11,"-",15.4184,4.75e-07,0.632,"Promoter (2-3kb)",70,17913,18993,1081,1,"BBA_09830",2085,NA,NA,NA
"NW_007930862.1",38115,38125,11,"+",15.4184,4.75e-07,0.632,"Promoter (<=1kb)",27,37158,38325,1168,1,"BBA_07684",957,NA,NA,NA
"NW_007930889.1",74702,74712,11,"-",15.4184,4.75e-07,0.632,"Promoter (1-2kb)",54,76492,76779,288,1,"BBA_09458",-1790,NA,NA,NA
"NW_007930876.1",87138,87148,11,"-",15.4184,4.75e-07,0.632,"Promoter (<=1kb)",41,86340,87542,1203,1,"BBA_08862",808,NA,NA,NA
"NW_007930874.1",125622,125632,11,"-",15.4184,4.75e-07,0.632,"Distal Intergenic",39,130200,131725,1526,2,"BBA_08743",6103,NA,NA,NA
"NW_007930874.1",137857,137867,11,"+",15.4184,4.75e-07,0.632,"Promoter (<=1kb)",39,135871,137649,1779,2,"BBA_08745",-208,NA,NA,NA
"NW_007930850.1",155881,155891,11,"-",15.4184,4.75e-07,0.632,"Promoter (1-2kb)",15,156300,157196,897,2,"BBA_05626",1315,NA,NA,NA
"NW_007930853.1",215949,215959,11,"-",15.4184,4.75e-07,0.632,"Promoter (1-2kb)",18,217218,218648,1431,1,"BBA_06272",-1269,NA,NA,NA
"NW_007930863.1",232862,232872,11,"-",15.4184,4.75e-07,0.632,"Promoter (1-2kb)",28,231645,235130,3486,1,"BBA_07846",1227,NA,NA,NA
"NW_007930836.1",270673,270683,11,"-",15.4184,4.75e-07,0.632,"Promoter (1-2kb)",1,270462,271707,1246,2,"BBA_00092",1034,NA,NA,NA
"NW_007930839.1",282292,282302,11,"+",15.4184,4.75e-07,0.632,"Promoter (<=1kb)",4,283248,284369,1122,1,"BBA_01879",-946,NA,NA,NA
"NW_007930838.1",459292,459302,11,"-",15.4184,4.75e-07,0.632,"Promoter (<=1kb)",3,459723,461094,1372,1,"BBA_01381",-431,NA,NA,NA
"NW_007930845.1",626508,626518,11,"-",15.4184,4.75e-07,0.632,"Promoter (<=1kb)",10,625194,626387,1194,2,"BBA_04534",-131,NA,NA,NA
"NW_007930842.1",884000,884010,11,"-",15.4184,4.75e-07,0.632,"Promoter (<=1kb)",7,882913,884324,1412,2,"BBA_03509",324,NA,NA,NA
"NW_007930839.1",895951,895961,11,"+",15.4184,4.75e-07,0.632,"Promoter (<=1kb)",4,895066,896734,1669,2,"BBA_02071",773,NA,NA,NA
"NW_007930839.1",959196,959206,11,"+",15.4184,4.75e-07,0.632,"Promoter (1-2kb)",4,955517,957730,2214,2,"BBA_02096",-1466,NA,NA,NA
"NW_007930838.1",1210444,1210454,11,"+",15.4184,4.75e-07,0.632,"Promoter (<=1kb)",3,1208028,1210516,2489,2,"BBA_01607",62,NA,NA,NA
"NW_007930838.1",1507714,1507724,11,"+",15.4184,4.75e-07,0.632,"Exon (XM_008596800.1/BBA_01703, exon 2 of 2)",3,1502486,1512164,9679,1,"BBA_01703",5228,NA,NA,NA
"NW_007930838.1",1629964,1629974,11,"+",15.4184,4.75e-07,0.632,"Promoter (<=1kb)",3,1629452,1630572,1121,1,"BBA_01737",512,NA,NA,NA
"NW_007930836.1",1854889,1854899,11,"-",15.4184,4.75e-07,0.632,"Promoter (2-3kb)",1,1857028,1860183,3156,1,"BBA_00602",-2139,NA,NA,NA
