seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930862.1	23133	23142	10	-	12.4694	9.09e-07	1	Promoter (<=1kb)	27	23714	23959	246	2	BBA_07682	826
NW_007930866.1	87504	87513	10	-	12.4694	9.09e-07	1	Promoter (1-2kb)	31	86254	88979	2726	1	BBA_08109	1259
NW_007930879.1	125286	125295	10	-	12.4694	9.09e-07	1	Promoter (<=1kb)	44	122831	125026	2196	2	BBA_09059	-269
NW_007930850.1	211594	211603	10	+	12.4694	9.09e-07	1	Promoter (3-4kb)	15	207859	210264	2406	1	BBA_05639	3735
NW_007930849.1	236711	236720	10	+	12.4694	9.09e-07	1	Promoter (1-2kb)	14	236887	237868	982	2	BBA_05421	1148
NW_007930859.1	257852	257861	10	-	12.4694	9.09e-07	1	Promoter (<=1kb)	24	255112	256927	1816	2	BBA_07366	-934
NW_007930845.1	264323	264332	10	-	12.4694	9.09e-07	1	Promoter (<=1kb)	10	265096	266088	993	1	BBA_04435	-773
NW_007930857.1	273697	273706	10	-	12.4694	9.09e-07	1	Promoter (<=1kb)	22	274532	276563	2032	1	BBA_07030	-835
NW_007930851.1	291424	291433	10	+	12.4694	9.09e-07	1	Promoter (<=1kb)	16	289911	291621	1711	2	BBA_05903	188
NW_007930845.1	354906	354915	10	-	12.4694	9.09e-07	1	Promoter (2-3kb)	10	357789	359189	1401	1	BBA_04457	-2883
NW_007930851.1	380447	380456	10	-	12.4694	9.09e-07	1	Promoter (3-4kb)	16	376332	377423	1092	2	BBA_05934	-3033
NW_007930846.1	492035	492044	10	-	12.4694	9.09e-07	1	Promoter (<=1kb)	11	491773	492826	1054	2	BBA_04793	791
NW_007930850.1	582430	582439	10	-	12.4694	9.09e-07	1	Promoter (<=1kb)	15	579336	582965	3630	2	BBA_05770	535
NW_007930845.1	591085	591094	10	+	12.4694	9.09e-07	1	Promoter (<=1kb)	10	590955	591847	893	1	BBA_04521	130
NW_007930836.1	888577	888586	10	+	12.4694	9.09e-07	1	Promoter (1-2kb)	1	887187	891663	4477	1	BBA_00297	1390
NW_007930839.1	1361000	1361009	10	+	12.4694	9.09e-07	1	Promoter (3-4kb)	4	1357634	1359829	2196	1	BBA_02218	3366
NW_007930836.1	1922323	1922332	10	+	12.4694	9.09e-07	1	Promoter (<=1kb)	1	1921410	1923122	1713	1	BBA_00622	913
NW_007930889.1	26931	26940	10	+	12.4592	1.82e-06	1	Promoter (<=1kb)	54	27896	28899	1004	1	BBA_09438	-956
NW_007930879.1	41313	41322	10	-	12.4592	1.82e-06	1	Promoter (1-2kb)	44	39327	40068	742	2	BBA_09036	-1254
NW_007930848.1	54066	54075	10	+	12.4592	1.82e-06	1	Promoter (4-5kb)	13	48926	49330	405	2	BBA_05135	-4736
NW_007930849.1	71847	71856	10	+	12.4592	1.82e-06	1	Promoter (<=1kb)	14	71998	73323	1326	1	BBA_05358	-142
NW_007930851.1	98364	98373	10	-	12.4592	1.82e-06	1	Promoter (<=1kb)	16	97381	98453	1073	2	BBA_05836	89
NW_007930879.1	103563	103572	10	-	12.4592	1.82e-06	1	Promoter (2-3kb)	44	100673	102291	1619	1	BBA_09054	2899
NW_007930879.1	138622	138631	10	-	12.4592	1.82e-06	1	Promoter (1-2kb)	44	140419	143649	3231	1	BBA_09065	-1797
NW_007930876.1	142466	142475	10	-	12.4592	1.82e-06	1	Promoter (1-2kb)	41	139533	141319	1787	2	BBA_08881	-1156
NW_007930872.1	184189	184198	10	+	12.4592	1.82e-06	1	Promoter (<=1kb)	37	183983	184924	942	1	BBA_08657	206
NW_007930873.1	199031	199040	10	+	12.4592	1.82e-06	1	Promoter (1-2kb)	38	197842	200870	3029	2	BBA_08714	1830
NW_007930860.1	205216	205225	10	+	12.4592	1.82e-06	1	Promoter (1-2kb)	25	205008	207140	2133	2	BBA_07491	1915
NW_007930857.1	229087	229096	10	-	12.4592	1.82e-06	1	Promoter (<=1kb)	22	227215	228857	1643	2	BBA_07018	-239
NW_007930851.1	232257	232266	10	-	12.4592	1.82e-06	1	Promoter (1-2kb)	16	233539	234382	844	1	BBA_05880	-1282
NW_007930869.1	260704	260713	10	-	12.4592	1.82e-06	1	Promoter (<=1kb)	34	260319	262832	2514	1	BBA_08429	394
NW_007930847.1	320144	320153	10	+	12.4592	1.82e-06	1	Promoter (1-2kb)	12	318830	321669	2840	1	BBA_04995	1314
NW_007930844.1	335357	335366	10	-	12.4592	1.82e-06	1	Promoter (<=1kb)	9	331363	334778	3416	2	BBA_04103	-588
NW_007930848.1	367263	367272	10	-	12.4592	1.82e-06	1	Promoter (<=1kb)	13	367544	368779	1236	1	BBA_05230	-281
NW_007930858.1	404639	404648	10	+	12.4592	1.82e-06	1	Promoter (<=1kb)	23	403231	405639	2409	2	BBA_07237	991
NW_007930847.1	443422	443431	10	-	12.4592	1.82e-06	1	Promoter (<=1kb)	12	442647	444044	1398	1	BBA_05028	784
NW_007930848.1	516703	516712	10	-	12.4592	1.82e-06	1	Promoter (1-2kb)	13	516803	518104	1302	2	BBA_05274	1401
NW_007930844.1	529166	529175	10	-	12.4592	1.82e-06	1	Promoter (<=1kb)	9	526386	528943	2558	2	BBA_04163	-232
NW_007930841.1	654826	654835	10	-	12.4592	1.82e-06	1	Promoter (<=1kb)	6	654318	655211	894	1	BBA_02960	517
NW_007930849.1	656550	656559	10	-	12.4592	1.82e-06	1	Promoter (1-2kb)	14	657806	658386	581	1	BBA_05560	-1256
NW_007930840.1	1083273	1083282	10	-	12.4592	1.82e-06	1	Promoter (<=1kb)	5	1083728	1084132	405	1	BBA_02627	-455
NW_007930841.1	1178003	1178012	10	-	12.4592	1.82e-06	1	Promoter (1-2kb)	6	1179151	1180002	852	1	BBA_03130	-1148
NW_007930838.1	1180853	1180862	10	-	12.4592	1.82e-06	1	Promoter (<=1kb)	3	1181738	1182442	705	1	BBA_01596	-885
NW_007930841.1	1217141	1217150	10	+	12.4592	1.82e-06	1	Promoter (1-2kb)	6	1215857	1218750	2894	2	BBA_03142	1600
