seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930898.1	18042	18053	12	-	13.4455	1.24e-07	1	Promoter (<=1kb)	63	17447	17998	552	1	BBA_09690	606
NW_007930864.1	23537	23548	12	-	13.4455	1.24e-07	1	Promoter (<=1kb)	29	23168	24783	1616	1	BBA_07884	380
NW_007930871.1	48314	48325	12	-	13.4455	1.24e-07	1	Promoter (1-2kb)	36	43992	47204	3213	2	BBA_08543	-1121
NW_007930849.1	380800	380811	12	+	13.4455	1.24e-07	1	Promoter (<=1kb)	14	376604	380602	3999	2	BBA_05467	-198
NW_007930844.1	415724	415735	12	+	13.4455	1.24e-07	1	Promoter (<=1kb)	9	413902	415311	1410	2	BBA_04130	-413
NW_007930836.1	1895816	1895827	12	+	13.4455	1.24e-07	1	Promoter (1-2kb)	1	1895896	1896966	1071	2	BBA_00613	1139
NW_007930841.1	306458	306469	12	+	13.4356	2.47e-07	1	Promoter (1-2kb)	6	303382	308157	4776	2	BBA_02845	1688
NW_007930849.1	480410	480421	12	+	13.4356	2.47e-07	1	Promoter (1-2kb)	14	478520	479941	1422	1	BBA_05503	1890
NW_007930846.1	610001	610012	12	-	13.4356	2.47e-07	1	Exon (XM_008599924.1/BBA_04827, exon 1 of 1)	11	615244	617285	2042	1	BBA_04828	-5243
NW_007930849.1	641823	641834	12	+	13.4356	2.47e-07	1	Promoter (<=1kb)	14	640391	641364	974	2	BBA_05554	-459
NW_007930856.1	147665	147676	12	+	13.2475	3.49e-07	1	Promoter (1-2kb)	21	146087	147479	1393	1	BBA_06850	1578
NW_007930851.1	635736	635747	12	-	13.2475	3.49e-07	1	Promoter (2-3kb)	16	633455	636504	3050	1	BBA_06014	2292
NW_007930923.1	31632	31643	12	-	13.198	7.55e-07	1	Promoter (3-4kb)	88	31880	35326	3447	2	BBA_10106	3694
NW_007930861.1	190262	190273	12	-	13.198	7.55e-07	1	Promoter (2-3kb)	26	190391	192639	2249	2	BBA_07612	2377
NW_007930867.1	219047	219058	12	+	13.198	7.55e-07	1	Promoter (<=1kb)	32	218477	220031	1555	2	BBA_08236	973
NW_007930843.1	287654	287665	12	+	13.198	7.55e-07	1	Promoter (<=1kb)	8	287952	288961	1010	1	BBA_03734	-287
NW_007930854.1	346390	346401	12	+	13.198	7.55e-07	1	Promoter (1-2kb)	19	346817	347402	586	2	BBA_06531	1001
NW_007930838.1	389386	389397	12	+	13.198	7.55e-07	1	Promoter (1-2kb)	3	387883	390479	2597	1	BBA_01360	1503
NW_007930855.1	496579	496590	12	+	13.198	7.55e-07	1	Promoter (<=1kb)	20	495583	497404	1822	1	BBA_06788	996
NW_007930855.1	537887	537898	12	+	13.198	7.55e-07	1	Promoter (<=1kb)	20	536530	537600	1071	2	BBA_06801	-287
NW_007930851.1	582170	582181	12	+	13.198	7.55e-07	1	Promoter (<=1kb)	16	581203	582135	933	2	BBA_05998	-35
NW_007930838.1	647274	647285	12	+	13.198	7.55e-07	1	Promoter (<=1kb)	3	644678	647092	2415	2	BBA_01432	-182
NW_007930838.1	826104	826115	12	+	13.198	7.55e-07	1	Promoter (2-3kb)	3	824098	826110	2013	1	BBA_01487	2006
NW_007930841.1	932471	932482	12	+	13.198	7.55e-07	1	Promoter (<=1kb)	6	930092	932264	2173	2	BBA_03051	-207
NW_007930842.1	1207732	1207743	12	+	13.198	7.55e-07	1	Promoter (<=1kb)	7	1207470	1207855	386	2	BBA_03610	112
NW_007930860.1	130607	130618	12	-	13.1881	1.16e-06	1	Promoter (<=1kb)	25	130675	131467	793	1	BBA_07468	-68
NW_007930861.1	256261	256272	12	+	13.1881	1.16e-06	1	Promoter (<=1kb)	26	254723	255337	615	2	BBA_07633	-924
NW_007930864.1	303215	303226	12	-	13.1881	1.16e-06	1	Promoter (<=1kb)	29	303287	304126	840	2	BBA_07969	911
NW_007930839.1	376152	376163	12	-	13.1881	1.16e-06	1	Promoter (<=1kb)	4	376221	376850	630	1	BBA_01910	-69
NW_007930837.1	460553	460564	12	-	13.1881	1.16e-06	1	Promoter (<=1kb)	2	458612	460528	1917	2	BBA_00818	-36
NW_007930852.1	555687	555698	12	-	13.1881	1.16e-06	1	Promoter (1-2kb)	17	557120	558158	1039	1	BBA_06179	-1433
NW_007930853.1	616987	616998	12	-	13.1881	1.16e-06	1	Promoter (<=1kb)	18	615080	616986	1907	2	BBA_06409	-12
NW_007930849.1	624171	624182	12	-	13.1881	1.16e-06	1	Promoter (<=1kb)	14	623549	625206	1658	1	BBA_05549	633
NW_007930850.1	640748	640759	12	-	13.1881	1.16e-06	1	Promoter (<=1kb)	15	640821	643427	2607	1	BBA_05789	-73
NW_007930846.1	842467	842478	12	-	13.1881	1.16e-06	1	Promoter (<=1kb)	11	841573	842861	1289	2	BBA_04892	394
NW_007930836.1	1283015	1283026	12	+	13.1881	1.16e-06	1	Promoter (<=1kb)	1	1283147	1283409	263	2	BBA_00419	383
NW_007930838.1	1705745	1705756	12	+	13.1881	1.16e-06	1	Promoter (1-2kb)	3	1699411	1704198	4788	2	BBA_01766	-1547
NW_007930837.1	1843000	1843011	12	-	13.1881	1.16e-06	1	Promoter (2-3kb)	2	1840082	1840387	306	1	BBA_01204	2929
NW_007930836.1	1993373	1993384	12	+	13.1881	1.16e-06	1	Promoter (1-2kb)	1	1991845	1992658	814	1	BBA_00652	1528
NW_007930930.1	1197	1208	12	-	13	1.5e-06	1	Distal Intergenic	95	7235	8371	1137	2	BBA_10166	7174
NW_007930954.1	2898	2909	12	-	13	1.5e-06	1	Promoter (1-2kb)	119	1380	2891	1512	1	BBA_10295	1529
NW_007930854.1	50829	50840	12	+	13	1.5e-06	1	Promoter (<=1kb)	19	50568	51818	1251	2	BBA_06428	978
NW_007930884.1	62979	62990	12	+	13	1.5e-06	1	Promoter (3-4kb)	49	59870	62788	2919	1	BBA_09273	3109
NW_007930862.1	98161	98172	12	-	13	1.5e-06	1	Promoter (<=1kb)	27	98238	99097	860	1	BBA_07707	-77
NW_007930851.1	200748	200759	12	+	13	1.5e-06	1	Promoter (1-2kb)	16	197583	199448	1866	2	BBA_05868	-1300
NW_007930850.1	202779	202790	12	+	13	1.5e-06	1	Promoter (<=1kb)	15	202463	205378	2916	1	BBA_05638	316
NW_007930836.1	355433	355444	12	-	13	1.5e-06	1	Promoter (<=1kb)	1	351113	354688	3576	2	BBA_00121	-756
