seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930917.1	20790	20799	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	82	20648	21112	465	2	BBA_10034	322
NW_007930870.1	23289	23298	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	35	22393	23654	1262	2	BBA_08448	365
NW_007930839.1	31914	31923	10	+	12.9796	7.46e-07	0.655	Promoter (<=1kb)	4	31817	32475	659	1	BBA_01791	97
NW_007930864.1	34717	34726	10	+	12.9796	7.46e-07	0.655	Promoter (1-2kb)	29	33638	34389	752	1	BBA_07888	1079
NW_007930868.1	38877	38886	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	33	35752	38827	3076	2	BBA_08276	-59
NW_007930845.1	39377	39386	10	+	12.9796	7.46e-07	0.655	Promoter (<=1kb)	10	39895	42774	2880	1	BBA_04359	-509
NW_007930853.1	55126	55135	10	+	12.9796	7.46e-07	0.655	Promoter (3-4kb)	18	58509	59522	1014	1	BBA_06225	-3374
NW_007930858.1	57835	57844	10	-	12.9796	7.46e-07	0.655	Promoter (1-2kb)	23	56645	58191	1547	1	BBA_07119	1199
NW_007930848.1	69587	69596	10	-	12.9796	7.46e-07	0.655	Promoter (2-3kb)	13	70764	71645	882	2	BBA_05137	2058
NW_007930860.1	70151	70160	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	25	68282	69483	1202	2	BBA_07447	-677
NW_007930875.1	121262	121271	10	+	12.9796	7.46e-07	0.655	Promoter (1-2kb)	40	120094	122544	2451	1	BBA_08806	1168
NW_007930874.1	124044	124053	10	+	12.9796	7.46e-07	0.655	Distal Intergenic	39	130200	131725	1526	2	BBA_08743	7672
NW_007930852.1	128629	128638	10	-	12.9796	7.46e-07	0.655	Promoter (2-3kb)	17	125760	126011	252	2	BBA_06063	-2627
NW_007930850.1	140894	140903	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	15	139466	140818	1353	2	BBA_05623	-85
NW_007930858.1	143909	143918	10	+	12.9796	7.46e-07	0.655	Promoter (1-2kb)	23	145279	147255	1977	1	BBA_07149	-1361
NW_007930870.1	149590	149599	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	35	149041	150567	1527	2	BBA_08498	977
NW_007930851.1	158501	158510	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	16	157439	157954	516	2	BBA_05853	-556
NW_007930868.1	202250	202259	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	33	200978	202071	1094	2	BBA_08312	-188
NW_007930839.1	203831	203840	10	+	12.9796	7.46e-07	0.655	Promoter (1-2kb)	4	201450	204962	3513	2	BBA_01853	1122
NW_007930842.1	227792	227801	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	7	227360	227791	432	1	BBA_03286	441
NW_007930862.1	244619	244628	10	+	12.9796	7.46e-07	0.655	Promoter (1-2kb)	27	244695	245838	1144	2	BBA_07746	1210
NW_007930857.1	261347	261356	10	+	12.9796	7.46e-07	0.655	Promoter (<=1kb)	22	260131	261141	1011	2	BBA_07028	-206
NW_007930838.1	277550	277559	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	3	277594	277823	230	2	BBA_01324	273
NW_007930842.1	280428	280437	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	7	280689	281768	1080	1	BBA_03308	-261
NW_007930850.1	288975	288984	10	+	12.9796	7.46e-07	0.655	Promoter (1-2kb)	15	287509	287907	399	2	BBA_05667	-1068
NW_007930840.1	291894	291903	10	-	12.9796	7.46e-07	0.655	Promoter (1-2kb)	5	289915	291782	1868	1	BBA_02388	1988
NW_007930847.1	305731	305740	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	12	303811	305291	1481	2	BBA_04990	-449
NW_007930858.1	321230	321239	10	+	12.9796	7.46e-07	0.655	Promoter (1-2kb)	23	319874	322729	2856	1	BBA_07214	1356
NW_007930861.1	354101	354110	10	+	12.9796	7.46e-07	0.655	Promoter (<=1kb)	26	352639	354537	1899	2	BBA_07665	427
NW_007930845.1	365459	365468	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	10	364961	365500	540	1	BBA_04460	507
NW_007930844.1	367205	367214	10	+	12.9796	7.46e-07	0.655	Promoter (1-2kb)	9	363049	365298	2250	2	BBA_04116	-1907
NW_007930859.1	377058	377067	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	24	375902	376861	960	2	BBA_07406	-206
NW_007930843.1	404936	404945	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	8	403324	405229	1906	2	BBA_03761	293
NW_007930853.1	411044	411053	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	18	411042	411717	676	2	BBA_06333	673
NW_007930852.1	429977	429986	10	+	12.9796	7.46e-07	0.655	Promoter (2-3kb)	17	431181	432489	1309	2	BBA_06142	2503
NW_007930842.1	429981	429990	10	+	12.9796	7.46e-07	0.655	Promoter (<=1kb)	7	429655	430497	843	1	BBA_03360	326
NW_007930857.1	454419	454428	10	+	12.9796	7.46e-07	0.655	Promoter (3-4kb)	22	455187	458426	3240	2	BBA_07080	3998
NW_007930840.1	479265	479274	10	+	12.9796	7.46e-07	0.655	Promoter (<=1kb)	5	479245	480562	1318	1	BBA_02445	20
NW_007930838.1	484982	484991	10	+	12.9796	7.46e-07	0.655	Promoter (1-2kb)	3	486769	489047	2279	1	BBA_01391	-1778
NW_007930836.1	501712	501721	10	-	12.9796	7.46e-07	0.655	Promoter (1-2kb)	1	500472	501228	757	1	BBA_00168	1249
NW_007930854.1	543745	543754	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	19	544562	545962	1401	1	BBA_06598	-817
NW_007930839.1	554538	554547	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	4	553683	554981	1299	2	BBA_01967	443
NW_007930844.1	589240	589249	10	-	12.9796	7.46e-07	0.655	Promoter (1-2kb)	9	587360	590661	3302	2	BBA_04183	1421
NW_007930843.1	665632	665641	10	+	12.9796	7.46e-07	0.655	Promoter (<=1kb)	8	665911	668343	2433	1	BBA_03846	-270
NW_007930839.1	682352	682361	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	4	682004	682594	591	1	BBA_02009	357
NW_007930846.1	700633	700642	10	-	12.9796	7.46e-07	0.655	Promoter (3-4kb)	11	697514	701490	3977	1	BBA_04852	3128
NW_007930847.1	710485	710494	10	+	12.9796	7.46e-07	0.655	Promoter (<=1kb)	12	710354	710551	198	2	BBA_05113	57
NW_007930843.1	727171	727180	10	+	12.9796	7.46e-07	0.655	Promoter (1-2kb)	8	723275	725961	2687	2	BBA_03865	-1210
NW_007930836.1	960380	960389	10	+	12.9796	7.46e-07	0.655	Promoter (<=1kb)	1	959961	960722	762	1	BBA_00317	419
NW_007930840.1	963966	963975	10	-	12.9796	7.46e-07	0.655	Promoter (3-4kb)	5	964738	967374	2637	2	BBA_02591	3408
NW_007930839.1	1021208	1021217	10	-	12.9796	7.46e-07	0.655	Promoter (1-2kb)	4	1015933	1022710	6778	2	BBA_02117	1502
NW_007930842.1	1021802	1021811	10	+	12.9796	7.46e-07	0.655	Promoter (1-2kb)	7	1020752	1026010	5259	1	BBA_03558	1050
NW_007930836.1	1039127	1039136	10	+	12.9796	7.46e-07	0.655	Promoter (<=1kb)	1	1039177	1040509	1333	1	BBA_00343	-41
NW_007930843.1	1046977	1046986	10	-	12.9796	7.46e-07	0.655	Promoter (1-2kb)	8	1046385	1047998	1614	2	BBA_03956	1021
NW_007930842.1	1089148	1089157	10	-	12.9796	7.46e-07	0.655	Promoter (<=1kb)	7	1084754	1090035	5282	2	BBA_03574	887
NW_007930844.1	1119689	1119698	10	-	12.9796	7.46e-07	0.655	Promoter (2-3kb)	9	1122388	1125111	2724	1	BBA_04342	-2699
NW_007930837.1	1173571	1173580	10	+	12.9796	7.46e-07	0.655	Promoter (1-2kb)	2	1175110	1176915	1806	1	BBA_01000	-1530
NW_007930836.1	1266189	1266198	10	+	12.9796	7.46e-07	0.655	Promoter (1-2kb)	1	1264397	1265238	842	1	BBA_00417	1792
NW_007930838.1	1282492	1282501	10	+	12.9796	7.46e-07	0.655	Promoter (1-2kb)	3	1283533	1284083	551	1	BBA_01632	-1032
NW_007930839.1	1496697	1496706	10	+	12.9796	7.46e-07	0.655	Promoter (4-5kb)	4	1490672	1491823	1152	2	BBA_02257	-4874
NW_007930837.1	1521672	1521681	10	+	12.9796	7.46e-07	0.655	Promoter (<=1kb)	2	1521760	1526068	4309	1	BBA_01103	-79
NW_007930837.1	1585223	1585232	10	+	12.9796	7.46e-07	0.655	Promoter (<=1kb)	2	1582498	1584467	1970	2	BBA_01124	-756
NW_007930837.1	1820998	1821007	10	-	12.9796	7.46e-07	0.655	Promoter (2-3kb)	2	1818609	1821543	2935	1	BBA_01202	2398
NW_007930874.1	1584	1593	10	+	12.7143	1.65e-06	0.655	Promoter (<=1kb)	39	546	1391	846	2	BBA_08715	-193
NW_007930973.1	2341	2350	10	+	12.7143	1.65e-06	0.655	Promoter (2-3kb)	135	1736	5128	3393	2	BBA_10337	2778
NW_007930886.1	3486	3495	10	+	12.7143	1.65e-06	0.655	Promoter (<=1kb)	51	3992	4975	984	1	BBA_09328	-497
NW_007930907.1	3978	3987	10	+	12.7143	1.65e-06	0.655	Promoter (2-3kb)	72	2294	6103	3810	2	BBA_09865	2116
NW_007930896.1	18844	18853	10	-	12.7143	1.65e-06	0.655	Promoter (<=1kb)	61	17479	19487	2009	2	BBA_09639	643
NW_007930899.1	28793	28802	10	+	12.7143	1.65e-06	0.655	Promoter (<=1kb)	64	29564	30568	1005	1	BBA_09722	-762
NW_007930843.1	96753	96762	10	+	12.7143	1.65e-06	0.655	Promoter (<=1kb)	8	96888	97989	1102	1	BBA_03665	-126
NW_007930853.1	117873	117882	10	+	12.7143	1.65e-06	0.655	Promoter (2-3kb)	18	113285	115598	2314	2	BBA_06245	-2275
NW_007930868.1	172064	172073	10	-	12.7143	1.65e-06	0.655	Promoter (<=1kb)	33	162252	171821	9570	2	BBA_08303	-252
NW_007930869.1	181959	181968	10	+	12.7143	1.65e-06	0.655	Promoter (1-2kb)	34	180818	182881	2064	1	BBA_08404	1141
NW_007930839.1	197340	197349	10	+	12.7143	1.65e-06	0.655	Promoter (<=1kb)	4	196891	198699	1809	1	BBA_01851	449
NW_007930865.1	249859	249868	10	+	12.7143	1.65e-06	0.655	Promoter (2-3kb)	30	252151	254936	2786	1	BBA_08070	-2283
NW_007930846.1	267574	267583	10	-	12.7143	1.65e-06	0.655	Promoter (1-2kb)	11	268017	269035	1019	2	BBA_04727	1461
