"seqnames","start","end","width","strand","score","p_value","q_value","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","distanceToTSS","GeneID","transcript_id","protein_id"
"NW_007930905.1",1,8,8,"-",11.9878,1.79e-05,1,"Promoter (1-2kb)",70,740,1098,359,2,"BBA_09824",1097,NA,NA,NA
"NW_007930912.1",348,355,8,"+",11.9878,1.79e-05,1,"Promoter (2-3kb)",77,2422,2943,522,1,"BBA_09952",-2067,NA,NA,NA
"NW_007930982.1",427,434,8,"-",11.9878,1.79e-05,1,"Promoter (<=1kb)",142,877,3095,2219,1,"BBA_10347",-450,"19893359","XM_008605444.1","XP_008603666.1"
"NW_007930863.1",463,470,8,"-",11.9878,1.79e-05,1,"Promoter (<=1kb)",28,221,1140,920,1,"BBA_07774",249,NA,NA,NA
"NW_007930895.1",471,478,8,"-",11.9878,1.79e-05,1,"Promoter (2-3kb)",60,2507,4129,1623,1,"BBA_09609",-2036,NA,NA,NA
"NW_007930985.1",1019,1026,8,"+",11.9878,1.79e-05,1,"Promoter (<=1kb)",145,929,4381,3453,1,"BBA_10353",90,"19893365","XM_008605450.1","XP_008603672.1"
"NW_007930869.1",1047,1054,8,"-",11.9878,1.79e-05,1,"Promoter (<=1kb)",34,580,1367,788,1,"BBA_08331",474,NA,NA,NA
"NW_007930862.1",1579,1586,8,"+",11.9878,1.79e-05,1,"Promoter (<=1kb)",27,835,1539,705,1,"BBA_07673",744,NA,NA,NA
"NW_007930973.1",1962,1969,8,"+",11.9878,1.79e-05,1,"Promoter (3-4kb)",135,1736,5128,3393,2,"BBA_10337",3159,"19893349","XM_008605434.1","XP_008603656.1"
"NW_007930853.1",2078,2085,8,"+",11.9878,1.79e-05,1,"Promoter (<=1kb)",18,114,2243,2130,2,"BBA_06208",158,NA,NA,NA
"NW_007930934.1",2086,2093,8,"+",11.9878,1.79e-05,1,"Promoter (<=1kb)",99,2571,3869,1299,1,"BBA_10205",-478,NA,NA,NA
"NW_007930988.1",2150,2157,8,"+",11.9878,1.79e-05,1,"Promoter (1-2kb)",147,1391,3930,2540,2,"BBA_10356",1773,"19893368","XM_008605453.1","XP_008603675.1"
"NW_007930975.1",2370,2377,8,"+",11.9878,1.79e-05,1,"Promoter (<=1kb)",137,1238,2454,1217,2,"BBA_10339",77,NA,NA,NA
"NW_007930886.1",2776,2783,8,"-",11.9878,1.79e-05,1,"Promoter (1-2kb)",51,3992,4975,984,1,"BBA_09328",-1216,NA,NA,NA
"NW_007930924.1",2812,2819,8,"+",11.9878,1.79e-05,1,"Promoter (<=1kb)",89,3155,5230,2076,1,"BBA_10107",-336,NA,NA,NA
"NW_007930918.1",2912,2919,8,"+",11.9878,1.79e-05,1,"Promoter (1-2kb)",83,2173,3970,1798,2,"BBA_10040",1051,NA,NA,NA
"NW_007930919.1",3003,3010,8,"-",11.9878,1.79e-05,1,"Promoter (2-3kb)",84,1000,2772,1773,1,"BBA_10050",2010,NA,NA,NA
"NW_007930980.1",3156,3163,8,"+",11.9878,1.79e-05,1,"Promoter (1-2kb)",140,2431,4253,1823,2,"BBA_10345",1090,"19893357","XM_008605442.1","XP_008603664.1"
"NW_007930938.1",3444,3451,8,"-",11.9878,1.79e-05,1,"Promoter (<=1kb)",103,2161,3621,1461,2,"BBA_10225",177,NA,NA,NA
"NW_007930883.1",4085,4092,8,"+",11.9878,1.79e-05,1,"Promoter (<=1kb)",48,482,4338,3857,2,"BBA_09217",246,NA,NA,NA
"NW_007930928.1",4117,4124,8,"-",11.9878,1.79e-05,1,"Promoter (<=1kb)",93,3212,4261,1050,1,"BBA_10144",912,NA,NA,NA
"NW_007930888.1",4530,4537,8,"-",11.9878,1.79e-05,1,"Promoter (1-2kb)",53,4834,5731,898,2,"BBA_09397",1201,NA,NA,NA
"NW_007930932.1",5296,5303,8,"-",11.9878,1.79e-05,1,"Promoter (<=1kb)",97,4072,5837,1766,2,"BBA_10183",541,NA,NA,NA
"NW_007930906.1",5445,5452,8,"+",11.9878,1.79e-05,1,"Promoter (<=1kb)",71,5035,5947,913,1,"BBA_09847",410,NA,NA,NA
"NW_007930970.1",5718,5725,8,"-",11.9878,1.79e-05,1,"Promoter (<=1kb)",133,4558,5629,1072,2,"BBA_10333",-96,"19893345","XM_008605430.1","XP_008603652.1"
"NW_007930856.1",5793,5800,8,"-",11.9878,1.79e-05,1,"Promoter (<=1kb)",21,4453,6337,1885,2,"BBA_06804",544,NA,NA,NA
"NW_007930943.1",6644,6651,8,"-",11.9878,1.79e-05,1,"Promoter (2-3kb)",108,4084,7964,3881,1,"BBA_10249",2567,NA,NA,NA
"NW_007930957.1",6662,6669,8,"-",11.9878,1.79e-05,1,"Promoter (<=1kb)",122,6618,7472,855,2,"BBA_10305",810,"19893317","XM_008605402.1","XP_008603624.1"
"NW_007930862.1",6827,6834,8,"+",11.9878,1.79e-05,1,"Promoter (<=1kb)",27,6153,6758,606,2,"BBA_07676",-69,NA,NA,NA
"NW_007930948.1",7170,7177,8,"-",11.9878,1.79e-05,1,"Promoter (3-4kb)",113,6265,10855,4591,2,"BBA_10272",3685,NA,NA,NA
"NW_007930872.1",7333,7340,8,"-",11.9878,1.79e-05,1,"Promoter (3-4kb)",37,6000,10461,4462,2,"BBA_08610",3128,NA,NA,NA
"NW_007930858.1",7762,7769,8,"-",11.9878,1.79e-05,1,"Promoter (<=1kb)",23,7013,8059,1047,2,"BBA_07104",297,NA,NA,NA
"NW_007930964.1",8670,8677,8,"+",11.9878,1.79e-05,1,"Promoter (1-2kb)",128,4793,6768,1976,2,"BBA_10322",-1902,"19893334","XM_008605419.1","XP_008603641.1"
"NW_007930907.1",8683,8690,8,"+",11.9878,1.79e-05,1,"Promoter (<=1kb)",72,7237,8849,1613,2,"BBA_09866",159,NA,NA,NA
"NW_007930841.1",8721,8728,8,"-",11.9878,1.79e-05,1,"Promoter (<=1kb)",6,8570,9367,798,1,"BBA_02749",158,NA,NA,NA
"NW_007930915.1",8735,8742,8,"+",11.9878,1.79e-05,1,"Promoter (<=1kb)",80,6949,9189,2241,2,"BBA_10001",447,NA,NA,NA
"NW_007930868.1",8952,8959,8,"+",11.9878,1.79e-05,1,"Promoter (1-2kb)",33,6986,11894,4909,1,"BBA_08268",1966,NA,NA,NA
"NW_007930846.1",9120,9127,8,"+",11.9878,1.79e-05,1,"Promoter (1-2kb)",11,7761,9409,1649,1,"BBA_04648",1359,NA,NA,NA
"NW_007930886.1",9161,9168,8,"-",11.9878,1.79e-05,1,"Promoter (1-2kb)",51,7988,9106,1119,1,"BBA_09329",1180,NA,NA,NA
"NW_007930884.1",9173,9180,8,"+",11.9878,1.79e-05,1,"Promoter (1-2kb)",49,6338,10385,4048,2,"BBA_09258",1205,NA,NA,NA
