locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00002	NW_007930836.1	6891	6898	8	-	11.3049	5.36e-05	1	Promoter (<=1kb)	1	5664	7104	1441	2	213	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00003	NW_007930836.1	8747	8754	8	+	11.0122	8.62e-05	1	Promoter (<=1kb)	1	8108	8869	762	2	115	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00004	NW_007930836.1	12040	12047	8	+	11.2195	7.15e-05	1	Promoter (<=1kb)	1	12136	13042	907	1	-89	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00005	NW_007930836.1	14204	14211	8	+	11.3049	5.36e-05	1	Promoter (1-2kb)	1	15330	20029	4700	1	-1119	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00012	NW_007930836.1	37912	37919	8	-	11.9878	1.79e-05	1	Promoter (<=1kb)	1	37116	37424	309	2	-495	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00018	NW_007930836.1	54279	54286	8	+	11.3049	5.36e-05	1	Promoter (2-3kb)	1	55812	56743	932	2	2457	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00018	NW_007930836.1	55104	55111	8	-	11.9878	1.79e-05	1	Promoter (1-2kb)	1	55812	56743	932	2	1639	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00025	NW_007930836.1	77036	77043	8	+	11.9878	1.79e-05	1	Promoter (1-2kb)	1	77430	78098	669	2	1055	19883037	XM_008595122.1	XP_008593344.1	uncharacterized protein
BBA_00028	NW_007930836.1	82917	82924	8	+	11.2195	7.15e-05	1	Promoter (<=1kb)	1	81860	83583	1724	2	659	19883040	XM_008595125.1	XP_008593347.1	oxysterol-binding family protein
BBA_00028	NW_007930836.1	83729	83736	8	-	11.9878	1.79e-05	1	Promoter (<=1kb)	1	81860	83583	1724	2	-153	19883040	XM_008595125.1	XP_008593347.1	oxysterol-binding family protein
BBA_00029	NW_007930836.1	85320	85327	8	+	11.3049	5.36e-05	1	Promoter (<=1kb)	1	85654	87786	2133	1	-327	19883041	XM_008595126.1	XP_008593348.1	pumilio-family RNA binding repeat domain-containing protein
BBA_00032	NW_007930836.1	94583	94590	8	+	11.3902	3.58e-05	1	Promoter (1-2kb)	1	94827	95943	1117	2	1353	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00033	NW_007930836.1	100648	100655	8	-	11.2195	7.15e-05	1	Promoter (1-2kb)	1	102128	105545	3418	1	-1480	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00036	NW_007930836.1	111970	111977	8	-	11.0122	8.62e-05	1	Promoter (<=1kb)	1	110439	111308	870	2	-669	19883048	XM_008595133.1	XP_008593355.1	Ras family protein
BBA_00040	NW_007930836.1	120729	120736	8	-	11.3902	3.58e-05	1	Promoter (<=1kb)	1	121573	122736	1164	1	-844	19883052	XM_008595137.1	XP_008593359.1	uncharacterized protein
BBA_00047	NW_007930836.1	136449	136456	8	-	11.2195	7.15e-05	1	Promoter (<=1kb)	1	135407	136672	1266	2	223	19883059	XM_008595144.1	XP_008593366.1	Cel5b-like protein
BBA_00048	NW_007930836.1	137907	137914	8	+	11.9878	1.79e-05	1	Promoter (<=1kb)	1	138249	138827	579	1	-335	19883060	XM_008595145.1	XP_008593367.1	uncharacterized protein
BBA_00049	NW_007930836.1	142764	142771	8	+	11.2195	7.15e-05	1	Promoter (<=1kb)	1	140006	141980	1975	2	-784	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00052	NW_007930836.1	152252	152259	8	+	11.3902	3.58e-05	1	Promoter (<=1kb)	1	151356	152775	1420	2	516	19883064	XM_008595149.1	XP_008593371.1	polysaccharide export protein (CAP59)
BBA_00060	NW_007930836.1	170109	170116	8	-	11.9878	1.79e-05	1	Promoter (1-2kb)	1	168317	172112	3796	1	1799	19883072	XM_008595157.1	XP_008593379.1	MutS domain V
BBA_00061	NW_007930836.1	171291	171298	8	+	11.3902	3.58e-05	1	Promoter (1-2kb)	1	173082	174917	1836	1	-1784	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00061	NW_007930836.1	173569	173576	8	+	11.9878	1.79e-05	1	Promoter (<=1kb)	1	173082	174917	1836	1	487	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00061	NW_007930836.1	172144	172151	8	+	11.3902	3.58e-05	1	Promoter (<=1kb)	1	173082	174917	1836	1	-931	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00062	NW_007930836.1	177371	177378	8	-	11.2195	7.15e-05	1	Promoter (<=1kb)	1	175409	177189	1781	2	-189	19883074	XM_008595159.1	XP_008593381.1	cellobiose dehydrogenase
