seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930966.1	152	158	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	130	899	2183	1285	1	BBA_10324	-741
NW_007930895.1	320	326	7	+	13.4024	4.39e-05	1	Promoter (2-3kb)	60	2507	4129	1623	1	BBA_09609	-2181
NW_007930862.1	612	618	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	27	835	1539	705	1	BBA_07673	-223
NW_007930943.1	761	767	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	108	1015	2051	1037	1	BBA_10248	-254
NW_007930922.1	811	817	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	87	1237	4379	3143	1	BBA_10094	-426
NW_007930891.1	844	850	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	56	915	1403	489	1	BBA_09496	-65
NW_007930984.1	875	881	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	144	170	1254	1085	2	BBA_10351	379
NW_007930859.1	973	979	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	24	741	1523	783	2	BBA_07274	550
NW_007930841.1	1187	1193	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	6	74	1253	1180	2	BBA_02745	60
NW_007930969.1	2072	2078	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	132	2611	3965	1355	1	BBA_10330	-533
NW_007930951.1	2130	2136	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	116	1227	1628	402	2	BBA_10284	-508
NW_007930982.1	2196	2202	7	+	13.4024	4.39e-05	1	Promoter (1-2kb)	142	877	3095	2219	1	BBA_10347	1319
NW_007930933.1	2431	2437	7	-	13.4024	4.39e-05	1	Promoter (2-3kb)	98	2160	5193	3034	2	BBA_10192	2762
NW_007930897.1	2456	2462	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	62	2746	2974	229	2	BBA_09663	518
NW_007930923.1	2566	2572	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	88	2725	3601	877	1	BBA_10100	-159
NW_007930870.1	2632	2638	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	35	2041	3617	1577	1	BBA_08438	597
NW_007930884.1	3021	3027	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	49	1568	2701	1134	2	BBA_09256	-326
NW_007930970.1	3103	3109	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	133	3697	3940	244	1	BBA_10332	-594
NW_007930904.1	3135	3141	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	69	3423	4355	933	1	BBA_09808	-288
NW_007930931.1	3138	3144	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	96	2857	3811	955	1	BBA_10172	287
NW_007930857.1	3359	3365	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	22	2692	4239	1548	2	BBA_06955	880
NW_007930948.1	3571	3577	7	+	13.4024	4.39e-05	1	Promoter (1-2kb)	113	2472	5416	2945	1	BBA_10271	1099
NW_007930864.1	3590	3596	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	29	3147	6928	3782	1	BBA_07881	449
NW_007930842.1	3694	3700	7	+	13.4024	4.39e-05	1	Promoter (1-2kb)	7	3012	5159	2148	2	BBA_03205	1459
NW_007930929.1	3803	3809	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	94	1528	3697	2170	2	BBA_10154	-112
NW_007930904.1	3964	3970	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	69	3423	4355	933	1	BBA_09808	541
NW_007930880.1	4079	4085	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	45	3915	4402	488	1	BBA_09077	170
NW_007930865.1	4137	4143	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	30	3206	4513	1308	2	BBA_07979	376
NW_007930891.1	4317	4323	7	-	13.4024	4.39e-05	1	Promoter (1-2kb)	56	2679	3667	989	1	BBA_09498	1644
NW_007930970.1	4326	4332	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	133	3697	3940	244	1	BBA_10332	629
NW_007930957.1	4352	4358	7	+	13.4024	4.39e-05	1	Promoter (1-2kb)	122	4946	5805	860	2	BBA_10304	1447
NW_007930848.1	4354	4360	7	-	13.4024	4.39e-05	1	Promoter (2-3kb)	13	256	2040	1785	2	BBA_05123	-2320
NW_007930919.1	4476	4482	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	84	2945	5446	2502	2	BBA_10051	970
NW_007930882.1	4497	4503	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	47	5140	6192	1053	1	BBA_09174	-637
NW_007930955.1	4531	4537	7	-	13.4024	4.39e-05	1	Promoter (1-2kb)	120	3376	7603	4228	1	BBA_10298	1161
NW_007930936.1	4711	4717	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	101	4431	5793	1363	1	BBA_10217	280
NW_007930855.1	4794	4800	7	+	13.4024	4.39e-05	1	Promoter (1-2kb)	20	3268	3570	303	2	BBA_06634	-1224
NW_007930892.1	4799	4805	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	57	3915	5653	1739	2	BBA_09526	854
NW_007930874.1	5047	5053	7	-	13.4024	4.39e-05	1	Promoter (1-2kb)	39	3345	8106	4762	1	BBA_08716	1708
NW_007930966.1	5124	5130	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	130	3644	5182	1539	2	BBA_10325	52
NW_007930933.1	5207	5213	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	98	2160	5193	3034	2	BBA_10192	-20
NW_007930836.1	5213	5219	7	-	13.4024	4.39e-05	1	Promoter (1-2kb)	1	3335	3683	349	1	BBA_00001	1884
NW_007930865.1	5309	5315	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	30	3206	4513	1308	2	BBA_07979	-802
NW_007930863.1	5413	5419	7	-	13.4024	4.39e-05	1	Promoter (1-2kb)	28	6868	7565	698	1	BBA_07776	-1455
NW_007930975.1	5621	5627	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	137	3525	5746	2222	2	BBA_10340	125
NW_007930904.1	5926	5932	7	-	13.4024	4.39e-05	1	Promoter (<=1kb)	69	5098	5657	560	2	BBA_09809	-275
NW_007930925.1	6168	6174	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	90	5846	6946	1101	1	BBA_10115	322
NW_007930893.1	6239	6245	7	+	13.4024	4.39e-05	1	Promoter (<=1kb)	58	5664	7238	1575	1	BBA_09553	575
