# SignalP-6.0	Organism: Other	Timestamp: 20250304222817
# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position
XP_008593321.1 ABC transporter _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000009	0.000000	0.000000	0.000000	0.000000	
XP_008593322.1 uncharacterized protein BBA_00003 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593323.1 cell wall associated protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593324.1 ABC transporter transmembrane region _Beauveria bassiana ARSEF 2860_	OTHER	0.999665	0.000326	0.000003	0.000001	0.000001	0.000003	
XP_008593328.1 uncharacterized protein BBA_00009 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000005	0.000000	0.000000	0.000000	0.000000	
XP_008593330.1 serine_threonine-protein kinase sck1 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000004	0.000000	0.000000	0.000000	0.000000	
XP_008593332.1 cellobiose dehydrogenase, putative _Beauveria bassiana ARSEF 2860_	OTHER	0.587828	0.411372	0.000164	0.000306	0.000168	0.000169	
XP_008593335.1 U4_U6 small nuclear ribonucleoprotein Prp4 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593337.1 2OG-Fe_II_ oxygenase family Oxidoreductase _Beauveria bassiana ARSEF 2860_	OTHER	0.810179	0.182792	0.002923	0.001225	0.000734	0.002162	
XP_008593338.1 tat pathway signal sequence _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593339.1 glycerate dehydrogenase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593342.1 uncharacterized protein BBA_00023 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000006	0.000000	0.000000	0.000000	0.000000	
XP_008593356.1 gp24-like protein _Beauveria bassiana ARSEF 2860_	SP	0.000305	0.999034	0.000166	0.000178	0.000156	0.000146	CS pos: 18-19. Pr: 0.9708
XP_008593357.1 AMME syndrome protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
