seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930846.1	3224	3233	10	+	8.49	1.11e-06	0.675	Promoter (<=1kb)	11	2011	3807	1797	2	BBA_04646	574
NW_007930943.1	4954	4963	10	-	8.49	1.11e-06	0.675	Promoter (<=1kb)	108	4084	7964	3881	1	BBA_10249	879
NW_007930947.1	5702	5711	10	+	8.49	1.11e-06	0.675	Distal Intergenic	112	14126	15933	1808	1	BBA_10269	-8415
NW_007930965.1	5874	5883	10	+	8.49	1.11e-06	0.675	Distal Intergenic	129	366	2002	1637	1	BBA_10323	5508
NW_007930943.1	7134	7143	10	+	8.49	1.11e-06	0.675	Promoter (3-4kb)	108	4084	7964	3881	1	BBA_10249	3050
NW_007930862.1	21850	21859	10	-	8.49	1.11e-06	0.675	Promoter (2-3kb)	27	23714	23959	246	2	BBA_07682	2109
NW_007930848.1	26454	26463	10	-	8.49	1.11e-06	0.675	Promoter (<=1kb)	13	25767	27118	1352	1	BBA_05126	696
NW_007930916.1	30978	30987	10	-	8.49	1.11e-06	0.675	Promoter (<=1kb)	81	30552	35831	5280	1	BBA_10023	435
NW_007930836.1	39173	39182	10	+	8.49	1.11e-06	0.675	Promoter (<=1kb)	1	38580	39928	1349	2	BBA_00013	746
NW_007930906.1	44680	44689	10	+	8.49	1.11e-06	0.675	Promoter (1-2kb)	71	44446	46074	1629	2	BBA_09858	1385
NW_007930875.1	53498	53507	10	-	8.49	1.11e-06	0.675	Promoter (<=1kb)	40	53499	54646	1148	1	BBA_08782	0
NW_007930903.1	53870	53879	10	-	8.49	1.11e-06	0.675	Promoter (1-2kb)	68	55524	56708	1185	1	BBA_09800	-1654
NW_007930893.1	55256	55265	10	+	8.49	1.11e-06	0.675	Promoter (3-4kb)	58	51118	51991	874	2	BBA_09569	-3265
NW_007930877.1	55722	55731	10	-	8.49	1.11e-06	0.675	Promoter (1-2kb)	42	55767	57626	1860	2	BBA_08911	1904
NW_007930869.1	71226	71235	10	+	8.49	1.11e-06	0.675	Promoter (<=1kb)	34	70283	72054	1772	1	BBA_08360	943
NW_007930890.1	71837	71846	10	+	8.49	1.11e-06	0.675	Promoter (<=1kb)	55	72075	72622	548	2	BBA_09487	776
NW_007930879.1	79213	79222	10	-	8.49	1.11e-06	0.675	Promoter (3-4kb)	44	82240	83079	840	1	BBA_09048	-3027
NW_007930842.1	80603	80612	10	-	8.49	1.11e-06	0.675	Promoter (<=1kb)	7	80464	81717	1254	1	BBA_03233	148
NW_007930845.1	82922	82931	10	-	8.49	1.11e-06	0.675	Promoter (2-3kb)	10	84071	85438	1368	2	BBA_04375	2516
NW_007930858.1	88685	88694	10	+	8.49	1.11e-06	0.675	Promoter (<=1kb)	23	88230	91212	2983	1	BBA_07130	455
NW_007930844.1	89230	89239	10	-	8.49	1.11e-06	0.675	Promoter (1-2kb)	9	88157	90793	2637	2	BBA_04024	1563
NW_007930886.1	97580	97589	10	-	8.49	1.11e-06	0.675	Promoter (<=1kb)	51	96908	98164	1257	2	BBA_09359	584
