locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	3967	3978	12	+	11.0396	7.93e-05	1	Promoter (<=1kb)	1	3335	3683	349	1	632	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00004	NW_007930836.1	12709	12720	12	-	10.8614	9.17e-05	1	Promoter (<=1kb)	1	12136	13042	907	1	584	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00005	NW_007930836.1	15204	15215	12	-	10.9307	8.37e-05	1	Promoter (<=1kb)	1	15330	20029	4700	1	-126	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00009	NW_007930836.1	27636	27647	12	+	11.5446	4.53e-05	1	Promoter (1-2kb)	1	26627	26932	306	1	1009	19883021	XM_008595106.1	XP_008593328.1	uncharacterized protein
BBA_00023	NW_007930836.1	70632	70643	12	+	10.802	9.86e-05	1	Promoter (<=1kb)	1	71296	72546	1251	1	-653	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
BBA_00025	NW_007930836.1	76840	76851	12	+	11.0792	7.85e-05	1	Promoter (1-2kb)	1	77430	78098	669	2	1247	19883037	XM_008595122.1	XP_008593344.1	uncharacterized protein
BBA_00028	NW_007930836.1	84137	84148	12	+	11.3366	5.78e-05	1	Promoter (<=1kb)	1	81860	83583	1724	2	-554	19883040	XM_008595125.1	XP_008593347.1	oxysterol-binding family protein
BBA_00036	NW_007930836.1	111400	111411	12	+	10.8416	9.41e-05	1	Promoter (<=1kb)	1	110439	111308	870	2	-92	19883048	XM_008595133.1	XP_008593355.1	Ras family protein
BBA_00039	NW_007930836.1	119973	119984	12	-	10.802	9.86e-05	1	Promoter (<=1kb)	1	119294	119569	276	1	690	19883051	XM_008595136.1	XP_008593358.1	uncharacterized protein
BBA_00042	NW_007930836.1	127098	127109	12	-	11.0891	7.64e-05	1	Promoter (1-2kb)	1	125824	127043	1220	1	1285	19883054	XM_008595139.1	XP_008593361.1	homoserine acetyltransferase family protein
BBA_00049	NW_007930836.1	143321	143332	12	-	10.8713	9.09e-05	1	Promoter (1-2kb)	1	140006	141980	1975	2	-1352	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00059	NW_007930836.1	166205	166216	12	-	11.6931	3.32e-05	1	Promoter (<=1kb)	1	166586	167842	1257	1	-381	19883071	XM_008595156.1	XP_008593378.1	FAD binding domain containing protein
BBA_00063	NW_007930836.1	178105	178116	12	-	11.0891	7.64e-05	1	Promoter (<=1kb)	1	178123	178827	705	2	722	19883075	XM_008595160.1	XP_008593382.1	AMP-binding enzyme, putative
BBA_00069	NW_007930836.1	199187	199198	12	+	10.8317	9.73e-05	1	Promoter (<=1kb)	1	199580	200518	939	1	-382	19883081	XM_008595166.1	XP_008593388.1	metalloprotease MEP1
BBA_00071	NW_007930836.1	203712	203723	12	-	11.1485	6.87e-05	1	Promoter (1-2kb)	1	204827	207269	2443	1	-1115	19883083	XM_008595168.1	XP_008593390.1	nitrate assimilation regulatory protein nirA
BBA_00071	NW_007930836.1	204385	204396	12	-	11.0792	7.85e-05	1	Promoter (<=1kb)	1	204827	207269	2443	1	-442	19883083	XM_008595168.1	XP_008593390.1	nitrate assimilation regulatory protein nirA
BBA_00078	NW_007930836.1	230548	230559	12	-	10.8317	9.73e-05	1	Promoter (3-4kb)	1	226883	227794	912	1	3676	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00079	NW_007930836.1	232575	232586	12	+	12.0792	1.95e-05	1	Promoter (4-5kb)	1	235076	236668	1593	2	4082	19883091	XM_008595176.1	XP_008593398.1	LysR family regulatory protein
BBA_00085	NW_007930836.1	247951	247962	12	+	11.5545	4.43e-05	1	Promoter (<=1kb)	1	247155	247886	732	2	-65	19883097	XM_008595182.1	XP_008593404.1	Orf2-like protein
BBA_00087	NW_007930836.1	252953	252964	12	+	12.1584	1.57e-05	1	Promoter (1-2kb)	1	250501	251633	1133	2	-1320	19883099	XM_008595184.1	XP_008593406.1	uncharacterized protein
BBA_00089	NW_007930836.1	263185	263196	12	+	11.8614	2.8e-05	1	Promoter (2-3kb)	1	260154	260459	306	2	-2726	19883101	XM_008595186.1	XP_008593408.1	uncharacterized protein
BBA_00094	NW_007930836.1	275660	275671	12	+	11.1782	6.54e-05	1	Promoter (1-2kb)	1	274311	275919	1609	1	1349	19883106	XM_008595191.1	XP_008593413.1	major facilitator superfamily transporter
BBA_00096	NW_007930836.1	280108	280119	12	+	10.8713	9.09e-05	1	Promoter (<=1kb)	1	280245	282308	2064	1	-126	19883108	XM_008595193.1	XP_008593415.1	uncharacterized protein
BBA_00097	NW_007930836.1	284836	284847	12	-	12.8614	2.96e-06	1	Promoter (2-3kb)	1	282613	283755	1143	1	2234	19883109	XM_008595194.1	XP_008593416.1	3-hydroxyacyl-CoA dehyrogenase
BBA_00102	NW_007930836.1	300036	300047	12	-	11.3663	5.66e-05	1	Promoter (<=1kb)	1	299134	299745	612	1	913	19883114	XM_008595199.1	XP_008593421.1	ATP-binding protein
BBA_00103	NW_007930836.1	302476	302487	12	+	10.9307	8.37e-05	1	Promoter (1-2kb)	1	300312	300997	686	2	-1479	19883115	XM_008595200.1	XP_008593422.1	uncharacterized protein
BBA_00110	NW_007930836.1	326299	326310	12	+	11.3663	5.66e-05	1	Promoter (<=1kb)	1	325534	326234	701	2	-65	19883122	XM_008595207.1	XP_008593429.1	uncharacterized protein
BBA_00115	NW_007930836.1	334153	334164	12	+	10.8713	9.09e-05	1	Promoter (<=1kb)	1	332792	333941	1150	2	-212	19883127	XM_008595212.1	XP_008593434.1	peflin-like protein
BBA_00121	NW_007930836.1	355433	355444	12	-	13	1.5e-06	1	Promoter (<=1kb)	1	351113	354688	3576	2	-756	19883133	XM_008595218.1	XP_008593440.1	transmembrane and coiled-coil domain-containing protein
BBA_00127	NW_007930836.1	373902	373913	12	-	11.4356	4.81e-05	1	Promoter (3-4kb)	1	374371	377320	2950	2	3418	19883139	XM_008595224.1	XP_008593446.1	uncharacterized protein
BBA_00131	NW_007930836.1	384330	384341	12	+	11.3366	5.78e-05	1	Promoter (1-2kb)	1	384809	386272	1464	2	1931	19883143	XM_008595228.1	XP_008593450.1	RNA recognition domain-containing protein
BBA_00141	NW_007930836.1	409064	409075	12	+	10.8911	8.56e-05	1	Promoter (<=1kb)	1	406623	408684	2062	2	-380	19883153	XM_008595238.1	XP_008593460.1	uncharacterized protein
BBA_00143	NW_007930836.1	413464	413475	12	+	11.4653	4.69e-05	1	Promoter (<=1kb)	1	412600	414179	1580	2	704	19883155	XM_008595240.1	XP_008593462.1	ubiquitin-conjugating enzyme
BBA_00146	NW_007930836.1	421242	421253	12	-	11.0693	7.87e-05	1	Promoter (2-3kb)	1	421381	423528	2148	2	2286	19883158	XM_008595243.1	XP_008593465.1	ELMO/CED-12 family protein
