"seqnames","start","end","width","strand","score","p_value","q_value","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","distanceToTSS","GeneID","transcript_id","protein_id"
"NW_007930858.1",227,236,10,"-",14.187,1.64e-06,0.649,"Promoter (4-5kb)",23,238,4924,4687,2,"BBA_07103",4697,NA,NA,NA
"NW_007930953.1",283,292,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",118,1078,4971,3894,1,"BBA_10291",-786,NA,NA,NA
"NW_007930914.1",441,450,10,"+",14.187,1.64e-06,0.649,"Distal Intergenic",79,7379,8208,830,1,"BBA_09985",-6929,NA,NA,NA
"NW_007930921.1",568,577,10,"-",14.187,1.64e-06,0.649,"Promoter (<=1kb)",86,1214,2863,1650,1,"BBA_10084",-646,NA,NA,NA
"NW_007930924.1",1047,1056,10,"-",14.187,1.64e-06,0.649,"Promoter (2-3kb)",89,3155,5230,2076,1,"BBA_10107",-2108,NA,NA,NA
"NW_007930860.1",3535,3544,10,"-",14.187,1.64e-06,0.649,"Promoter (2-3kb)",25,5562,8673,3112,1,"BBA_07424",-2027,NA,NA,NA
"NW_007930854.1",3937,3946,10,"-",14.187,1.64e-06,0.649,"Promoter (<=1kb)",19,3978,4484,507,2,"BBA_06415",547,NA,NA,NA
"NW_007930935.1",6974,6983,10,"-",14.187,1.64e-06,0.649,"Distal Intergenic",100,9882,13252,3371,2,"BBA_10212",6278,NA,NA,NA
"NW_007930873.1",8123,8132,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",38,9419,9794,376,1,"BBA_08664",-1296,NA,NA,NA
"NW_007930874.1",8989,8998,10,"+",14.187,1.64e-06,0.649,"Distal Intergenic",39,3345,8106,4762,1,"BBA_08716",5644,NA,NA,NA
"NW_007930942.1",9783,9792,10,"+",14.187,1.64e-06,0.649,"Promoter (1-2kb)",107,4959,11445,6487,2,"BBA_10245",1653,NA,NA,NA
"NW_007930937.1",9861,9870,10,"-",14.187,1.64e-06,0.649,"Promoter (4-5kb)",102,13919,14842,924,1,"BBA_10223",-4058,NA,NA,NA
"NW_007930891.1",10411,10420,10,"+",14.187,1.64e-06,0.649,"Promoter (1-2kb)",56,8275,11486,3212,2,"BBA_09500",1066,NA,NA,NA
"NW_007930851.1",10793,10802,10,"-",14.187,1.64e-06,0.649,"Promoter (<=1kb)",16,10482,11366,885,1,"BBA_05806",320,NA,NA,NA
"NW_007930943.1",13404,13413,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",108,13466,13839,374,2,"BBA_10250",426,NA,NA,NA
"NW_007930852.1",14995,15004,10,"+",14.187,1.64e-06,0.649,"Promoter (1-2kb)",17,13911,14684,774,1,"BBA_06024",1084,NA,NA,NA
"NW_007930846.1",14988,14997,10,"-",14.187,1.64e-06,0.649,"Promoter (3-4kb)",11,11284,18390,7107,2,"BBA_04650",3402,NA,NA,NA
"NW_007930863.1",15291,15300,10,"-",14.187,1.64e-06,0.649,"Promoter (<=1kb)",28,15680,17280,1601,1,"BBA_07778",-389,NA,NA,NA
"NW_007930894.1",15471,15480,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",59,14335,16290,1956,1,"BBA_09583",1145,NA,NA,NA
"NW_007930897.1",20553,20562,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",62,18101,20011,1911,2,"BBA_09668",-542,NA,NA,NA
"NW_007930864.1",21640,21649,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",29,18170,20425,2256,2,"BBA_07883",-1224,NA,NA,NA
"NW_007930902.1",26015,26024,10,"+",14.187,1.64e-06,0.649,"Distal Intergenic",67,32790,36154,3365,2,"BBA_09781",10130,NA,NA,NA
"NW_007930920.1",26240,26249,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",85,25037,26212,1176,1,"BBA_10076",1212,NA,NA,NA
"NW_007930900.1",26296,26305,10,"+",14.187,1.64e-06,0.649,"Promoter (2-3kb)",65,26385,28777,2393,2,"BBA_09741",2472,NA,NA,NA
"NW_007930887.1",26534,26543,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",52,25902,26303,402,1,"BBA_09375",632,NA,NA,NA
"NW_007930852.1",26542,26551,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",17,26326,27011,686,1,"BBA_06030",216,NA,NA,NA
"NW_007930888.1",28099,28108,10,"-",14.187,1.64e-06,0.649,"Promoter (<=1kb)",53,28635,29809,1175,1,"BBA_09405",-536,NA,NA,NA
"NW_007930849.1",29605,29614,10,"-",14.187,1.64e-06,0.649,"Promoter (3-4kb)",14,23121,25869,2749,2,"BBA_05347",-3745,NA,NA,NA
"NW_007930868.1",31983,31992,10,"-",14.187,1.64e-06,0.649,"Promoter (3-4kb)",33,33132,35470,2339,2,"BBA_08275",3487,NA,NA,NA
"NW_007930862.1",32866,32875,10,"+",14.187,1.64e-06,0.649,"Promoter (4-5kb)",27,28822,30179,1358,1,"BBA_07683",4044,NA,NA,NA
"NW_007930902.1",34038,34047,10,"+",14.187,1.64e-06,0.649,"Promoter (2-3kb)",67,32790,36154,3365,2,"BBA_09781",2107,NA,NA,NA
"NW_007930900.1",34492,34501,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",65,32551,34242,1692,1,"BBA_09743",1950,NA,NA,NA
"NW_007930843.1",35463,35472,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",8,32339,35107,2769,2,"BBA_03641",-356,NA,NA,NA
"NW_007930864.1",36433,36442,10,"-",14.187,1.64e-06,0.649,"Promoter (2-3kb)",29,33638,34389,752,1,"BBA_07888",2804,NA,NA,NA
"NW_007930923.1",36971,36980,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",88,31880,35326,3447,2,"BBA_10106",-1654,"19893118","XM_008605203.1","XP_008603425.1"
"NW_007930843.1",40713,40722,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",8,39927,41261,1335,1,"BBA_03642",786,NA,NA,NA
"NW_007930912.1",42289,42298,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",77,42175,43607,1433,1,"BBA_09964",114,NA,NA,NA
"NW_007930880.1",42420,42429,10,"+",14.187,1.64e-06,0.649,"Promoter (1-2kb)",45,39773,40724,952,2,"BBA_09089",-1696,NA,NA,NA
"NW_007930902.1",43190,43199,10,"-",14.187,1.64e-06,0.649,"Distal Intergenic",67,32790,36154,3365,2,"BBA_09781",-7045,NA,NA,NA
"NW_007930857.1",43372,43381,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",22,42151,43319,1169,2,"BBA_06964",-53,NA,NA,NA
"NW_007930873.1",43965,43974,10,"-",14.187,1.64e-06,0.649,"Distal Intergenic",38,54807,58854,4048,1,"BBA_08668",-10842,NA,NA,NA
"NW_007930914.1",45230,45239,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",79,45946,46341,396,2,"BBA_09998",1111,"19893010","XM_008605095.1","XP_008603317.1"
"NW_007930882.1",51737,51746,10,"+",14.187,1.64e-06,0.649,"Promoter (2-3kb)",47,49104,50272,1169,1,"BBA_09191",2633,NA,NA,NA
"NW_007930906.1",54250,54259,10,"+",14.187,1.64e-06,0.649,"Promoter (1-2kb)",71,50813,52408,1596,2,"BBA_09862",-1842,NA,NA,NA
"NW_007930894.1",56588,56597,10,"-",14.187,1.64e-06,0.649,"Promoter (<=1kb)",59,56702,57331,630,1,"BBA_09595",-114,NA,NA,NA
"NW_007930858.1",57571,57580,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",23,56645,58191,1547,1,"BBA_07119",926,NA,NA,NA
"NW_007930868.1",58896,58905,10,"+",14.187,1.64e-06,0.649,"Distal Intergenic",33,73142,73414,273,1,"BBA_08277",-14237,NA,NA,NA
"NW_007930868.1",59103,59112,10,"-",14.187,1.64e-06,0.649,"Distal Intergenic",33,73142,73414,273,1,"BBA_08277",-14039,NA,NA,NA
"NW_007930902.1",65993,66002,10,"+",14.187,1.64e-06,0.649,"Intron (XM_008604879.1/BBA_09782, intron 41 of 55)",67,56299,68789,12491,1,"BBA_09782",9694,"19892794","XM_008604879.1","XP_008603101.1"
"NW_007930883.1",67661,67670,10,"-",14.187,1.64e-06,0.649,"Promoter (2-3kb)",48,65514,69523,4010,1,"BBA_09237",2156,NA,NA,NA
"NW_007930879.1",68506,68515,10,"-",14.187,1.64e-06,0.649,"Promoter (<=1kb)",44,67367,68478,1112,2,"BBA_09046",-37,NA,NA,NA
"NW_007930868.1",70933,70942,10,"-",14.187,1.64e-06,0.649,"Promoter (2-3kb)",33,73142,73414,273,1,"BBA_08277",-2209,NA,NA,NA
"NW_007930886.1",72765,72774,10,"+",14.187,1.64e-06,0.649,"Promoter (1-2kb)",51,72775,74703,1929,2,"BBA_09348",1929,NA,NA,NA
"NW_007930850.1",73473,73482,10,"+",14.187,1.64e-06,0.649,"Promoter (1-2kb)",15,71201,71998,798,2,"BBA_05604",-1475,NA,NA,NA
"NW_007930839.1",76385,76394,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",4,74746,76295,1550,2,"BBA_01807",-90,NA,NA,NA
"NW_007930860.1",80796,80805,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",25,81371,82882,1512,1,"BBA_07451",-566,NA,NA,NA
"NW_007930848.1",82520,82529,10,"+",14.187,1.64e-06,0.649,"Promoter (4-5kb)",13,85599,87163,1565,2,"BBA_05141",4634,NA,NA,NA
"NW_007930876.1",82757,82766,10,"-",14.187,1.64e-06,0.649,"Promoter (<=1kb)",41,79797,82937,3141,2,"BBA_08860",180,NA,NA,NA
"NW_007930874.1",86624,86633,10,"+",14.187,1.64e-06,0.649,"Promoter (1-2kb)",39,84901,85739,839,1,"BBA_08736",1723,NA,NA,NA
"NW_007930864.1",95196,95205,10,"-",14.187,1.64e-06,0.649,"Promoter (<=1kb)",29,94126,94977,852,2,"BBA_07905",-228,NA,NA,NA
"NW_007930886.1",95267,95276,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",51,94266,94832,567,2,"BBA_09357",-435,NA,NA,NA
"NW_007930836.1",96027,96036,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",1,94827,95943,1117,2,"BBA_00032",-84,NA,NA,NA
"NW_007930886.1",110207,110216,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",51,106591,108220,1630,2,"BBA_09364",-1996,NA,NA,NA
"NW_007930861.1",110840,110849,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",26,109431,110782,1352,1,"BBA_07588",1418,NA,NA,NA
"NW_007930872.1",114188,114197,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",37,114249,116180,1932,2,"BBA_08643",1992,NA,NA,NA
"NW_007930855.1",115771,115780,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",20,114037,115341,1305,2,"BBA_06676",-430,NA,NA,NA
"NW_007930840.1",123890,123899,10,"-",14.187,1.64e-06,0.649,"Promoter (<=1kb)",5,123008,124742,1735,2,"BBA_02343",852,NA,NA,NA
"NW_007930868.1",125883,125892,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",33,123942,124907,966,2,"BBA_08291",-976,NA,NA,NA
"NW_007930880.1",127063,127072,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",45,125957,127021,1065,2,"BBA_09118",-42,NA,NA,NA
"NW_007930848.1",128783,128792,10,"+",14.187,1.64e-06,0.649,"Promoter (1-2kb)",13,130130,131616,1487,1,"BBA_05155",-1338,NA,NA,NA
"NW_007930850.1",132513,132522,10,"+",14.187,1.64e-06,0.649,"Promoter (1-2kb)",15,132867,133688,822,2,"BBA_05622",1166,NA,NA,NA
"NW_007930857.1",132905,132914,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",22,131341,132438,1098,2,"BBA_06992",-467,NA,NA,NA
"NW_007930875.1",137132,137141,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",40,137220,138464,1245,2,"BBA_08811",1332,NA,NA,NA
"NW_007930858.1",142683,142692,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",23,141802,142332,531,1,"BBA_07148",881,NA,NA,NA
"NW_007930878.1",144852,144861,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",43,143128,147524,4397,1,"BBA_09010",1733,NA,NA,NA
"NW_007930859.1",144981,144990,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",24,142877,144420,1544,2,"BBA_07327",-561,NA,NA,NA
"NW_007930845.1",148705,148714,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",10,147287,150412,3126,1,"BBA_04398",1427,NA,NA,NA
"NW_007930857.1",149307,149316,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",22,148284,149730,1447,1,"BBA_06995",1032,NA,NA,NA
"NW_007930877.1",157411,157420,10,"+",14.187,1.64e-06,0.649,"Promoter (3-4kb)",42,159461,161124,1664,2,"BBA_08944",3704,NA,NA,NA
"NW_007930841.1",159526,159535,10,"+",14.187,1.64e-06,0.649,"Promoter (2-3kb)",6,159072,161893,2822,2,"BBA_02802",2358,NA,NA,NA
"NW_007930850.1",168995,169004,10,"-",14.187,1.64e-06,0.649,"Promoter (<=1kb)",15,168979,171333,2355,1,"BBA_05630",25,NA,NA,NA
"NW_007930869.1",171211,171220,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",34,169658,171904,2247,1,"BBA_08400",1562,NA,NA,NA
"NW_007930849.1",213163,213172,10,"+",14.187,1.64e-06,0.649,"Promoter (1-2kb)",14,210966,211499,534,2,"BBA_05412",-1664,NA,NA,NA
"NW_007930846.1",216091,216100,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",11,217308,219474,2167,1,"BBA_04713",-1217,NA,NA,NA
"NW_007930863.1",219437,219446,10,"-",14.187,1.64e-06,0.649,"Promoter (<=1kb)",28,219498,220652,1155,1,"BBA_07841",-61,NA,NA,NA
"NW_007930862.1",226317,226326,10,"+",14.187,1.64e-06,0.649,"Promoter (1-2kb)",27,225157,227527,2371,2,"BBA_07740",1201,NA,NA,NA
"NW_007930852.1",240161,240170,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",17,238529,240017,1489,1,"BBA_06088",1641,NA,NA,NA
"NW_007930863.1",240542,240551,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",28,241833,242345,513,1,"BBA_07848",-1291,NA,NA,NA
"NW_007930855.1",240873,240882,10,"+",14.187,1.64e-06,0.649,"Promoter (1-2kb)",20,240961,242058,1098,2,"BBA_06716",1176,NA,NA,NA
"NW_007930849.1",249025,249034,10,"-",14.187,1.64e-06,0.649,"Promoter (<=1kb)",14,247521,248765,1245,2,"BBA_05425",-269,NA,NA,NA
"NW_007930863.1",252384,252393,10,"-",14.187,1.64e-06,0.649,"Promoter (<=1kb)",28,251525,254692,3168,1,"BBA_07852",868,NA,NA,NA
"NW_007930848.1",268743,268752,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",13,267820,268746,927,1,"BBA_05201",923,NA,NA,NA
"NW_007930849.1",274642,274651,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",14,273078,273629,552,2,"BBA_05436",-1022,NA,NA,NA
"NW_007930845.1",279972,279981,10,"-",14.187,1.64e-06,0.649,"Promoter (2-3kb)",10,282006,283729,1724,1,"BBA_04441",-2034,NA,NA,NA
"NW_007930860.1",281818,281827,10,"-",14.187,1.64e-06,0.649,"Promoter (<=1kb)",25,282679,283261,583,1,"BBA_07521",-861,NA,NA,NA
"NW_007930851.1",282598,282607,10,"+",14.187,1.64e-06,0.649,"Promoter (1-2kb)",16,280080,281348,1269,2,"BBA_05898",-1250,NA,NA,NA
"NW_007930867.1",290713,290722,10,"+",14.187,1.64e-06,0.649,"Promoter (1-2kb)",32,288558,289133,576,2,"BBA_08265",-1580,NA,NA,NA
"NW_007930845.1",294667,294676,10,"+",14.187,1.64e-06,0.649,"Promoter (4-5kb)",10,299426,301901,2476,1,"BBA_04443",-4750,NA,NA,NA
"NW_007930866.1",296663,296672,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",31,295577,295930,354,2,"BBA_08172",-733,"19891184","XM_008603269.1","XP_008601491.1"
"NW_007930837.1",306627,306636,10,"-",14.187,1.64e-06,0.649,"Promoter (1-2kb)",2,307707,309436,1730,1,"BBA_00775",-1080,NA,NA,NA
"NW_007930857.1",323799,323808,10,"+",14.187,1.64e-06,0.649,"Promoter (<=1kb)",22,321670,323482,1813,2,"BBA_07047",-317,NA,NA,NA
"NW_007930862.1",324906,324915,10,"-",14.187,1.64e-06,0.649,"Distal Intergenic",27,319397,320470,1074,1,"BBA_07769",5518,NA,NA,NA
