#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-353FE223FC539261-30769E14A189CC42
#datatype	hitsStandard Results
#status	0
#Start time	2025-03-07T12:01:36	Run time	0:00:00:18
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#2 - >XP_008593388.1 metalloprotease MEP1 [Beauveria bassiana ARSEF 2860]	non-specific	239802	54	274	8.41771e-45	150.953	cd04275	ZnMc_pappalysin_like	 - 	cl00064
Q#2 - >XP_008593388.1 metalloprotease MEP1 [Beauveria bassiana ARSEF 2860]	superfamily	469599	54	274	8.41771e-45	150.953	cl00064	ZnMc superfamily	 - 	 - 
Q#2 - >XP_008593388.1 metalloprotease MEP1 [Beauveria bassiana ARSEF 2860]	non-specific	368506	186	269	0.00164053	37.9786	pfam05572	Peptidase_M43	N	cl00064
Q#4 - >XP_008593466.1 cutinase-2 protein [Beauveria bassiana ARSEF 2860]	non-specific	395860	37	212	9.09703e-43	141.72	pfam01083	Cutinase	 - 	cl21494
Q#4 - >XP_008593466.1 cutinase-2 protein [Beauveria bassiana ARSEF 2860]	superfamily	473884	37	212	9.09703e-43	141.72	cl21494	Abhydrolase superfamily	 - 	 - 
Q#4 - >XP_008593466.1 cutinase-2 protein [Beauveria bassiana ARSEF 2860]	non-specific	440169	97	146	0.00975782	35.6534	COG0400	YpfH	NC	cl43129
Q#4 - >XP_008593466.1 cutinase-2 protein [Beauveria bassiana ARSEF 2860]	superfamily	440169	97	146	0.00975782	35.6534	cl43129	YpfH superfamily	NC	 - 
Q#5 - >XP_008593574.1 putative aspartyl protease [Beauveria bassiana ARSEF 2860]	non-specific	133161	71	337	1.25663e-18	85.4302	cd06097	Aspergillopepsin_like	 - 	cl11403
Q#5 - >XP_008593574.1 putative aspartyl protease [Beauveria bassiana ARSEF 2860]	superfamily	472175	71	337	1.25663e-18	85.4302	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#5 - >XP_008593574.1 putative aspartyl protease [Beauveria bassiana ARSEF 2860]	non-specific	394983	74	415	1.03164e-11	65.3732	pfam00026	Asp	 - 	cl11403
Q#6 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	specific	431198	217	430	8.71861e-120	349.203	pfam10287	YJL171C_Tos1_C	 - 	cl10966
Q#6 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	superfamily	431198	217	430	8.71861e-120	349.203	cl10966	YJL171C_Tos1_C superfamily	 - 	 - 
Q#6 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	specific	463045	44	101	9.20935e-28	104.889	pfam10290	YJL171C_Tos1_N	 - 	cl10969
Q#6 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	superfamily	463045	44	101	9.20935e-28	104.889	cl10969	YJL171C_Tos1_N superfamily	 - 	 - 
Q#6 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	non-specific	441874	334	391	2.95168e-05	45.3648	COG2273	BglS	NC	cl34454
Q#6 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	superfamily	441874	334	391	2.95168e-05	45.3648	cl34454	BglS superfamily	NC	 - 
Q#6 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	non-specific	185693	334	379	0.00630907	38.3746	cd08023	GH16_laminarinase_like	NC	cl22861
Q#6 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	superfamily	473984	334	379	0.00630907	38.3746	cl22861	LamG superfamily	NC	 - 
Q#7 - >XP_008593911.1 vacuolar protein sorting/targeting protein PEP1 [Beauveria bassiana ARSEF 2860]	specific	464929	761	1214	0	564.903	pfam15902	Sortilin-Vps10	 - 	cl25791
Q#7 - >XP_008593911.1 vacuolar protein sorting/targeting protein PEP1 [Beauveria bassiana ARSEF 2860]	superfamily	464929	761	1214	0	564.903	cl25791	Sortilin-Vps10 superfamily	 - 	 - 
Q#7 - >XP_008593911.1 vacuolar protein sorting/targeting protein PEP1 [Beauveria bassiana ARSEF 2860]	specific	464929	61	517	6.49942e-174	528.309	pfam15902	Sortilin-Vps10	 - 	cl25791
Q#7 - >XP_008593911.1 vacuolar protein sorting/targeting protein PEP1 [Beauveria bassiana ARSEF 2860]	superfamily	464929	61	517	6.49942e-174	528.309	cl25791	Sortilin-Vps10 superfamily	 - 	 - 
Q#7 - >XP_008593911.1 vacuolar protein sorting/targeting protein PEP1 [Beauveria bassiana ARSEF 2860]	non-specific	214740	758	1384	5.86667e-122	395.236	smart00602	VPS10	 - 	cl33391
Q#7 - >XP_008593911.1 vacuolar protein sorting/targeting protein PEP1 [Beauveria bassiana ARSEF 2860]	superfamily	214740	758	1384	5.86667e-122	395.236	cl33391	VPS10 superfamily	 - 	 - 
Q#7 - >XP_008593911.1 vacuolar protein sorting/targeting protein PEP1 [Beauveria bassiana ARSEF 2860]	non-specific	214740	66	664	8.95445e-95	319.737	smart00602	VPS10	 - 	cl33391
Q#7 - >XP_008593911.1 vacuolar protein sorting/targeting protein PEP1 [Beauveria bassiana ARSEF 2860]	superfamily	214740	66	664	8.95445e-95	319.737	cl33391	VPS10 superfamily	 - 	 - 
Q#7 - >XP_008593911.1 vacuolar protein sorting/targeting protein PEP1 [Beauveria bassiana ARSEF 2860]	specific	464928	519	679	1.46341e-61	207.557	pfam15901	Sortilin_C	 - 	cl38475
