# SignalP-6.0	Organism: Other	Timestamp: 20250304203754
# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position
XP_008593326.1 iron only hydrogenase large subunit domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593332.1 cellobiose dehydrogenase, putative _Beauveria bassiana ARSEF 2860_	OTHER	0.587828	0.411372	0.000164	0.000306	0.000168	0.000169	
XP_008593333.1 serine_threonine-protein kinase psk1 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593334.1 Transcription regulator cyclin _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593339.1 glycerate dehydrogenase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593343.1 uncharacterized protein BBA_00024 _Beauveria bassiana ARSEF 2860_	OTHER	0.999646	0.000370	0.000013	0.000001	0.000000	0.000001	
XP_008593344.1 uncharacterized protein BBA_00025 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593352.1 uncharacterized protein BBA_00033 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593356.1 gp24-like protein _Beauveria bassiana ARSEF 2860_	SP	0.000305	0.999023	0.000166	0.000178	0.000156	0.000146	CS pos: 18-19. Pr: 0.9708
XP_008593361.1 homoserine acetyltransferase family protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000008	0.000000	0.000000	0.000000	0.000000	
XP_008593363.1 uncharacterized protein BBA_00044 _Beauveria bassiana ARSEF 2860_	SP	0.000382	0.999002	0.000149	0.000163	0.000138	0.000139	CS pos: 29-30. Pr: 0.8817
XP_008593367.1 uncharacterized protein BBA_00048 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593368.1 transporter-like protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593369.1 Cys2-His2 zinc finger transcription factor ACEI _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593371.1 polysaccharide export protein _CAP59_ _Beauveria bassiana ARSEF 2860_	OTHER	0.999955	0.000040	0.000000	0.000000	0.000000	0.000000	
XP_008593372.1 glycosyltransferase family 39 _Beauveria bassiana ARSEF 2860_	OTHER	0.999873	0.000121	0.000002	0.000000	0.000000	0.000003	
XP_008593374.1 ARP2_3 actin-organizing complex subunit Sop2 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000007	0.000000	0.000000	0.000000	0.000000	
XP_008593379.1 MutS domain V _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593380.1 3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593381.1 cellobiose dehydrogenase _Beauveria bassiana ARSEF 2860_	SP	0.093723	0.845524	0.059722	0.000356	0.000329	0.000355	CS pos: 15-16. Pr: 0.8116
XP_008593382.1 AMP-binding enzyme, putative _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593383.1 uncharacterized protein BBA_00064 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593386.1 2-nitropropane dioxygenase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593389.1 uncharacterized protein BBA_00070 _Beauveria bassiana ARSEF 2860_	OTHER	0.971814	0.006608	0.002971	0.000060	0.000028	0.018521	
XP_008593390.1 nitrate assimilation regulatory protein nirA _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593391.1 C6 transcription factor _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593392.1 methylitaconate delta2-delta3-isomerase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593398.1 LysR family regulatory protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593401.1 uncharacterized protein BBA_00082 _Beauveria bassiana ARSEF 2860_	SP	0.000274	0.999156	0.000144	0.000146	0.000138	0.000131	CS pos: 18-19. Pr: 0.9802
XP_008593406.1 uncharacterized protein BBA_00087 _Beauveria bassiana ARSEF 2860_	SP	0.000307	0.999109	0.000171	0.000143	0.000135	0.000128	CS pos: 23-24. Pr: 0.9700
XP_008593408.1 uncharacterized protein BBA_00089 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000014	0.000000	0.000000	0.000000	0.000000	
XP_008593409.1 aryl-alcohol oxidase_vanillyl-alcohol oxidase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593413.1 major facilitator superfamily transporter _Beauveria bassiana ARSEF 2860_	OTHER	0.999938	0.000116	0.000000	0.000000	0.000000	0.000000	
XP_008593414.1 oxidoreductase molybdopterin binding domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	0.998193	0.001770	0.000033	0.000008	0.000004	0.000008	
XP_008593416.1 3-hydroxyacyl-CoA dehyrogenase _Beauveria bassiana ARSEF 2860_	OTHER	0.995672	0.003407	0.000915	0.000012	0.000005	0.000009	
XP_008593417.1 major facilitator superfamily transporter _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593419.1 uncharacterized protein BBA_00100 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593420.1 carbohydrate esterase family 4 _Beauveria bassiana ARSEF 2860_	OTHER	0.999157	0.000865	0.000009	0.000005	0.000003	0.000011	
XP_008593422.1 uncharacterized protein BBA_00103 _Beauveria bassiana ARSEF 2860_	OTHER	0.996213	0.003730	0.000019	0.000017	0.000011	0.000024	
XP_008593424.1 Putative Zn_II_2Cys6 transcription factor _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000001	0.000000	0.000000	0.000000	
XP_008593426.1 helicase associated domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593427.1 uncharacterized protein BBA_00108 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593428.1 RfeD protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593429.1 uncharacterized protein BBA_00110 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593432.1 uncharacterized protein BBA_00113 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593433.1 uncharacterized protein BBA_00114 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593434.1 peflin-like protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593436.1 RNA recognition domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593437.1 HpcH_HpaI aldolase_citrate lyase family protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593439.1 uncharacterized protein BBA_00120 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593444.1 PH domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593446.1 uncharacterized protein BBA_00127 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593448.1 ATP synthase subunit E _Beauveria bassiana ARSEF 2860_	OTHER	0.902387	0.096111	0.000691	0.000326	0.000174	0.000311	
XP_008593449.1 WD domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593450.1 RNA recognition domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
