#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-E7F44FDC6C8BD0F-C9B6D1275B4B2BD
#datatype	hitsStandard Results
#status	0
#Start time	2025-03-08T23:33:37	Run time	0:00:00:37
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	441878	26	562	9.80162e-55	193.506	COG2303	BetA	 - 	cl34456
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	superfamily	441878	26	562	9.80162e-55	193.506	cl34456	BetA superfamily	 - 	 - 
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	366272	113	296	9.82873e-21	90.8044	pfam00732	GMC_oxred_N	 - 	cl21454
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	superfamily	473865	113	296	9.82873e-21	90.8044	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	235000	23	561	9.55909e-20	92.5871	PRK02106	PRK02106	 - 	cl21454
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	130444	27	63	0.00520458	39.4278	TIGR01377	soxA_mon	C	cl31099
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	superfamily	130444	27	63	0.00520458	39.4278	cl31099	soxA_mon superfamily	C	 - 
Q#6 - >XP_008593517.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	specific	187688	41	187	1.62612e-27	104.676	cd09630	CDH_like_cytochrome	 - 	cl14783
Q#6 - >XP_008593517.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	superfamily	472705	41	187	1.62612e-27	104.676	cl14783	DOMON_like superfamily	 - 	 - 
Q#6 - >XP_008593517.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	435066	50	187	1.44742e-15	72.6486	pfam16010	CDH-cyt	 - 	cl14783
Q#7 - >XP_008593553.1 alpha/beta hydrolase [Beauveria bassiana ARSEF 2860]	specific	440361	73	342	4.24446e-36	130.121	COG0596	MenH	 - 	cl43201
Q#7 - >XP_008593553.1 alpha/beta hydrolase [Beauveria bassiana ARSEF 2860]	superfamily	440361	73	342	4.24446e-36	130.121	cl43201	MenH superfamily	 - 	 - 
Q#7 - >XP_008593553.1 alpha/beta hydrolase [Beauveria bassiana ARSEF 2860]	specific	395444	79	329	8.34418e-22	92.5677	pfam00561	Abhydrolase_1	 - 	cl21494
Q#7 - >XP_008593553.1 alpha/beta hydrolase [Beauveria bassiana ARSEF 2860]	superfamily	473884	79	329	8.34418e-22	92.5677	cl21494	Abhydrolase superfamily	 - 	 - 
Q#7 - >XP_008593553.1 alpha/beta hydrolase [Beauveria bassiana ARSEF 2860]	non-specific	188121	70	341	1.56041e-15	75.88	TIGR01250	pro_imino_pep_2	 - 	cl21494
Q#7 - >XP_008593553.1 alpha/beta hydrolase [Beauveria bassiana ARSEF 2860]	non-specific	179147	59	172	2.4708e-14	72.3082	PRK00870	PRK00870	C	cl21494
Q#8 - >XP_008593565.1 cutinase-like protein [Beauveria bassiana ARSEF 2860]	non-specific	395860	32	248	1.02061e-25	98.9626	pfam01083	Cutinase	 - 	cl21494
