seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007931001.1	250	257	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	150	307	987	681	1	BBA_10359	-57
NW_007930956.1	374	381	8	+	10.3265	6.67e-06	0.257	Promoter (<=1kb)	121	643	1803	1161	1	BBA_10301	-262
NW_007930847.1	447	454	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	12	779	2408	1630	1	BBA_04901	-332
NW_007930904.1	641	648	8	+	10.3265	6.67e-06	0.257	Promoter (<=1kb)	69	334	1358	1025	1	BBA_09806	307
NW_007930897.1	818	825	8	+	10.3265	6.67e-06	0.257	Promoter (<=1kb)	62	482	1761	1280	2	BBA_09662	936
NW_007930969.1	871	878	8	-	10.3265	6.67e-06	0.257	Promoter (1-2kb)	132	2611	3965	1355	1	BBA_10330	-1740
NW_007930861.1	931	938	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	26	502	2122	1621	1	BBA_07556	436
NW_007930946.1	949	956	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	111	1083	2003	921	1	BBA_10263	-134
NW_007930861.1	1018	1025	8	+	10.3265	6.67e-06	0.257	Promoter (<=1kb)	26	502	2122	1621	1	BBA_07556	516
NW_007930924.1	1502	1509	8	-	10.3265	6.67e-06	0.257	Promoter (1-2kb)	89	3155	5230	2076	1	BBA_10107	-1653
NW_007930965.1	1819	1826	8	+	10.3265	6.67e-06	0.257	Promoter (1-2kb)	129	366	2002	1637	1	BBA_10323	1453
NW_007930855.1	2207	2214	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	20	1377	1865	489	2	BBA_06633	-349
NW_007930877.1	2574	2581	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	42	2294	3574	1281	2	BBA_08897	1000
NW_007930925.1	2609	2616	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	90	438	3127	2690	2	BBA_10114	518
NW_007930847.1	2935	2942	8	+	10.3265	6.67e-06	0.257	Promoter (<=1kb)	12	2906	5432	2527	1	BBA_04902	29
NW_007930914.1	3143	3150	8	+	10.3265	6.67e-06	0.257	Promoter (4-5kb)	79	7379	8208	830	1	BBA_09985	-4229
NW_007930941.1	3228	3235	8	-	10.3265	6.67e-06	0.257	Promoter (1-2kb)	106	1893	3356	1464	1	BBA_10242	1342
NW_007930936.1	3729	3736	8	+	10.3265	6.67e-06	0.257	Promoter (<=1kb)	101	4431	5793	1363	1	BBA_10217	-695
NW_007930965.1	3756	3763	8	-	10.3265	6.67e-06	0.257	Promoter (3-4kb)	129	366	2002	1637	1	BBA_10323	3397
NW_007930861.1	3874	3881	8	+	10.3265	6.67e-06	0.257	Promoter (1-2kb)	26	2648	4957	2310	1	BBA_07557	1226
NW_007930903.1	3943	3950	8	+	10.3265	6.67e-06	0.257	Promoter (<=1kb)	68	3386	3966	581	1	BBA_09784	557
NW_007930939.1	4021	4028	8	-	10.3265	6.67e-06	0.257	Promoter (1-2kb)	104	5200	5713	514	1	BBA_10232	-1179
NW_007930838.1	4085	4092	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	3	2920	4480	1561	2	BBA_01240	395
NW_007930936.1	4575	4582	8	+	10.3265	6.67e-06	0.257	Promoter (<=1kb)	101	4431	5793	1363	1	BBA_10217	144
NW_007930929.1	4606	4613	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	94	4310	5386	1077	1	BBA_10155	303
NW_007930961.1	4617	4624	8	-	10.3265	6.67e-06	0.257	Promoter (2-3kb)	125	6220	7101	882	2	BBA_10315	2484
NW_007930890.1	5159	5166	8	+	10.3265	6.67e-06	0.257	Promoter (<=1kb)	55	4728	6143	1416	1	BBA_09467	431
NW_007930916.1	5200	5207	8	+	10.3265	6.67e-06	0.257	Promoter (<=1kb)	81	4624	5148	525	2	BBA_10014	-52
NW_007930946.1	5294	5301	8	-	10.3265	6.67e-06	0.257	Promoter (1-2kb)	111	4814	6612	1799	2	BBA_10265	1318
NW_007930902.1	5938	5945	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	67	6332	6677	346	1	BBA_09778	-394
NW_007930838.1	6270	6277	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	3	6419	7744	1326	1	BBA_01242	-149
NW_007930924.1	6326	6333	8	-	10.3265	6.67e-06	0.257	Promoter (3-4kb)	89	3155	5230	2076	1	BBA_10107	3178
NW_007930904.1	6328	6335	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	69	5098	5657	560	2	BBA_09809	-678
NW_007930899.1	8761	8768	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	64	7555	8550	996	2	BBA_09715	-218
NW_007930925.1	9469	9476	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	90	7099	9704	2606	2	BBA_10116	235
NW_007930858.1	9682	9689	8	+	10.3265	6.67e-06	0.257	Promoter (<=1kb)	23	9143	10434	1292	1	BBA_07105	539
NW_007930849.1	10082	10089	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	14	9576	10574	999	1	BBA_05341	513
NW_007930886.1	10543	10550	8	+	10.3265	6.67e-06	0.257	Promoter (<=1kb)	51	11087	11468	382	2	BBA_09330	918
NW_007930865.1	10824	10831	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	30	11174	12112	939	1	BBA_07981	-350
NW_007930939.1	10846	10853	8	+	10.3265	6.67e-06	0.257	Promoter (1-2kb)	104	9272	9972	701	1	BBA_10233	1574
NW_007930854.1	11002	11009	8	-	10.3265	6.67e-06	0.257	Promoter (1-2kb)	19	12679	15462	2784	1	BBA_06418	-1677
NW_007930947.1	11005	11012	8	-	10.3265	6.67e-06	0.257	Promoter (3-4kb)	112	14126	15933	1808	1	BBA_10269	-3121
NW_007930864.1	11150	11157	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	29	7243	10961	3719	2	BBA_07882	-196
NW_007930847.1	11201	11208	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	12	12147	12634	488	1	BBA_04904	-946
NW_007930890.1	11588	11595	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	55	6572	11433	4862	2	BBA_09468	-162
NW_007930880.1	12018	12025	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	45	12768	14955	2188	1	BBA_09079	-750
NW_007930846.1	12686	12693	8	-	10.3265	6.67e-06	0.257	Promoter (1-2kb)	11	9440	11217	1778	2	BBA_04649	-1476
NW_007930854.1	13263	13270	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	19	12679	15462	2784	1	BBA_06418	591
