seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930907.1	18	24	7	+	11.6829	2.96e-05	0.375	Distal Intergenic	72	1036	1578	543	1	BBA_09864	-1012
NW_007930899.1	171	177	7	-	11.6829	2.96e-05	0.375	Distal Intergenic	64	1622	2682	1061	1	BBA_09711	-1451
NW_007930864.1	191	197	7	+	11.6829	2.96e-05	0.375	Promoter	29	320	1176	857	1	BBA_07879	-123
NW_007930934.1	208	214	7	+	11.6829	2.96e-05	0.375	Promoter	99	292	1874	1583	1	BBA_10204	-78
NW_007930899.1	255	261	7	-	11.6829	2.96e-05	0.375	Distal Intergenic	64	1622	2682	1061	1	BBA_09711	-1367
NW_007930947.1	285	291	7	-	11.6829	2.96e-05	0.375	Distal Intergenic	112	14126	15933	1808	1	BBA_10269	-13841
NW_007931002.1	465	471	7	-	11.6829	2.96e-05	0.375	Promoter	151	587	2736	2150	1	BBA_10360	-122
NW_007930856.1	532	538	7	-	11.6829	2.96e-05	0.375	Distal Intergenic	21	971	2003	1033	2	BBA_06802	1471
NW_007930933.1	577	583	7	+	11.6829	2.96e-05	0.375	Distal Intergenic	98	2160	5193	3034	2	BBA_10192	4610
NW_007930972.1	779	785	7	-	11.6829	2.96e-05	0.375	Promoter	134	1211	2353	1143	1	BBA_10334	-432
NW_007930904.1	851	857	7	+	11.6829	2.96e-05	0.375	Promoter	69	334	1358	1025	1	BBA_09806	517
NW_007930949.1	868	874	7	+	11.6829	2.96e-05	0.375	Promoter	114	16	742	727	1	BBA_10275	852
NW_007930861.1	933	939	7	-	11.6829	2.96e-05	0.375	Promoter	26	502	2122	1621	1	BBA_07556	437
NW_007930916.1	968	974	7	+	11.6829	2.96e-05	0.375	Promoter	81	1612	3539	1928	1	BBA_10013	-638
NW_007930899.1	963	969	7	-	11.6829	2.96e-05	0.375	Promoter	64	1622	2682	1061	1	BBA_09711	-659
NW_007930861.1	1017	1023	7	+	11.6829	2.96e-05	0.375	Promoter	26	502	2122	1621	1	BBA_07556	515
NW_007930909.1	1260	1266	7	+	11.6829	2.96e-05	0.375	Promoter	74	659	2328	1670	1	BBA_09908	601
NW_007930970.1	1372	1378	7	+	11.6829	2.96e-05	0.375	Distal Intergenic	133	3697	3940	244	1	BBA_10332	-2319
NW_007930863.1	1387	1393	7	+	11.6829	2.96e-05	0.375	Downstream (<=300bp)	28	221	1140	920	1	BBA_07774	1166
NW_007930909.1	1454	1460	7	+	11.6829	2.96e-05	0.375	Promoter	74	659	2328	1670	1	BBA_09908	795
NW_007930887.1	1461	1467	7	+	11.6829	2.96e-05	0.375	Promoter	52	1611	5174	3564	1	BBA_09367	-144
NW_007930902.1	1503	1509	7	+	11.6829	2.96e-05	0.375	Exon (XM_008604872.1/BBA_09775, exon 4 of 5)	67	137	2248	2112	1	BBA_09775	1366
NW_007930947.1	1514	1520	7	-	11.6829	2.96e-05	0.375	Distal Intergenic	112	14126	15933	1808	1	BBA_10269	-12612
NW_007930859.1	1642	1648	7	-	11.6829	2.96e-05	0.375	Promoter	24	741	1523	783	2	BBA_07274	-125
NW_007930933.1	1867	1873	7	+	11.6829	2.96e-05	0.375	Distal Intergenic	98	2160	5193	3034	2	BBA_10192	3320
NW_007930913.1	1923	1929	7	+	11.6829	2.96e-05	0.375	Distal Intergenic	78	3260	5230	1971	2	BBA_09968	3301
NW_007930876.1	2225	2231	7	+	11.6829	2.96e-05	0.375	Promoter	41	1821	2808	988	1	BBA_08830	404
NW_007930879.1	2409	2415	7	-	11.6829	2.96e-05	0.375	Promoter	44	1343	2503	1161	2	BBA_09025	94
NW_007930929.1	2435	2441	7	+	11.6829	2.96e-05	0.375	Exon (XM_008605251.1/BBA_10154, exon 2 of 2)	94	1528	3697	2170	2	BBA_10154	1256
NW_007930985.1	2573	2579	7	-	11.6829	2.96e-05	0.375	Exon (XM_008605450.1/BBA_10353, exon 2 of 3)	145	929	4381	3453	1	BBA_10353	1650
NW_007930856.1	2674	2680	7	+	11.6829	2.96e-05	0.375	Promoter	21	3227	3597	371	1	BBA_06803	-547
NW_007930974.1	2689	2695	7	-	11.6829	2.96e-05	0.375	Distal Intergenic	136	3463	4804	1342	2	BBA_10338	2115
NW_007930847.1	2913	2919	7	+	11.6829	2.96e-05	0.375	Promoter	12	2906	5432	2527	1	BBA_04902	7
NW_007930850.1	3028	3034	7	-	11.6829	2.96e-05	0.375	Promoter	15	2224	2919	696	2	BBA_05582	-115
NW_007930859.1	3069	3075	7	-	11.6829	2.96e-05	0.375	Promoter	24	2296	3787	1492	1	BBA_07275	779
NW_007930916.1	3126	3132	7	+	11.6829	2.96e-05	0.375	Exon (XM_008605110.1/BBA_10013, exon 7 of 8)	81	1612	3539	1928	1	BBA_10013	1514
NW_007930914.1	3142	3148	7	+	11.6829	2.96e-05	0.375	Distal Intergenic	79	7379	8208	830	1	BBA_09985	-4231
NW_007930887.1	3157	3163	7	+	11.6829	2.96e-05	0.375	Exon (XM_008604464.1/BBA_09367, exon 5 of 6)	52	1611	5174	3564	1	BBA_09367	1546
NW_007930856.1	3315	3321	7	+	11.6829	2.96e-05	0.375	Promoter	21	3227	3597	371	1	BBA_06803	88
NW_007930862.1	3374	3380	7	-	11.6829	2.96e-05	0.375	Promoter	27	1706	3742	2037	2	BBA_07674	368
NW_007930957.1	3532	3538	7	-	11.6829	2.96e-05	0.375	Exon (XM_008605400.1/BBA_10303, exon 5 of 6)	122	4946	5805	860	2	BBA_10304	2273
NW_007930950.1	3560	3566	7	+	11.6829	2.96e-05	0.375	Distal Intergenic	115	4710	7470	2761	1	BBA_10281	-1144
NW_007930871.1	3574	3580	7	+	11.6829	2.96e-05	0.375	Distal Intergenic	36	1242	1605	364	2	BBA_08528	-1969
NW_007930968.1	3586	3592	7	-	11.6829	2.96e-05	0.375	Distal Intergenic	131	4084	5021	938	2	BBA_10328	1435
NW_007930968.1	3595	3601	7	-	11.6829	2.96e-05	0.375	Distal Intergenic	131	4084	5021	938	2	BBA_10328	1426
NW_007930876.1	3677	3683	7	-	11.6829	2.96e-05	0.375	Promoter	41	3239	3817	579	2	BBA_08831	140
