locus_tag	GeneID	transcript_id	protein_id	product
BBA_00001	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00002	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00004	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00006	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00011	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00012	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00016	19883028	XM_008595113.1	XP_008593335.1	U4/U6 small nuclear ribonucleoprotein Prp4
BBA_00023	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
BBA_00024	19883036	XM_008595121.1	XP_008593343.1	uncharacterized protein
BBA_00027	19883039	XM_008595124.1	XP_008593346.1	Mitochondrial glycoprotein
BBA_00032	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00035	19883047	XM_008595132.1	XP_008593354.1	uncharacterized protein
BBA_00036	19883048	XM_008595133.1	XP_008593355.1	Ras family protein
BBA_00043	19883055	XM_008595140.1	XP_008593362.1	uncharacterized protein
BBA_00050	19883062	XM_008595147.1	XP_008593369.1	Cys2-His2 zinc finger transcription factor ACEI
BBA_00053	19883065	XM_008595150.1	XP_008593372.1	glycosyltransferase family 39
BBA_00059	19883071	XM_008595156.1	XP_008593378.1	FAD binding domain containing protein
BBA_00061	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00064	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00068	19883080	XM_008595165.1	XP_008593387.1	vitamin H transporter
BBA_00069	19883081	XM_008595166.1	XP_008593388.1	metalloprotease MEP1
BBA_00070	19883082	XM_008595167.1	XP_008593389.1	uncharacterized protein
BBA_00075	19883087	XM_008595172.1	XP_008593394.1	uncharacterized protein
BBA_00077	19883089	XM_008595174.1	XP_008593396.1	tat pathway signal sequence
BBA_00078	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00080	19883092	XM_008595177.1	XP_008593399.1	uncharacterized protein
BBA_00083	19883095	XM_008595180.1	XP_008593402.1	uncharacterized protein
BBA_00089	19883101	XM_008595186.1	XP_008593408.1	uncharacterized protein
BBA_00094	19883106	XM_008595191.1	XP_008593413.1	major facilitator superfamily transporter
BBA_00099	19883111	XM_008595196.1	XP_008593418.1	uncharacterized protein
BBA_00105	19883117	XM_008595202.1	XP_008593424.1	Putative Zn(II)2Cys6 transcription factor
BBA_00112	19883124	XM_008595209.1	XP_008593431.1	uncharacterized protein
BBA_00120	19883132	XM_008595217.1	XP_008593439.1	uncharacterized protein
BBA_00124	19883136	XM_008595221.1	XP_008593443.1	rRNA-processing protein UTP23
BBA_00126	19883138	XM_008595223.1	XP_008593445.1	protein kinase, putative
BBA_00128	19883140	XM_008595225.1	XP_008593447.1	oligosaccharyl transferase STT3 subunit
BBA_00130	19883142	XM_008595227.1	XP_008593449.1	WD domain-containing protein
BBA_00131	19883143	XM_008595228.1	XP_008593450.1	RNA recognition domain-containing protein
BBA_00139	19883151	XM_008595236.1	XP_008593458.1	uncharacterized protein
BBA_00140	19883152	XM_008595237.1	XP_008593459.1	eukaryotic translation initiation factor 2 subunit gamma
BBA_00141	19883153	XM_008595238.1	XP_008593460.1	uncharacterized protein
BBA_00142	19883154	XM_008595239.1	XP_008593461.1	glycosyltransferase family 62
BBA_00145	19883157	XM_008595242.1	XP_008593464.1	prenylated Rab acceptor 1
BBA_00149	19883161	XM_008595246.1	XP_008593468.1	ATP-NAD kinase
BBA_00154	19883166	XM_008595251.1	XP_008593473.1	ATP synthase alpha chain
BBA_00156	19883168	XM_008595253.1	XP_008593475.1	LSM domain-containing protein
BBA_00159	19883171	XM_008595256.1	XP_008593478.1	uncharacterized protein
BBA_00160	19883172	XM_008595257.1	XP_008593479.1	uncharacterized protein
BBA_00161	19883173	XM_008595258.1	XP_008593480.1	RhoGAP domain-containing protein
BBA_00163	19883175	XM_008595260.1	XP_008593482.1	uncharacterized protein
BBA_00164	19883176	XM_008595261.1	XP_008593483.1	WLM domain-containing protein
BBA_00167	19883179	XM_008595264.1	XP_008593486.1	hemolysin-III family protein
BBA_00169	19883181	XM_008595266.1	XP_008593488.1	FKBP-type peptidyl-prolyl cis-trans isomerase
BBA_00172	19883184	XM_008595269.1	XP_008593491.1	glycoside hydrolase family 38
BBA_00173	19883185	XM_008595270.1	XP_008593492.1	MutS domain V
BBA_00175	19883187	XM_008595272.1	XP_008593494.1	WD repeat domain-containing protein
BBA_00177	19883189	XM_008595274.1	XP_008593496.1	CAP-Gly domain-containing protein
BBA_00181	19883193	XM_008595278.1	XP_008593500.1	BAH/PHD-containing protein
BBA_00196	19883208	XM_008595293.1	XP_008593515.1	tat pathway signal sequence
BBA_00204	19883216	XM_008595301.1	XP_008593523.1	cyclin domain-containing protein
BBA_00205	19883217	XM_008595302.1	XP_008593524.1	uncharacterized protein
BBA_00207	19883219	XM_008595304.1	XP_008593526.1	cation diffusion facilitator family transporter
BBA_00211	19883223	XM_008595308.1	XP_008593530.1	integral membrane protein, putative
BBA_00213	19883225	XM_008595310.1	XP_008593532.1	nitrilotriacetate monooxygenase component B
BBA_00215	19883227	XM_008595312.1	XP_008593534.1	serine/threonine-protein kinase chk1
BBA_00221	19883233	XM_008595318.1	XP_008593540.1	Cytochrome P450 CYP51F1
BBA_00229	19883241	XM_008595326.1	XP_008593548.1	mitochondrial ribosomal protein subunit L37
BBA_00241	19883253	XM_008595338.1	XP_008593560.1	Ssu72-like protein
BBA_00248	19883260	XM_008595345.1	XP_008593567.1	uncharacterized protein
BBA_00249	19883261	XM_008595346.1	XP_008593568.1	PA domain-containing protein
BBA_00251	19883263	XM_008595348.1	XP_008593570.1	uncharacterized protein
BBA_00256	19883268	XM_008595353.1	XP_008593575.1	nucleoside-diphosphate-sugar epimerase
BBA_00259	19883271	XM_008595356.1	XP_008593578.1	uncharacterized protein
BBA_00260	19883272	XM_008595357.1	XP_008593579.1	RNA polymerase Rpb1
BBA_00261	19883273	XM_008595358.1	XP_008593580.1	WD domain-containing protein
BBA_00265	19883277	XM_008595362.1	XP_008593584.1	morphogenesis protein
BBA_00268	19883280	XM_008595365.1	XP_008593587.1	uncharacterized protein
BBA_00274	19883286	XM_008595371.1	XP_008593593.1	DNA excision repair protein
BBA_00276	19883288	XM_008595373.1	XP_008593595.1	sphingolipid long chain base sensory protein, putative
BBA_00293	19883305	XM_008595390.1	XP_008593612.1	PIG-P domain-containing protein
BBA_00297	19883309	XM_008595394.1	XP_008593616.1	class V chitinase, putative
BBA_00299	19883311	XM_008595396.1	XP_008593618.1	uncharacterized protein
BBA_00301	19883313	XM_008595398.1	XP_008593620.1	RNA recognition domain-containing protein
BBA_00307	19883319	XM_008595404.1	XP_008593626.1	Protein of unknown function DUF2401, secretory
BBA_00310	19883322	XM_008595407.1	XP_008593629.1	mismatch-specific thymine-DNA glycosylate
BBA_00311	19883323	XM_008595408.1	XP_008593630.1	UTP-glucose-1-phosphate uridylyltransferase
BBA_00314	19883326	XM_008595411.1	XP_008593633.1	fibronectin type III domain-containing protein
BBA_00316	19883328	XM_008595413.1	XP_008593635.1	histidinol dehydrogenase
BBA_00317	19883329	XM_008595414.1	XP_008593636.1	transcription initiation factor IID
BBA_00320	19883332	XM_008595417.1	XP_008593639.1	subunit of VP52-54 complex
BBA_00323	19883335	XM_008595420.1	XP_008593642.1	inosine-5-monophosphate dehydrogenase
BBA_00473	19883485	XM_008595570.1	XP_008593792.1	hexokinase-like protein
BBA_00476	19883488	XM_008595573.1	XP_008593795.1	SH3 domain-containing protein
BBA_00479	19883491	XM_008595576.1	XP_008593798.1	exocyst complex component EXO84
BBA_00480	19883492	XM_008595577.1	XP_008593799.1	uncharacterized protein
BBA_00481	19883493	XM_008595578.1	XP_008593800.1	MAS20 protein import receptor
BBA_00486	19883498	XM_008595583.1	XP_008593805.1	fatty acid hydroxylase superfamily protein
BBA_00495	19883507	XM_008595592.1	XP_008593814.1	SNARE protein, putative
BBA_00498	19883510	XM_008595595.1	XP_008593817.1	RTA1 domain protein, putative
BBA_00500	19883512	XM_008595597.1	XP_008593819.1	calcineurin-like phosphoesterase
BBA_00504	19883516	XM_008595601.1	XP_008593823.1	Serine hydroxymethyltransferase
BBA_00505	19883517	XM_008595602.1	XP_008593824.1	ferric reductase like transmembrane component
BBA_00509	19883521	XM_008595606.1	XP_008593828.1	PAP2 superfamily protein
BBA_00514	19883526	XM_008595611.1	XP_008593833.1	uncharacterized protein
BBA_00517	19883529	XM_008595614.1	XP_008593836.1	C6 zinc finger domain protein
BBA_00518	19883530	XM_008595615.1	XP_008593837.1	uncharacterized protein
BBA_00519	19883531	XM_008595616.1	XP_008593838.1	RING finger domain protein, putative
BBA_00524	19883536	XM_008595621.1	XP_008593843.1	GTP-binding family protein
BBA_00529	19883541	XM_008595626.1	XP_008593848.1	amino acid transporter
BBA_00530	19883542	XM_008595627.1	XP_008593849.1	Hydrophobin 2
BBA_00538	19883550	XM_008595635.1	XP_008593857.1	Atg28p-like protein
BBA_00540	19883552	XM_008595637.1	XP_008593859.1	MFS transporter, putative
BBA_00541	19883553	XM_008595638.1	XP_008593860.1	phosphatidylserine decarboxylase family protein
BBA_00546	19883558	XM_008595643.1	XP_008593865.1	calcium-dependent protein kinase
BBA_00552	19883564	XM_008595649.1	XP_008593871.1	Bax-like protein
BBA_00554	19883566	XM_008595651.1	XP_008593873.1	cupin domain-containing protein
BBA_00558	19883570	XM_008595655.1	XP_008593877.1	uncharacterized protein
BBA_00561	19883573	XM_008595658.1	XP_008593880.1	mRNA capping enzyme
BBA_00564	19883576	XM_008595661.1	XP_008593883.1	uncharacterized protein
BBA_00567	19883579	XM_008595664.1	XP_008593886.1	uncharacterized protein
BBA_00568	19883580	XM_008595665.1	XP_008593887.1	uncharacterized protein
BBA_00570	19883582	XM_008595667.1	XP_008593889.1	retrograde regulation protein
BBA_00572	19883584	XM_008595669.1	XP_008593891.1	glyoxalase/bleomycin resistance protein/dioxygenase
BBA_00574	19883586	XM_008595671.1	XP_008593893.1	choriogenin Hminor
BBA_00575	19883587	XM_008595672.1	XP_008593894.1	F-box domain protein
BBA_00581	19883593	XM_008595678.1	XP_008593900.1	uncharacterized protein
BBA_00587	19883599	XM_008595684.1	XP_008593906.1	intracellular protein transport protein
BBA_00589	19883601	XM_008595686.1	XP_008593908.1	pyruvate dehydrogenase
BBA_00591	19883603	XM_008595688.1	XP_008593910.1	mucin-like protein
BBA_00593	19883605	XM_008595690.1	XP_008593912.1	uncharacterized protein
BBA_00594	19883606	XM_008595691.1	XP_008593913.1	amino acid permease
BBA_00595	19883607	XM_008595692.1	XP_008593914.1	glycosyl hydrolase family 47
BBA_00597	19883609	XM_008595694.1	XP_008593916.1	RNA recognition domain-containing protein
BBA_00598	19883610	XM_008595695.1	XP_008593917.1	alkaline phytoceramidase
BBA_00599	19883611	XM_008595696.1	XP_008593918.1	hisactophilin C49S mutant/phototropin PHY3 fusion protein
BBA_00600	19883612	XM_008595697.1	XP_008593919.1	uncharacterized protein
BBA_00605	19883617	XM_008595702.1	XP_008593924.1	uncharacterized protein
BBA_00606	19883618	XM_008595703.1	XP_008593925.1	uncharacterized protein
