locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	3772	3783	12	+	10.1143	7.22e-05	0.668	Promoter	1	3335	3683	349	1	437	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00001	NW_007930836.1	4753	4764	12	+	9.94286	7.9e-05	0.684	Distal Intergenic	1	3335	3683	349	1	1418	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00005	NW_007930836.1	15727	15738	12	-	15.0714	4.24e-06	0.306	Promoter	1	15330	20029	4700	1	408	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00005	NW_007930836.1	14666	14677	12	-	10.1571	7.04e-05	0.667	Promoter	1	15330	20029	4700	1	-664	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00006	NW_007930836.1	19691	19702	12	-	10.3286	6.58e-05	0.652	Exon (XM_008595102.1/BBA_00005, exon 10 of 11)	1	21184	22451	1268	1	-1493	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00006	NW_007930836.1	21297	21308	12	+	12.1	2.57e-05	0.494	Promoter	1	21184	22451	1268	1	113	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00007	NW_007930836.1	23881	23892	12	+	10.9429	4.88e-05	0.618	Promoter	1	23340	25184	1845	1	541	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00007	NW_007930836.1	22323	22334	12	+	11	4.77e-05	0.618	Exon (XM_008595103.1/BBA_00006, exon 2 of 2)	1	23340	25184	1845	1	-1006	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00007	NW_007930836.1	22816	22827	12	+	13.4857	1.13e-05	0.306	Promoter	1	23340	25184	1845	1	-513	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00007	NW_007930836.1	22812	22823	12	+	13.4857	1.13e-05	0.306	Promoter	1	23340	25184	1845	1	-517	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00007	NW_007930836.1	22814	22825	12	+	13.4857	1.13e-05	0.306	Promoter	1	23340	25184	1845	1	-515	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
