seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930933.1	530	539	10	+	10.0069	1.01e-06	0.477	Promoter (4-5kb)	98	2160	5193	3034	2	BBA_10192	4654
NW_007930897.1	4431	4440	10	+	10.0069	1.01e-06	0.477	Promoter (<=1kb)	62	5090	5605	516	1	BBA_09664	-650
NW_007930979.1	4913	4922	10	-	10.0069	1.01e-06	0.477	Promoter (2-3kb)	139	2130	3644	1515	1	BBA_10343	2792
NW_007930854.1	6451	6460	10	+	10.0069	1.01e-06	0.477	Promoter (<=1kb)	19	5068	6498	1431	2	BBA_06416	38
NW_007930866.1	8634	8643	10	+	10.0069	1.01e-06	0.477	Promoter (1-2kb)	31	6977	10780	3804	1	BBA_08087	1657
NW_007930866.1	10331	10340	10	+	10.0069	1.01e-06	0.477	Promoter (3-4kb)	31	6977	10780	3804	1	BBA_08087	3354
NW_007930937.1	11901	11910	10	-	10.0069	1.01e-06	0.477	Promoter (2-3kb)	102	13919	14842	924	1	BBA_10223	-2018
NW_007930858.1	13380	13389	10	+	10.0069	1.01e-06	0.477	Promoter (<=1kb)	23	14097	15236	1140	1	BBA_07107	-708
NW_007930865.1	15564	15573	10	+	10.0069	1.01e-06	0.477	Promoter (1-2kb)	30	14542	19039	4498	1	BBA_07983	1022
NW_007930939.1	15973	15982	10	+	10.0069	1.01e-06	0.477	Promoter (2-3kb)	104	11804	13946	2143	2	BBA_10234	-2027
NW_007930899.1	17169	17178	10	-	10.0069	1.01e-06	0.477	Promoter (<=1kb)	64	14136	16851	2716	2	BBA_09718	-327
NW_007930862.1	18651	18660	10	+	10.0069	1.01e-06	0.477	Promoter (<=1kb)	27	17441	18460	1020	2	BBA_07681	-191
NW_007930856.1	19722	19731	10	+	10.0069	1.01e-06	0.477	Promoter (<=1kb)	21	19487	20957	1471	1	BBA_06809	235
NW_007930884.1	25510	25519	10	-	10.0069	1.01e-06	0.477	Promoter (2-3kb)	49	26452	27909	1458	2	BBA_09264	2399
NW_007930844.1	25835	25844	10	-	10.0069	1.01e-06	0.477	Promoter (<=1kb)	9	24150	26789	2640	2	BBA_04002	954
NW_007930890.1	32299	32308	10	+	10.0069	1.01e-06	0.477	Promoter (<=1kb)	55	32045	33815	1771	1	BBA_09477	254
NW_007930854.1	45042	45051	10	-	10.0069	1.01e-06	0.477	Promoter (1-2kb)	19	44497	46173	1677	2	BBA_06426	1131
NW_007930855.1	50884	50893	10	-	10.0069	1.01e-06	0.477	Promoter (1-2kb)	20	48056	52113	4058	2	BBA_06652	1229
NW_007930850.1	53006	53015	10	-	10.0069	1.01e-06	0.477	Promoter (<=1kb)	15	52430	53917	1488	2	BBA_05596	911
NW_007930888.1	53761	53770	10	+	10.0069	1.01e-06	0.477	Promoter (<=1kb)	53	54087	54901	815	1	BBA_09414	-317
NW_007930901.1	63675	63684	10	+	10.0069	1.01e-06	0.477	Promoter (<=1kb)	66	64089	64311	223	2	BBA_09770	627
NW_007930878.1	63706	63715	10	-	10.0069	1.01e-06	0.477	Promoter (<=1kb)	43	63001	65405	2405	1	BBA_08977	714
NW_007930850.1	93934	93943	10	+	10.0069	1.01e-06	0.477	Promoter (<=1kb)	15	93475	94024	550	1	BBA_05609	459
NW_007930855.1	103515	103524	10	+	10.0069	1.01e-06	0.477	Promoter (<=1kb)	20	103343	104422	1080	1	BBA_06671	172
NW_007930884.1	104425	104434	10	-	10.0069	1.01e-06	0.477	Promoter (3-4kb)	49	107743	112725	4983	1	BBA_09284	-3318
NW_007930860.1	106983	106992	10	+	10.0069	1.01e-06	0.477	Promoter (1-2kb)	25	105082	107266	2185	1	BBA_07461	1901
NW_007930853.1	108535	108544	10	-	10.0069	1.01e-06	0.477	Promoter (1-2kb)	18	106590	106928	339	2	BBA_06242	-1616
NW_007930874.1	108638	108647	10	-	10.0069	1.01e-06	0.477	Promoter (4-5kb)	39	103320	104216	897	2	BBA_08741	-4431
NW_007930852.1	110791	110800	10	+	10.0069	1.01e-06	0.477	Promoter (<=1kb)	17	109913	111223	1311	1	BBA_06059	878
NW_007930874.1	113293	113302	10	-	10.0069	1.01e-06	0.477	Promoter (<=1kb)	39	113101	113631	531	2	BBA_08742	338
NW_007930841.1	126885	126894	10	-	10.0069	1.01e-06	0.477	Promoter (<=1kb)	6	125547	127447	1901	2	BBA_02790	562
NW_007930873.1	132192	132201	10	+	10.0069	1.01e-06	0.477	Promoter (2-3kb)	38	133372	134425	1054	2	BBA_08691	2224
NW_007930853.1	135075	135084	10	-	10.0069	1.01e-06	0.477	Promoter (1-2kb)	18	130711	136642	5932	2	BBA_06247	1567
NW_007930864.1	139868	139877	10	+	10.0069	1.01e-06	0.477	Promoter (<=1kb)	29	139204	140513	1310	1	BBA_07919	664
NW_007930861.1	143273	143282	10	+	10.0069	1.01e-06	0.477	Promoter (<=1kb)	26	143615	145379	1765	1	BBA_07598	-333
NW_007930838.1	143469	143478	10	+	10.0069	1.01e-06	0.477	Promoter (3-4kb)	3	140223	141952	1730	1	BBA_01283	3246
NW_007930856.1	144241	144250	10	-	10.0069	1.01e-06	0.477	Promoter (1-2kb)	21	146087	147479	1393	1	BBA_06850	-1846
NW_007930841.1	144895	144904	10	-	10.0069	1.01e-06	0.477	Promoter (<=1kb)	6	142047	144301	2255	2	BBA_02795	-603
NW_007930866.1	157574	157583	10	-	10.0069	1.01e-06	0.477	Promoter (<=1kb)	31	156916	158184	1269	2	BBA_08135	610
NW_007930864.1	161021	161030	10	-	10.0069	1.01e-06	0.477	Promoter (1-2kb)	29	160719	162508	1790	2	BBA_07926	1487
NW_007930872.1	164695	164704	10	+	10.0069	1.01e-06	0.477	Promoter (1-2kb)	37	163502	165738	2237	2	BBA_08652	1034
NW_007930853.1	171365	171374	10	+	10.0069	1.01e-06	0.477	Promoter (<=1kb)	18	170407	174656	4250	1	BBA_06258	958
