locus_tag	GeneID	transcript_id	protein_id	product
BBA_00001	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00004	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00011	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00012	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00013	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00014	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00015	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00018	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00019	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00020	19883032	XM_008595117.1	XP_008593339.1	glycerate dehydrogenase
BBA_00021	19883033	XM_008595118.1	XP_008593340.1	LSM domain-containing protein
BBA_00031	19883043	XM_008595128.1	XP_008593350.1	uncharacterized protein
BBA_00033	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00037	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
BBA_00047	19883059	XM_008595144.1	XP_008593366.1	Cel5b-like protein
BBA_00048	19883060	XM_008595145.1	XP_008593367.1	uncharacterized protein
BBA_00049	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00050	19883062	XM_008595147.1	XP_008593369.1	Cys2-His2 zinc finger transcription factor ACEI
BBA_00062	19883074	XM_008595159.1	XP_008593381.1	cellobiose dehydrogenase
BBA_00063	19883075	XM_008595160.1	XP_008593382.1	AMP-binding enzyme, putative
BBA_00067	19883079	XM_008595164.1	XP_008593386.1	2-nitropropane dioxygenase
BBA_00068	19883080	XM_008595165.1	XP_008593387.1	vitamin H transporter
BBA_00070	19883082	XM_008595167.1	XP_008593389.1	uncharacterized protein
BBA_00073	19883085	XM_008595170.1	XP_008593392.1	methylitaconate delta2-delta3-isomerase
BBA_00075	19883087	XM_008595172.1	XP_008593394.1	uncharacterized protein
BBA_00078	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00081	19883093	XM_008595178.1	XP_008593400.1	uncharacterized protein
BBA_00082	19883094	XM_008595179.1	XP_008593401.1	uncharacterized protein
