locus_tag	GeneID	transcript_id	protein_id	product
BBA_00003	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00004	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00005	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00011	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00012	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00013	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00014	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00015	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00017	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
BBA_00019	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00020	19883032	XM_008595117.1	XP_008593339.1	glycerate dehydrogenase
BBA_00021	19883033	XM_008595118.1	XP_008593340.1	LSM domain-containing protein
BBA_00025	19883037	XM_008595122.1	XP_008593344.1	uncharacterized protein
BBA_00026	19883038	XM_008595123.1	XP_008593345.1	uncharacterized protein
BBA_00027	19883039	XM_008595124.1	XP_008593346.1	Mitochondrial glycoprotein
BBA_00028	19883040	XM_008595125.1	XP_008593347.1	oxysterol-binding family protein
BBA_00029	19883041	XM_008595126.1	XP_008593348.1	pumilio-family RNA binding repeat domain-containing protein
BBA_00030	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00032	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00033	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00034	19883046	XM_008595131.1	XP_008593353.1	group II pyridoxal-5-phosphate decarboxylase
BBA_00037	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
BBA_00038	19883050	XM_008595135.1	XP_008593357.1	AMME syndrome protein
BBA_00039	19883051	XM_008595136.1	XP_008593358.1	uncharacterized protein
BBA_00040	19883052	XM_008595137.1	XP_008593359.1	uncharacterized protein
BBA_00042	19883054	XM_008595139.1	XP_008593361.1	homoserine acetyltransferase family protein
BBA_00045	19883057	XM_008595142.1	XP_008593364.1	uncharacterized protein
BBA_00047	19883059	XM_008595144.1	XP_008593366.1	Cel5b-like protein
BBA_00049	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00050	19883062	XM_008595147.1	XP_008593369.1	Cys2-His2 zinc finger transcription factor ACEI
BBA_00051	19883063	XM_008595148.1	XP_008593370.1	uncharacterized protein
BBA_00052	19883064	XM_008595149.1	XP_008593371.1	polysaccharide export protein (CAP59)
BBA_00055	19883067	XM_008595152.1	XP_008593374.1	ARP2/3 actin-organizing complex subunit Sop2
BBA_00056	19883068	XM_008595153.1	XP_008593375.1	uncharacterized protein
BBA_00057	19883069	XM_008595154.1	XP_008593376.1	uncharacterized protein
BBA_00058	19883070	XM_008595155.1	XP_008593377.1	diphthamide biosynthesis protein 2
BBA_00061	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00065	19883077	XM_008595162.1	XP_008593384.1	major facilitator superfamily transporter
BBA_00066	19883078	XM_008595163.1	XP_008593385.1	Phosphotransferase enzyme family domain protein
BBA_00067	19883079	XM_008595164.1	XP_008593386.1	2-nitropropane dioxygenase
BBA_00070	19883082	XM_008595167.1	XP_008593389.1	uncharacterized protein
BBA_00072	19883084	XM_008595169.1	XP_008593391.1	C6 transcription factor
BBA_00073	19883085	XM_008595170.1	XP_008593392.1	methylitaconate delta2-delta3-isomerase
BBA_00074	19883086	XM_008595171.1	XP_008593393.1	von Willebrand domain-containing protein
BBA_00076	19883088	XM_008595173.1	XP_008593395.1	thiamine biosynthesis protein (Thi-4)
BBA_00077	19883089	XM_008595174.1	XP_008593396.1	tat pathway signal sequence
BBA_00078	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00079	19883091	XM_008595176.1	XP_008593398.1	LysR family regulatory protein
BBA_00080	19883092	XM_008595177.1	XP_008593399.1	uncharacterized protein
BBA_00082	19883094	XM_008595179.1	XP_008593401.1	uncharacterized protein
BBA_00085	19883097	XM_008595182.1	XP_008593404.1	Orf2-like protein
BBA_00086	19883098	XM_008595183.1	XP_008593405.1	uncharacterized protein
BBA_00090	19883102	XM_008595187.1	XP_008593409.1	aryl-alcohol oxidase/vanillyl-alcohol oxidase
BBA_00091	19883103	XM_008595188.1	XP_008593410.1	15-hydroxyprostaglandin dehydrogenase (NAD(+))
BBA_00100	19883112	XM_008595197.1	XP_008593419.1	uncharacterized protein
BBA_00101	19883113	XM_008595198.1	XP_008593420.1	carbohydrate esterase family 4
BBA_00103	19883115	XM_008595200.1	XP_008593422.1	uncharacterized protein
BBA_00104	19883116	XM_008595201.1	XP_008593423.1	uncharacterized protein
BBA_00105	19883117	XM_008595202.1	XP_008593424.1	Putative Zn(II)2Cys6 transcription factor
BBA_00107	19883119	XM_008595204.1	XP_008593426.1	helicase associated domain-containing protein
BBA_00108	19883120	XM_008595205.1	XP_008593427.1	uncharacterized protein
BBA_00109	19883121	XM_008595206.1	XP_008593428.1	RfeD protein
BBA_00110	19883122	XM_008595207.1	XP_008593429.1	uncharacterized protein
BBA_00111	19883123	XM_008595208.1	XP_008593430.1	uncharacterized protein
BBA_00114	19883126	XM_008595211.1	XP_008593433.1	uncharacterized protein
BBA_00115	19883127	XM_008595212.1	XP_008593434.1	peflin-like protein
BBA_00116	19883128	XM_008595213.1	XP_008593435.1	ChaC-like protein
BBA_00117	19883129	XM_008595214.1	XP_008593436.1	RNA recognition domain-containing protein
BBA_00120	19883132	XM_008595217.1	XP_008593439.1	uncharacterized protein
BBA_00121	19883133	XM_008595218.1	XP_008593440.1	transmembrane and coiled-coil domain-containing protein
BBA_00122	19883134	XM_008595219.1	XP_008593441.1	rRNA-processing protein UTP23
BBA_00123	19883135	XM_008595220.1	XP_008593442.1	geranylgeranyl pyrophosphate synthetase
BBA_00124	19883136	XM_008595221.1	XP_008593443.1	rRNA-processing protein UTP23
BBA_00125	19883137	XM_008595222.1	XP_008593444.1	PH domain-containing protein
BBA_00127	19883139	XM_008595224.1	XP_008593446.1	uncharacterized protein
BBA_00130	19883142	XM_008595227.1	XP_008593449.1	WD domain-containing protein
BBA_00136	19883148	XM_008595233.1	XP_008593455.1	TH14-3-3 protein
BBA_00137	19883149	XM_008595234.1	XP_008593456.1	mitochondrial ATPase inhibitor, putative
