#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2DD4D13A678025E4-17100322C5E1D792
#datatype	hitsStandard Results
#status	0
#Start time	2025-03-07T11:49:36	Run time	0:00:00:55
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#3 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	non-specific	185691	35	317	4.54106e-92	274.576	cd02182	GH16_Strep_laminarinase_like	 - 	cl22861
Q#3 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	superfamily	473984	35	317	4.54106e-92	274.576	cl22861	LamG superfamily	 - 	 - 
Q#3 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	specific	441874	1	317	8.10846e-42	145.517	COG2273	BglS	 - 	cl34454
Q#3 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	superfamily	441874	1	317	8.10846e-42	145.517	cl34454	BglS superfamily	 - 	 - 
Q#3 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	non-specific	395585	106	263	0.0079777	36.4166	pfam00722	Glyco_hydro_16	 - 	cl22861
Q#5 - >XP_008593517.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	specific	187688	41	187	1.62612e-27	104.676	cd09630	CDH_like_cytochrome	 - 	cl14783
Q#5 - >XP_008593517.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	superfamily	472705	41	187	1.62612e-27	104.676	cl14783	DOMON_like superfamily	 - 	 - 
Q#5 - >XP_008593517.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	435066	50	187	1.44742e-15	72.6486	pfam16010	CDH-cyt	 - 	cl14783
Q#6 - >XP_008593553.1 alpha/beta hydrolase [Beauveria bassiana ARSEF 2860]	specific	440361	73	342	4.24446e-36	130.121	COG0596	MenH	 - 	cl43201
Q#6 - >XP_008593553.1 alpha/beta hydrolase [Beauveria bassiana ARSEF 2860]	superfamily	440361	73	342	4.24446e-36	130.121	cl43201	MenH superfamily	 - 	 - 
Q#6 - >XP_008593553.1 alpha/beta hydrolase [Beauveria bassiana ARSEF 2860]	specific	395444	79	329	8.34418e-22	92.5677	pfam00561	Abhydrolase_1	 - 	cl21494
Q#6 - >XP_008593553.1 alpha/beta hydrolase [Beauveria bassiana ARSEF 2860]	superfamily	473884	79	329	8.34418e-22	92.5677	cl21494	Abhydrolase superfamily	 - 	 - 
Q#6 - >XP_008593553.1 alpha/beta hydrolase [Beauveria bassiana ARSEF 2860]	non-specific	188121	70	341	1.56041e-15	75.88	TIGR01250	pro_imino_pep_2	 - 	cl21494
Q#6 - >XP_008593553.1 alpha/beta hydrolase [Beauveria bassiana ARSEF 2860]	non-specific	179147	59	172	2.4708e-14	72.3082	PRK00870	PRK00870	C	cl21494
Q#7 - >XP_008593554.1 peptidase A4 family protein [Beauveria bassiana ARSEF 2860]	specific	240449	45	240	1.90263e-60	189.078	cd13426	Peptidase_G1	 - 	cl03371
Q#7 - >XP_008593554.1 peptidase A4 family protein [Beauveria bassiana ARSEF 2860]	superfamily	446078	45	240	1.90263e-60	189.078	cl03371	Peptidase_G1_like superfamily	 - 	 - 
Q#7 - >XP_008593554.1 peptidase A4 family protein [Beauveria bassiana ARSEF 2860]	specific	426460	46	239	1.13572e-59	187.085	pfam01828	Peptidase_A4	 - 	cl03371
Q#8 - >XP_008593573.1 uncharacterized protein BBA_00254 [Beauveria bassiana ARSEF 2860]	non-specific	437103	20	130	5.64509e-16	68.7558	pfam19271	Nis1	 - 	cl44706
Q#8 - >XP_008593573.1 uncharacterized protein BBA_00254 [Beauveria bassiana ARSEF 2860]	superfamily	437103	20	130	5.64509e-16	68.7558	cl44706	Nis1 superfamily	 - 	 - 
Q#9 - >XP_008593638.1 Peptidase S8 [Beauveria bassiana ARSEF 2860]	specific	173790	118	375	5.94262e-118	342.959	cd04077	Peptidases_S8_PCSK9_ProteinaseK_like	 - 	cl10459
Q#9 - >XP_008593638.1 Peptidase S8 [Beauveria bassiana ARSEF 2860]	superfamily	415849	118	375	5.94262e-118	342.959	cl10459	Peptidases_S8_S53 superfamily	 - 	 - 
Q#9 - >XP_008593638.1 Peptidase S8 [Beauveria bassiana ARSEF 2860]	specific	441014	139	382	3.08324e-55	188.384	COG1404	AprE	NC	cl34254
Q#9 - >XP_008593638.1 Peptidase S8 [Beauveria bassiana ARSEF 2860]	superfamily	441014	139	382	3.08324e-55	188.384	cl34254	AprE superfamily	NC	 - 
Q#9 - >XP_008593638.1 Peptidase S8 [Beauveria bassiana ARSEF 2860]	non-specific	395035	139	365	2.82773e-25	104.078	pfam00082	Peptidase_S8	 - 	cl10459
Q#9 - >XP_008593638.1 Peptidase S8 [Beauveria bassiana ARSEF 2860]	specific	428674	26	106	1.27777e-20	85.4233	pfam05922	Inhibitor_I9	 - 	cl05470
Q#9 - >XP_008593638.1 Peptidase S8 [Beauveria bassiana ARSEF 2860]	superfamily	428674	26	106	1.27777e-20	85.4233	cl05470	Inhibitor_I9 superfamily	 - 	 - 
