# SignalP-6.0	Organism: Other	Timestamp: 20250304233248
# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position
XP_008593320.1 uncharacterized protein BBA_00001 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593324.1 ABC transporter transmembrane region _Beauveria bassiana ARSEF 2860_	OTHER	0.999665	0.000326	0.000003	0.000001	0.000001	0.000003	
XP_008593336.1 ABC transporter _Beauveria bassiana ARSEF 2860_	OTHER	0.999985	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593338.1 tat pathway signal sequence _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593347.1 oxysterol-binding family protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593371.1 polysaccharide export protein _CAP59_ _Beauveria bassiana ARSEF 2860_	OTHER	0.999957	0.000040	0.000000	0.000000	0.000000	0.000000	
XP_008593374.1 ARP2_3 actin-organizing complex subunit Sop2 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000007	0.000000	0.000000	0.000000	0.000000	
XP_008593375.1 uncharacterized protein BBA_00056 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593379.1 MutS domain V _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593381.1 cellobiose dehydrogenase _Beauveria bassiana ARSEF 2860_	SP	0.093720	0.845518	0.059721	0.000356	0.000329	0.000355	CS pos: 15-16. Pr: 0.8116
XP_008593383.1 uncharacterized protein BBA_00064 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593385.1 Phosphotransferase enzyme family domain protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593389.1 uncharacterized protein BBA_00070 _Beauveria bassiana ARSEF 2860_	OTHER	0.971814	0.006608	0.002971	0.000060	0.000028	0.018521	
XP_008593390.1 nitrate assimilation regulatory protein nirA _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593391.1 C6 transcription factor _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593397.1 uncharacterized protein BBA_00078 _Beauveria bassiana ARSEF 2860_	OTHER	0.999975	0.000055	0.000000	0.000000	0.000000	0.000000	
XP_008593398.1 LysR family regulatory protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593406.1 uncharacterized protein BBA_00087 _Beauveria bassiana ARSEF 2860_	SP	0.000307	0.999109	0.000171	0.000143	0.000135	0.000128	CS pos: 23-24. Pr: 0.9700
XP_008593407.1 C6 finger domain protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593408.1 uncharacterized protein BBA_00089 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000014	0.000000	0.000000	0.000000	0.000000	
XP_008593409.1 aryl-alcohol oxidase_vanillyl-alcohol oxidase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593410.1 15-hydroxyprostaglandin dehydrogenase _NAD____ _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593411.1 uncharacterized protein BBA_00092 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593416.1 3-hydroxyacyl-CoA dehyrogenase _Beauveria bassiana ARSEF 2860_	OTHER	0.995672	0.003407	0.000915	0.000012	0.000005	0.000009	
XP_008593417.1 major facilitator superfamily transporter _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593419.1 uncharacterized protein BBA_00100 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593429.1 uncharacterized protein BBA_00110 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593431.1 uncharacterized protein BBA_00112 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000016	0.000000	0.000000	0.000000	0.000000	
XP_008593435.1 ChaC-like protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593436.1 RNA recognition domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593439.1 uncharacterized protein BBA_00120 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593442.1 geranylgeranyl pyrophosphate synthetase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000002	0.000000	0.000000	0.000000	0.000000	
XP_008593444.1 PH domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593445.1 protein kinase, putative _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593456.1 mitochondrial ATPase inhibitor, putative _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593464.1 prenylated Rab acceptor 1 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593465.1 ELMO_CED-12 family protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593471.1 uncharacterized protein BBA_00152 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593473.1 ATP synthase alpha chain _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593477.1 thioredoxin-like protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593479.1 uncharacterized protein BBA_00160 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593481.1 C6 transcription factor _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593482.1 uncharacterized protein BBA_00163 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593497.1 valyl-tRNA synthetase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593498.1 uncharacterized protein BBA_00179 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593510.1 uncharacterized protein BBA_00191 _Beauveria bassiana ARSEF 2860_	OTHER	0.999944	0.000066	0.000014	0.000000	0.000000	0.000010	
XP_008593511.1 Ribonuclease H1 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
