locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	488	497	10	-	7.93	7.09e-05	0.978	Promoter (2-3kb)	1	3335	3683	349	1	-2847	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00001	NW_007930836.1	4176	4185	10	+	7.92	7.42e-05	0.978	Promoter (<=1kb)	1	3335	3683	349	1	841	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00005	NW_007930836.1	14675	14684	10	-	8.45	5.49e-06	0.716	Promoter (<=1kb)	1	15330	20029	4700	1	-655	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00005	NW_007930836.1	16170	16179	10	+	7.94	6.26e-05	0.978	Promoter (<=1kb)	1	15330	20029	4700	1	840	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00006	NW_007930836.1	21290	21299	10	+	7.89	8.63e-05	0.982	Promoter (<=1kb)	1	21184	22451	1268	1	106	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00006	NW_007930836.1	19289	19298	10	+	7.92	7.42e-05	0.978	Promoter (1-2kb)	1	21184	22451	1268	1	-1886	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00013	NW_007930836.1	39173	39182	10	+	8.49	1.11e-06	0.675	Promoter (<=1kb)	1	38580	39928	1349	2	746	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00013	NW_007930836.1	40829	40838	10	+	8.01	4.08e-05	0.917	Promoter (<=1kb)	1	38580	39928	1349	2	-901	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00013	NW_007930836.1	40743	40752	10	-	7.9	8.14e-05	0.982	Promoter (<=1kb)	1	38580	39928	1349	2	-824	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00017	NW_007930836.1	53550	53559	10	+	7.84	9.54e-05	0.994	Promoter (2-3kb)	1	50976	55391	4416	1	2574	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
BBA_00017	NW_007930836.1	50975	50984	10	-	8.45	5.49e-06	0.716	Promoter (<=1kb)	1	50976	55391	4416	1	0	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
BBA_00019	NW_007930836.1	60504	60513	10	-	7.98	4.7e-05	0.958	Promoter (1-2kb)	1	57711	58663	953	2	-1850	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00019	NW_007930836.1	60824	60833	10	+	8.1	2.34e-05	0.797	Promoter (2-3kb)	1	57711	58663	953	2	-2161	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00023	NW_007930836.1	72131	72140	10	-	8.33	1.06e-05	0.716	Promoter (<=1kb)	1	71296	72546	1251	1	844	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
BBA_00023	NW_007930836.1	70620	70629	10	+	8.05	3.6e-05	0.864	Promoter (<=1kb)	1	71296	72546	1251	1	-667	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
BBA_00023	NW_007930836.1	71258	71267	10	+	7.89	8.63e-05	0.982	Promoter (<=1kb)	1	71296	72546	1251	1	-29	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
BBA_00027	NW_007930836.1	80053	80062	10	+	8.32	1.21e-05	0.716	Promoter (<=1kb)	1	80124	81112	989	1	-62	19883039	XM_008595124.1	XP_008593346.1	Mitochondrial glycoprotein
BBA_00030	NW_007930836.1	89776	89785	10	-	8.17	1.86e-05	0.762	Promoter (<=1kb)	1	88075	90170	2096	2	394	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00030	NW_007930836.1	90868	90877	10	+	7.92	7.42e-05	0.978	Promoter (<=1kb)	1	88075	90170	2096	2	-698	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00032	NW_007930836.1	94864	94873	10	+	7.93	7.09e-05	0.978	Promoter (1-2kb)	1	94827	95943	1117	2	1070	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00033	NW_007930836.1	101332	101341	10	+	7.83	9.82e-05	0.994	Promoter (<=1kb)	1	102128	105545	3418	1	-787	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00033	NW_007930836.1	101108	101117	10	-	8.33	1.06e-05	0.716	Promoter (1-2kb)	1	102128	105545	3418	1	-1020	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00043	NW_007930836.1	128154	128163	10	-	7.88	8.78e-05	0.984	Promoter (<=1kb)	1	127178	128543	1366	2	389	19883055	XM_008595140.1	XP_008593362.1	uncharacterized protein
BBA_00046	NW_007930836.1	133632	133641	10	-	8.32	1.21e-05	0.716	Promoter (<=1kb)	1	133249	134214	966	1	392	19883058	XM_008595143.1	XP_008593365.1	glucan endo-1,3-beta-glucosidase A1-like protein
