#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-C486C8A0818C19E-2E7B2362605FE51D
#datatype	hitsStandard Results
#status	0
#Start time	2025-03-09T00:30:47	Run time	0:00:00:46
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	441878	26	562	9.80162e-55	193.506	COG2303	BetA	 - 	cl34456
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	superfamily	441878	26	562	9.80162e-55	193.506	cl34456	BetA superfamily	 - 	 - 
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	366272	113	296	9.82873e-21	90.8044	pfam00732	GMC_oxred_N	 - 	cl21454
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	superfamily	473865	113	296	9.82873e-21	90.8044	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	235000	23	561	9.55909e-20	92.5871	PRK02106	PRK02106	 - 	cl21454
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	non-specific	130444	27	63	0.00520458	39.4278	TIGR01377	soxA_mon	C	cl31099
Q#3 - >XP_008593381.1 cellobiose dehydrogenase [Beauveria bassiana ARSEF 2860]	superfamily	130444	27	63	0.00520458	39.4278	cl31099	soxA_mon superfamily	C	 - 
Q#4 - >XP_008593395.1 thiamine biosynthesis protein (Thi-4) [Beauveria bassiana ARSEF 2860]	non-specific	430062	178	438	5.19782e-14	71.7437	pfam08543	Phos_pyr_kin	 - 	cl00192
Q#4 - >XP_008593395.1 thiamine biosynthesis protein (Thi-4) [Beauveria bassiana ARSEF 2860]	superfamily	469648	178	438	5.19782e-14	71.7437	cl00192	ribokinase_pfkB_like superfamily	 - 	 - 
Q#4 - >XP_008593395.1 thiamine biosynthesis protein (Thi-4) [Beauveria bassiana ARSEF 2860]	non-specific	215486	163	435	3.33619e-12	68.6415	PLN02898	PLN02898	C	cl33593
Q#4 - >XP_008593395.1 thiamine biosynthesis protein (Thi-4) [Beauveria bassiana ARSEF 2860]	superfamily	215486	163	435	3.33619e-12	68.6415	cl33593	PLN02898 superfamily	C	 - 
Q#5 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	specific	199882	585	682	6.76489e-29	110.791	cd02851	E_set_GO_C	 - 	cl28984
Q#5 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	superfamily	475140	585	682	6.76489e-29	110.791	cl28984	E_set superfamily	 - 	 - 
Q#5 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	specific	462683	603	682	3.7874e-25	99.5623	pfam09118	GO-like_E_set	 - 	cl38296
Q#5 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	superfamily	462683	603	682	3.7874e-25	99.5623	cl38296	GO-like_E_set superfamily	 - 	 - 
Q#5 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	specific	459925	77	189	1.07936e-19	85.1918	pfam00754	F5_F8_type_C	 - 	cl47591
Q#5 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	superfamily	459925	77	189	1.07936e-19	85.1918	cl47591	F5_F8_type_C superfamily	 - 	 - 
