# SignalP-6.0	Organism: Other	Timestamp: 20250305080434
# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position
XP_008593321.1 ABC transporter _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000009	0.000000	0.000000	0.000000	0.000000	
XP_008593323.1 cell wall associated protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593325.1 uncharacterized protein BBA_00006 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000002	0.000000	0.000000	0.000000	0.000000	
XP_008593326.1 iron only hydrogenase large subunit domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593328.1 uncharacterized protein BBA_00009 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000005	0.000000	0.000000	0.000000	0.000000	
XP_008593330.1 serine_threonine-protein kinase sck1 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000004	0.000000	0.000000	0.000000	0.000000	
XP_008593332.1 cellobiose dehydrogenase, putative _Beauveria bassiana ARSEF 2860_	OTHER	0.587828	0.411372	0.000164	0.000306	0.000168	0.000169	
XP_008593333.1 serine_threonine-protein kinase psk1 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593334.1 Transcription regulator cyclin _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593336.1 ABC transporter _Beauveria bassiana ARSEF 2860_	OTHER	0.999985	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593338.1 tat pathway signal sequence _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593339.1 glycerate dehydrogenase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593340.1 LSM domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	0.999773	0.000259	0.000006	0.000001	0.000000	0.000001	
XP_008593341.1 inosine-uridine preferring nucleoside hydrolase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593342.1 uncharacterized protein BBA_00023 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000006	0.000000	0.000000	0.000000	0.000000	
XP_008593344.1 uncharacterized protein BBA_00025 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593348.1 pumilio-family RNA binding repeat domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593349.1 AMP-binding enzyme, putative _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593350.1 uncharacterized protein BBA_00031 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593351.1 uncharacterized protein BBA_00032 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593352.1 uncharacterized protein BBA_00033 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593355.1 Ras family protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593356.1 gp24-like protein _Beauveria bassiana ARSEF 2860_	SP	0.000305	0.999033	0.000166	0.000178	0.000156	0.000146	CS pos: 18-19. Pr: 0.9708
XP_008593357.1 AMME syndrome protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593358.1 uncharacterized protein BBA_00039 _Beauveria bassiana ARSEF 2860_	SP	0.000353	0.998865	0.000209	0.000211	0.000179	0.000160	CS pos: 23-24. Pr: 0.9681
XP_008593359.1 uncharacterized protein BBA_00040 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000007	0.000000	0.000000	0.000000	0.000000	
XP_008593360.1 WD domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593361.1 homoserine acetyltransferase family protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000008	0.000000	0.000000	0.000000	0.000000	
XP_008593363.1 uncharacterized protein BBA_00044 _Beauveria bassiana ARSEF 2860_	SP	0.000382	0.999002	0.000149	0.000163	0.000138	0.000139	CS pos: 29-30. Pr: 0.8817
XP_008593366.1 Cel5b-like protein _Beauveria bassiana ARSEF 2860_	OTHER	0.692389	0.307012	0.000193	0.000150	0.000129	0.000146	
XP_008593367.1 uncharacterized protein BBA_00048 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593368.1 transporter-like protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593369.1 Cys2-His2 zinc finger transcription factor ACEI _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593370.1 uncharacterized protein BBA_00051 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593371.1 polysaccharide export protein _CAP59_ _Beauveria bassiana ARSEF 2860_	OTHER	0.999955	0.000040	0.000000	0.000000	0.000000	0.000000	
XP_008593373.1 endoribonuclease L-PSP _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000009	0.000000	0.000000	0.000000	0.000000	
XP_008593376.1 uncharacterized protein BBA_00057 _Beauveria bassiana ARSEF 2860_	SP	0.000326	0.999040	0.000152	0.000166	0.000147	0.000147	CS pos: 17-18. Pr: 0.9776
XP_008593377.1 diphthamide biosynthesis protein 2 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593380.1 3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593382.1 AMP-binding enzyme, putative _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593383.1 uncharacterized protein BBA_00064 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593386.1 2-nitropropane dioxygenase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593387.1 vitamin H transporter _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593388.1 metalloprotease MEP1 _Beauveria bassiana ARSEF 2860_	SP	0.000262	0.999102	0.000160	0.000156	0.000147	0.000140	CS pos: 19-20. Pr: 0.7294
XP_008593389.1 uncharacterized protein BBA_00070 _Beauveria bassiana ARSEF 2860_	OTHER	0.971814	0.006608	0.002971	0.000060	0.000028	0.018521	
XP_008593391.1 C6 transcription factor _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593392.1 methylitaconate delta2-delta3-isomerase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593393.1 von Willebrand domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593395.1 thiamine biosynthesis protein _Thi-4_ _Beauveria bassiana ARSEF 2860_	SP	0.000659	0.998483	0.000205	0.000233	0.000206	0.000190	CS pos: 18-19. Pr: 0.9748
XP_008593398.1 LysR family regulatory protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593399.1 uncharacterized protein BBA_00080 _Beauveria bassiana ARSEF 2860_	SP	0.000256	0.999176	0.000155	0.000144	0.000133	0.000128	CS pos: 17-18. Pr: 0.6439
XP_008593401.1 uncharacterized protein BBA_00082 _Beauveria bassiana ARSEF 2860_	SP	0.000274	0.999156	0.000144	0.000146	0.000138	0.000131	CS pos: 18-19. Pr: 0.9802
XP_008593402.1 uncharacterized protein BBA_00083 _Beauveria bassiana ARSEF 2860_	SP	0.000239	0.999241	0.000130	0.000147	0.000126	0.000125	CS pos: 20-21. Pr: 0.9854
XP_008593404.1 Orf2-like protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593406.1 uncharacterized protein BBA_00087 _Beauveria bassiana ARSEF 2860_	SP	0.000307	0.999109	0.000171	0.000143	0.000135	0.000128	CS pos: 23-24. Pr: 0.9700
XP_008593407.1 C6 finger domain protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593409.1 aryl-alcohol oxidase_vanillyl-alcohol oxidase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593417.1 major facilitator superfamily transporter _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593418.1 uncharacterized protein BBA_00099 _Beauveria bassiana ARSEF 2860_	OTHER	0.999111	0.000889	0.000007	0.000001	0.000001	0.000001	
XP_008593420.1 carbohydrate esterase family 4 _Beauveria bassiana ARSEF 2860_	OTHER	0.999157	0.000865	0.000009	0.000005	0.000003	0.000011	
XP_008593423.1 uncharacterized protein BBA_00104 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593424.1 Putative Zn_II_2Cys6 transcription factor _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000001	0.000000	0.000000	0.000000	
XP_008593425.1 WD domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593427.1 uncharacterized protein BBA_00108 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593428.1 RfeD protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593429.1 uncharacterized protein BBA_00110 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593431.1 uncharacterized protein BBA_00112 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000016	0.000000	0.000000	0.000000	0.000000	
XP_008593434.1 peflin-like protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593435.1 ChaC-like protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593436.1 RNA recognition domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593437.1 HpcH_HpaI aldolase_citrate lyase family protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593438.1 golgi apparatus membrane protein TVP23 _Beauveria bassiana ARSEF 2860_	OTHER	0.790996	0.207956	0.000355	0.000182	0.000190	0.000325	
XP_008593439.1 uncharacterized protein BBA_00120 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593440.1 transmembrane and coiled-coil domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593443.1 rRNA-processing protein UTP23 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000002	0.000000	0.000000	0.000000	0.000000	
XP_008593444.1 PH domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593445.1 protein kinase, putative _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593446.1 uncharacterized protein BBA_00127 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593450.1 RNA recognition domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593455.1 TH14-3-3 protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593458.1 uncharacterized protein BBA_00139 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593460.1 uncharacterized protein BBA_00141 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593462.1 ubiquitin-conjugating enzyme _Beauveria bassiana ARSEF 2860_	OTHER	0.999947	0.000069	0.000006	0.000000	0.000000	0.000000	
