locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00002	NW_007930836.1	5543	5553	11	+	13.4388	1.05e-05	0.64	Promoter (1-2kb)	1	5664	7104	1441	2	1551	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00003	NW_007930836.1	9338	9348	11	-	12.5918	2.87e-05	0.64	Promoter (<=1kb)	1	8108	8869	762	2	-479	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00005	NW_007930836.1	14901	14911	11	+	12.7653	2.36e-05	0.64	Promoter (<=1kb)	1	15330	20029	4700	1	-419	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00006	NW_007930836.1	19033	19043	11	-	11.398	7.66e-05	0.64	Promoter (2-3kb)	1	21184	22451	1268	1	-2151	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00008	NW_007930836.1	24985	24995	11	+	12.4286	3.37e-05	0.64	Promoter (1-2kb)	1	25244	26096	853	2	1101	19883020	XM_008595105.1	XP_008593327.1	uncharacterized protein
BBA_00010	NW_007930836.1	31572	31582	11	-	12.1531	4.3e-05	0.64	Promoter (1-2kb)	1	30265	32130	1866	1	1317	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00011	NW_007930836.1	32322	32332	11	-	11.4184	7.44e-05	0.64	Promoter (<=1kb)	1	33013	35806	2794	1	-691	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00011	NW_007930836.1	33042	33052	11	-	14.0408	5.31e-06	0.632	Promoter (<=1kb)	1	33013	35806	2794	1	39	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00012	NW_007930836.1	37895	37905	11	+	12.4286	3.37e-05	0.64	Promoter (<=1kb)	1	37116	37424	309	2	-471	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00013	NW_007930836.1	39901	39911	11	+	14.3367	3.48e-06	0.632	Promoter (<=1kb)	1	38580	39928	1349	2	17	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
