locus_tag	GeneID	transcript_id	protein_id	product
BBA_00001	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00005	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00017	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
BBA_00019	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00028	19883040	XM_008595125.1	XP_008593347.1	oxysterol-binding family protein
BBA_00052	19883064	XM_008595149.1	XP_008593371.1	polysaccharide export protein (CAP59)
BBA_00055	19883067	XM_008595152.1	XP_008593374.1	ARP2/3 actin-organizing complex subunit Sop2
BBA_00056	19883068	XM_008595153.1	XP_008593375.1	uncharacterized protein
BBA_00060	19883072	XM_008595157.1	XP_008593379.1	MutS domain V
BBA_00062	19883074	XM_008595159.1	XP_008593381.1	cellobiose dehydrogenase
BBA_00064	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00066	19883078	XM_008595163.1	XP_008593385.1	Phosphotransferase enzyme family domain protein
BBA_00070	19883082	XM_008595167.1	XP_008593389.1	uncharacterized protein
BBA_00071	19883083	XM_008595168.1	XP_008593390.1	nitrate assimilation regulatory protein nirA
BBA_00072	19883084	XM_008595169.1	XP_008593391.1	C6 transcription factor
BBA_00078	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00079	19883091	XM_008595176.1	XP_008593398.1	LysR family regulatory protein
BBA_00087	19883099	XM_008595184.1	XP_008593406.1	uncharacterized protein
BBA_00088	19883100	XM_008595185.1	XP_008593407.1	C6 finger domain protein
BBA_00089	19883101	XM_008595186.1	XP_008593408.1	uncharacterized protein
BBA_00090	19883102	XM_008595187.1	XP_008593409.1	aryl-alcohol oxidase/vanillyl-alcohol oxidase
BBA_00091	19883103	XM_008595188.1	XP_008593410.1	15-hydroxyprostaglandin dehydrogenase (NAD(+))
BBA_00092	19883104	XM_008595189.1	XP_008593411.1	uncharacterized protein
BBA_00097	19883109	XM_008595194.1	XP_008593416.1	3-hydroxyacyl-CoA dehyrogenase
BBA_00098	19883110	XM_008595195.1	XP_008593417.1	major facilitator superfamily transporter
BBA_00100	19883112	XM_008595197.1	XP_008593419.1	uncharacterized protein
BBA_00110	19883122	XM_008595207.1	XP_008593429.1	uncharacterized protein
BBA_00112	19883124	XM_008595209.1	XP_008593431.1	uncharacterized protein
BBA_00116	19883128	XM_008595213.1	XP_008593435.1	ChaC-like protein
BBA_00117	19883129	XM_008595214.1	XP_008593436.1	RNA recognition domain-containing protein
BBA_00120	19883132	XM_008595217.1	XP_008593439.1	uncharacterized protein
BBA_00123	19883135	XM_008595220.1	XP_008593442.1	geranylgeranyl pyrophosphate synthetase
BBA_00125	19883137	XM_008595222.1	XP_008593444.1	PH domain-containing protein
BBA_00126	19883138	XM_008595223.1	XP_008593445.1	protein kinase, putative
BBA_00137	19883149	XM_008595234.1	XP_008593456.1	mitochondrial ATPase inhibitor, putative
BBA_00145	19883157	XM_008595242.1	XP_008593464.1	prenylated Rab acceptor 1
BBA_00146	19883158	XM_008595243.1	XP_008593465.1	ELMO/CED-12 family protein
BBA_00152	19883164	XM_008595249.1	XP_008593471.1	uncharacterized protein
BBA_00154	19883166	XM_008595251.1	XP_008593473.1	ATP synthase alpha chain
BBA_00158	19883170	XM_008595255.1	XP_008593477.1	thioredoxin-like protein
BBA_00160	19883172	XM_008595257.1	XP_008593479.1	uncharacterized protein
BBA_00162	19883174	XM_008595259.1	XP_008593481.1	C6 transcription factor
BBA_00163	19883175	XM_008595260.1	XP_008593482.1	uncharacterized protein
BBA_00178	19883190	XM_008595275.1	XP_008593497.1	valyl-tRNA synthetase
BBA_00179	19883191	XM_008595276.1	XP_008593498.1	uncharacterized protein
BBA_00191	19883203	XM_008595288.1	XP_008593510.1	uncharacterized protein
BBA_00192	19883204	XM_008595289.1	XP_008593511.1	Ribonuclease H1
BBA_00198	19883210	XM_008595295.1	XP_008593517.1	cellobiose dehydrogenase
BBA_00202	19883214	XM_008595299.1	XP_008593521.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00204	19883216	XM_008595301.1	XP_008593523.1	cyclin domain-containing protein
BBA_00208	19883220	XM_008595305.1	XP_008593527.1	40S ribosomal protein S2
BBA_00211	19883223	XM_008595308.1	XP_008593530.1	integral membrane protein, putative
BBA_00219	19883231	XM_008595316.1	XP_008593538.1	PCI domain-containing protein
BBA_00220	19883232	XM_008595317.1	XP_008593539.1	CLAP1-like protein
BBA_00229	19883241	XM_008595326.1	XP_008593548.1	mitochondrial ribosomal protein subunit L37
BBA_00231	19883243	XM_008595328.1	XP_008593550.1	uncharacterized protein
BBA_00236	19883248	XM_008595333.1	XP_008593555.1	uncharacterized protein
BBA_00251	19883263	XM_008595348.1	XP_008593570.1	uncharacterized protein
BBA_00252	19883264	XM_008595349.1	XP_008593571.1	F-box domain-containing protein
BBA_00253	19883265	XM_008595350.1	XP_008593572.1	uncharacterized protein
BBA_00255	19883267	XM_008595352.1	XP_008593574.1	putative aspartyl protease
BBA_00259	19883271	XM_008595356.1	XP_008593578.1	uncharacterized protein
BBA_00266	19883278	XM_008595363.1	XP_008593585.1	uracil-DNA glycosylase
BBA_00267	19883279	XM_008595364.1	XP_008593586.1	ubiquitin-protein ligase Sel1/Ubx2
BBA_00268	19883280	XM_008595365.1	XP_008593587.1	uncharacterized protein
