locus_tag	GeneID	transcript_id	protein_id	product
BBA_00005	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00007	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00008	19883020	XM_008595105.1	XP_008593327.1	uncharacterized protein
BBA_00010	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00011	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00012	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00013	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00014	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00015	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00016	19883028	XM_008595113.1	XP_008593335.1	U4/U6 small nuclear ribonucleoprotein Prp4
BBA_00018	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00019	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00021	19883033	XM_008595118.1	XP_008593340.1	LSM domain-containing protein
BBA_00022	19883034	XM_008595119.1	XP_008593341.1	inosine-uridine preferring nucleoside hydrolase
BBA_00023	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
BBA_00025	19883037	XM_008595122.1	XP_008593344.1	uncharacterized protein
BBA_00026	19883038	XM_008595123.1	XP_008593345.1	uncharacterized protein
BBA_00027	19883039	XM_008595124.1	XP_008593346.1	Mitochondrial glycoprotein
BBA_00028	19883040	XM_008595125.1	XP_008593347.1	oxysterol-binding family protein
BBA_00029	19883041	XM_008595126.1	XP_008593348.1	pumilio-family RNA binding repeat domain-containing protein
BBA_00030	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00031	19883043	XM_008595128.1	XP_008593350.1	uncharacterized protein
BBA_00032	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00033	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00034	19883046	XM_008595131.1	XP_008593353.1	group II pyridoxal-5-phosphate decarboxylase
BBA_00035	19883047	XM_008595132.1	XP_008593354.1	uncharacterized protein
BBA_00036	19883048	XM_008595133.1	XP_008593355.1	Ras family protein
BBA_00038	19883050	XM_008595135.1	XP_008593357.1	AMME syndrome protein
BBA_00039	19883051	XM_008595136.1	XP_008593358.1	uncharacterized protein
BBA_00042	19883054	XM_008595139.1	XP_008593361.1	homoserine acetyltransferase family protein
BBA_00046	19883058	XM_008595143.1	XP_008593365.1	glucan endo-1,3-beta-glucosidase A1-like protein
BBA_00048	19883060	XM_008595145.1	XP_008593367.1	uncharacterized protein
BBA_00049	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00051	19883063	XM_008595148.1	XP_008593370.1	uncharacterized protein
BBA_00058	19883070	XM_008595155.1	XP_008593377.1	diphthamide biosynthesis protein 2
BBA_00060	19883072	XM_008595157.1	XP_008593379.1	MutS domain V
BBA_00061	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00062	19883074	XM_008595159.1	XP_008593381.1	cellobiose dehydrogenase
BBA_00064	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00065	19883077	XM_008595162.1	XP_008593384.1	major facilitator superfamily transporter
BBA_00067	19883079	XM_008595164.1	XP_008593386.1	2-nitropropane dioxygenase
BBA_00068	19883080	XM_008595165.1	XP_008593387.1	vitamin H transporter
BBA_00070	19883082	XM_008595167.1	XP_008593389.1	uncharacterized protein
BBA_00071	19883083	XM_008595168.1	XP_008593390.1	nitrate assimilation regulatory protein nirA
BBA_00074	19883086	XM_008595171.1	XP_008593393.1	von Willebrand domain-containing protein
BBA_00075	19883087	XM_008595172.1	XP_008593394.1	uncharacterized protein
BBA_00077	19883089	XM_008595174.1	XP_008593396.1	tat pathway signal sequence
BBA_00078	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00079	19883091	XM_008595176.1	XP_008593398.1	LysR family regulatory protein
BBA_00081	19883093	XM_008595178.1	XP_008593400.1	uncharacterized protein
BBA_00082	19883094	XM_008595179.1	XP_008593401.1	uncharacterized protein
BBA_00083	19883095	XM_008595180.1	XP_008593402.1	uncharacterized protein
BBA_00085	19883097	XM_008595182.1	XP_008593404.1	Orf2-like protein
BBA_00088	19883100	XM_008595185.1	XP_008593407.1	C6 finger domain protein
BBA_00089	19883101	XM_008595186.1	XP_008593408.1	uncharacterized protein
BBA_00090	19883102	XM_008595187.1	XP_008593409.1	aryl-alcohol oxidase/vanillyl-alcohol oxidase
BBA_00091	19883103	XM_008595188.1	XP_008593410.1	15-hydroxyprostaglandin dehydrogenase (NAD(+))
BBA_00092	19883104	XM_008595189.1	XP_008593411.1	uncharacterized protein
BBA_00095	19883107	XM_008595192.1	XP_008593414.1	oxidoreductase molybdopterin binding domain-containing protein
BBA_00096	19883108	XM_008595193.1	XP_008593415.1	uncharacterized protein
BBA_00097	19883109	XM_008595194.1	XP_008593416.1	3-hydroxyacyl-CoA dehyrogenase
BBA_00098	19883110	XM_008595195.1	XP_008593417.1	major facilitator superfamily transporter
BBA_00099	19883111	XM_008595196.1	XP_008593418.1	uncharacterized protein
BBA_00100	19883112	XM_008595197.1	XP_008593419.1	uncharacterized protein
BBA_00101	19883113	XM_008595198.1	XP_008593420.1	carbohydrate esterase family 4
BBA_00102	19883114	XM_008595199.1	XP_008593421.1	ATP-binding protein
BBA_00104	19883116	XM_008595201.1	XP_008593423.1	uncharacterized protein
BBA_00105	19883117	XM_008595202.1	XP_008593424.1	Putative Zn(II)2Cys6 transcription factor
BBA_00108	19883120	XM_008595205.1	XP_008593427.1	uncharacterized protein
BBA_00109	19883121	XM_008595206.1	XP_008593428.1	RfeD protein
BBA_00110	19883122	XM_008595207.1	XP_008593429.1	uncharacterized protein
BBA_00111	19883123	XM_008595208.1	XP_008593430.1	uncharacterized protein
BBA_00113	19883125	XM_008595210.1	XP_008593432.1	uncharacterized protein
BBA_00115	19883127	XM_008595212.1	XP_008593434.1	peflin-like protein
BBA_00116	19883128	XM_008595213.1	XP_008593435.1	ChaC-like protein
BBA_00117	19883129	XM_008595214.1	XP_008593436.1	RNA recognition domain-containing protein
BBA_00118	19883130	XM_008595215.1	XP_008593437.1	HpcH/HpaI aldolase/citrate lyase family protein
BBA_00119	19883131	XM_008595216.1	XP_008593438.1	golgi apparatus membrane protein TVP23
BBA_00120	19883132	XM_008595217.1	XP_008593439.1	uncharacterized protein
BBA_00121	19883133	XM_008595218.1	XP_008593440.1	transmembrane and coiled-coil domain-containing protein
BBA_00122	19883134	XM_008595219.1	XP_008593441.1	rRNA-processing protein UTP23
BBA_00125	19883137	XM_008595222.1	XP_008593444.1	PH domain-containing protein
BBA_00126	19883138	XM_008595223.1	XP_008593445.1	protein kinase, putative
BBA_00127	19883139	XM_008595224.1	XP_008593446.1	uncharacterized protein
BBA_00128	19883140	XM_008595225.1	XP_008593447.1	oligosaccharyl transferase STT3 subunit
BBA_00135	19883147	XM_008595232.1	XP_008593454.1	CSL zinc finger protein
BBA_00136	19883148	XM_008595233.1	XP_008593455.1	TH14-3-3 protein
BBA_00137	19883149	XM_008595234.1	XP_008593456.1	mitochondrial ATPase inhibitor, putative
BBA_00140	19883152	XM_008595237.1	XP_008593459.1	eukaryotic translation initiation factor 2 subunit gamma
BBA_00141	19883153	XM_008595238.1	XP_008593460.1	uncharacterized protein
BBA_00142	19883154	XM_008595239.1	XP_008593461.1	glycosyltransferase family 62
BBA_00144	19883156	XM_008595241.1	XP_008593463.1	uncharacterized protein
BBA_00145	19883157	XM_008595242.1	XP_008593464.1	prenylated Rab acceptor 1
BBA_00146	19883158	XM_008595243.1	XP_008593465.1	ELMO/CED-12 family protein
BBA_00147	19883159	XM_008595244.1	XP_008593466.1	cutinase-2 protein
BBA_00148	19883160	XM_008595245.1	XP_008593467.1	homeobox domain-containing protein
BBA_00149	19883161	XM_008595246.1	XP_008593468.1	ATP-NAD kinase
BBA_00150	19883162	XM_008595247.1	XP_008593469.1	exosome complex subunit Rrp46
BBA_00151	19883163	XM_008595248.1	XP_008593470.1	phosphotyrosyl phosphate activator protein
BBA_00152	19883164	XM_008595249.1	XP_008593471.1	uncharacterized protein
BBA_00153	19883165	XM_008595250.1	XP_008593472.1	carbohydrate kinase
BBA_00156	19883168	XM_008595253.1	XP_008593475.1	LSM domain-containing protein
BBA_00157	19883169	XM_008595254.1	XP_008593476.1	DnaJ domain-containing protein
BBA_00159	19883171	XM_008595256.1	XP_008593478.1	uncharacterized protein
BBA_00160	19883172	XM_008595257.1	XP_008593479.1	uncharacterized protein
BBA_00161	19883173	XM_008595258.1	XP_008593480.1	RhoGAP domain-containing protein
BBA_00162	19883174	XM_008595259.1	XP_008593481.1	C6 transcription factor
BBA_00163	19883175	XM_008595260.1	XP_008593482.1	uncharacterized protein
BBA_00164	19883176	XM_008595261.1	XP_008593483.1	WLM domain-containing protein
BBA_00169	19883181	XM_008595266.1	XP_008593488.1	FKBP-type peptidyl-prolyl cis-trans isomerase
BBA_00170	19883182	XM_008595267.1	XP_008593489.1	serine/threonine-protein kinase cbk1
BBA_00171	19883183	XM_008595268.1	XP_008593490.1	serine/threonine protein kinase, putative
BBA_00172	19883184	XM_008595269.1	XP_008593491.1	glycoside hydrolase family 38
BBA_00173	19883185	XM_008595270.1	XP_008593492.1	MutS domain V
BBA_00174	19883186	XM_008595271.1	XP_008593493.1	60S acidic ribosomal protein P0
BBA_00175	19883187	XM_008595272.1	XP_008593494.1	WD repeat domain-containing protein
BBA_00176	19883188	XM_008595273.1	XP_008593495.1	DnaJ domain-containing protein
BBA_00177	19883189	XM_008595274.1	XP_008593496.1	CAP-Gly domain-containing protein
BBA_00178	19883190	XM_008595275.1	XP_008593497.1	valyl-tRNA synthetase
BBA_00179	19883191	XM_008595276.1	XP_008593498.1	uncharacterized protein
BBA_00181	19883193	XM_008595278.1	XP_008593500.1	BAH/PHD-containing protein
BBA_00182	19883194	XM_008595279.1	XP_008593501.1	uncharacterized protein
BBA_00183	19883195	XM_008595280.1	XP_008593502.1	major facilitator superfamily transporter
BBA_00184	19883196	XM_008595281.1	XP_008593503.1	Nop14-like family protein
BBA_00185	19883197	XM_008595282.1	XP_008593504.1	arsenite resistance protein Ars2
BBA_00186	19883198	XM_008595283.1	XP_008593505.1	uncharacterized protein
BBA_00189	19883201	XM_008595286.1	XP_008593508.1	uncharacterized protein
BBA_00190	19883202	XM_008595287.1	XP_008593509.1	COX17 protein
BBA_00191	19883203	XM_008595288.1	XP_008593510.1	uncharacterized protein
BBA_00192	19883204	XM_008595289.1	XP_008593511.1	Ribonuclease H1
BBA_00193	19883205	XM_008595290.1	XP_008593512.1	galactose oxidase precursor
BBA_00194	19883206	XM_008595291.1	XP_008593513.1	uncharacterized protein
BBA_00195	19883207	XM_008595292.1	XP_008593514.1	mannitol 1-phosphate dehydrogenase
BBA_00196	19883208	XM_008595293.1	XP_008593515.1	tat pathway signal sequence
BBA_00200	19883212	XM_008595297.1	XP_008593519.1	uncharacterized protein
BBA_00201	19883213	XM_008595298.1	XP_008593520.1	uncharacterized protein
BBA_00203	19883215	XM_008595300.1	XP_008593522.1	prolyl oligopeptidase family
BBA_00204	19883216	XM_008595301.1	XP_008593523.1	cyclin domain-containing protein
BBA_00205	19883217	XM_008595302.1	XP_008593524.1	uncharacterized protein
BBA_00206	19883218	XM_008595303.1	XP_008593525.1	uncharacterized protein
BBA_00207	19883219	XM_008595304.1	XP_008593526.1	cation diffusion facilitator family transporter
BBA_00208	19883220	XM_008595305.1	XP_008593527.1	40S ribosomal protein S2
BBA_00210	19883222	XM_008595307.1	XP_008593529.1	anaphase-promoting complex subunit 11
BBA_00211	19883223	XM_008595308.1	XP_008593530.1	integral membrane protein, putative
BBA_00213	19883225	XM_008595310.1	XP_008593532.1	nitrilotriacetate monooxygenase component B
BBA_00214	19883226	XM_008595311.1	XP_008593533.1	fungal specific transcription factor
BBA_00215	19883227	XM_008595312.1	XP_008593534.1	serine/threonine-protein kinase chk1
BBA_00217	19883229	XM_008595314.1	XP_008593536.1	60S ribosomal protein L31
BBA_00218	19883230	XM_008595315.1	XP_008593537.1	regulator of G-protein signaling domain-containing protein
BBA_00219	19883231	XM_008595316.1	XP_008593538.1	PCI domain-containing protein
BBA_00220	19883232	XM_008595317.1	XP_008593539.1	CLAP1-like protein
BBA_00221	19883233	XM_008595318.1	XP_008593540.1	Cytochrome P450 CYP51F1
BBA_00222	19883234	XM_008595319.1	XP_008593541.1	uncharacterized protein
BBA_00226	19883238	XM_008595323.1	XP_008593545.1	uncharacterized protein
BBA_00227	19883239	XM_008595324.1	XP_008593546.1	cutinase negative acting protein
BBA_00235	19883247	XM_008595332.1	XP_008593554.1	peptidase A4 family protein
BBA_00236	19883248	XM_008595333.1	XP_008593555.1	uncharacterized protein
BBA_00237	19883249	XM_008595334.1	XP_008593556.1	Putative Zn(II)2Cys6 transcription factor
BBA_00238	19883250	XM_008595335.1	XP_008593557.1	chaperone protein hchA
BBA_00239	19883251	XM_008595336.1	XP_008593558.1	transcription factor Domain protein family
BBA_00240	19883252	XM_008595337.1	XP_008593559.1	Spa2-like protein
BBA_00241	19883253	XM_008595338.1	XP_008593560.1	Ssu72-like protein
BBA_00242	19883254	XM_008595339.1	XP_008593561.1	SH3 domain-containing protein
BBA_00243	19883255	XM_008595340.1	XP_008593562.1	metallo-beta-lactamase domain protein
BBA_00246	19883258	XM_008595343.1	XP_008593565.1	cutinase-like protein
BBA_00248	19883260	XM_008595345.1	XP_008593567.1	uncharacterized protein
BBA_00249	19883261	XM_008595346.1	XP_008593568.1	PA domain-containing protein
BBA_00250	19883262	XM_008595347.1	XP_008593569.1	major facilitator superfamily transporter
BBA_00251	19883263	XM_008595348.1	XP_008593570.1	uncharacterized protein
BBA_00252	19883264	XM_008595349.1	XP_008593571.1	F-box domain-containing protein
BBA_00254	19883266	XM_008595351.1	XP_008593573.1	uncharacterized protein
BBA_00255	19883267	XM_008595352.1	XP_008593574.1	putative aspartyl protease
BBA_00256	19883268	XM_008595353.1	XP_008593575.1	nucleoside-diphosphate-sugar epimerase
BBA_00257	19883269	XM_008595354.1	XP_008593576.1	hsp70-like protein
BBA_00258	19883270	XM_008595355.1	XP_008593577.1	uncharacterized protein
BBA_00259	19883271	XM_008595356.1	XP_008593578.1	uncharacterized protein
BBA_00260	19883272	XM_008595357.1	XP_008593579.1	RNA polymerase Rpb1
BBA_00262	19883274	XM_008595359.1	XP_008593581.1	tRNA(His) guanylyltransferase
BBA_00264	19883276	XM_008595361.1	XP_008593583.1	YSIRK family gram-positive signal peptide
BBA_00265	19883277	XM_008595362.1	XP_008593584.1	morphogenesis protein
BBA_00268	19883280	XM_008595365.1	XP_008593587.1	uncharacterized protein
BBA_00269	19883281	XM_008595366.1	XP_008593588.1	uncharacterized protein
BBA_00271	19883283	XM_008595368.1	XP_008593590.1	uncharacterized protein
BBA_00273	19883285	XM_008595370.1	XP_008593592.1	transcription elongation factor S-II
BBA_00274	19883286	XM_008595371.1	XP_008593593.1	DNA excision repair protein
BBA_00275	19883287	XM_008595372.1	XP_008593594.1	LSM domain-containing protein
BBA_00278	19883290	XM_008595375.1	XP_008593597.1	endoplasmic reticulum transmembrane protein
BBA_00279	19883291	XM_008595376.1	XP_008593598.1	uncharacterized protein
BBA_00282	19883294	XM_008595379.1	XP_008593601.1	MFS allantoate transporter, putative
BBA_00283	19883295	XM_008595380.1	XP_008593602.1	membrane transporter
BBA_00284	19883296	XM_008595381.1	XP_008593603.1	uncharacterized protein
BBA_00285	19883297	XM_008595382.1	XP_008593604.1	uncharacterized protein
BBA_00289	19883301	XM_008595386.1	XP_008593608.1	uncharacterized protein
BBA_00290	19883302	XM_008595387.1	XP_008593609.1	uncharacterized protein
BBA_00291	19883303	XM_008595388.1	XP_008593610.1	COM1 protein
BBA_00292	19883304	XM_008595389.1	XP_008593611.1	WD domain-containing protein
BBA_00293	19883305	XM_008595390.1	XP_008593612.1	PIG-P domain-containing protein
BBA_00295	19883307	XM_008595392.1	XP_008593614.1	uncharacterized protein
BBA_00296	19883308	XM_008595393.1	XP_008593615.1	RING-8 protein
BBA_00297	19883309	XM_008595394.1	XP_008593616.1	class V chitinase, putative
BBA_00298	19883310	XM_008595395.1	XP_008593617.1	putative U-snRNP-associated cyclophilin
BBA_00299	19883311	XM_008595396.1	XP_008593618.1	uncharacterized protein
BBA_00300	19883312	XM_008595397.1	XP_008593619.1	FoabaA-like protein
BBA_00302	19883314	XM_008595399.1	XP_008593621.1	glycosyltransferase family 2
BBA_00303	19883315	XM_008595400.1	XP_008593622.1	endoglucanase, putative
BBA_00304	19883316	XM_008595401.1	XP_008593623.1	dynein light chain type 1
BBA_00306	19883318	XM_008595403.1	XP_008593625.1	DEAD/DEAH box helicase
BBA_00307	19883319	XM_008595404.1	XP_008593626.1	Protein of unknown function DUF2401, secretory
BBA_00310	19883322	XM_008595407.1	XP_008593629.1	mismatch-specific thymine-DNA glycosylate
BBA_00311	19883323	XM_008595408.1	XP_008593630.1	UTP-glucose-1-phosphate uridylyltransferase
BBA_00313	19883325	XM_008595410.1	XP_008593632.1	mitochondrial-processing peptidase subunit beta
BBA_00314	19883326	XM_008595411.1	XP_008593633.1	fibronectin type III domain-containing protein
BBA_00315	19883327	XM_008595412.1	XP_008593634.1	SMP2 protein
BBA_00321	19883333	XM_008595418.1	XP_008593640.1	thioredoxin-disulfide reductase
BBA_00323	19883335	XM_008595420.1	XP_008593642.1	inosine-5-monophosphate dehydrogenase
BBA_00468	19883480	XM_008595565.1	XP_008593787.1	pre-mRNA-splicing factor cef-1
BBA_00469	19883481	XM_008595566.1	XP_008593788.1	major facilitator superfamily transporter
BBA_00471	19883483	XM_008595568.1	XP_008593790.1	catechol O-methyltransferase
BBA_00472	19883484	XM_008595569.1	XP_008593791.1	3-dehydroquinate synthase
BBA_00473	19883485	XM_008595570.1	XP_008593792.1	hexokinase-like protein
BBA_00474	19883486	XM_008595571.1	XP_008593793.1	gamma interferon inducible lysosomal thiol reductase (GILT)
BBA_00475	19883487	XM_008595572.1	XP_008593794.1	mRNA decapping hydrolase, putative
BBA_00476	19883488	XM_008595573.1	XP_008593795.1	SH3 domain-containing protein
BBA_00477	19883489	XM_008595574.1	XP_008593796.1	uncharacterized protein
BBA_00478	19883490	XM_008595575.1	XP_008593797.1	calcineurin-like phosphoesterase
BBA_00479	19883491	XM_008595576.1	XP_008593798.1	exocyst complex component EXO84
BBA_00481	19883493	XM_008595578.1	XP_008593800.1	MAS20 protein import receptor
BBA_00483	19883495	XM_008595580.1	XP_008593802.1	cysteine dioxygenase
BBA_00484	19883496	XM_008595581.1	XP_008593803.1	sulfite transporter Ssu2
BBA_00486	19883498	XM_008595583.1	XP_008593805.1	fatty acid hydroxylase superfamily protein
BBA_00488	19883500	XM_008595585.1	XP_008593807.1	bZIP transcription factor
BBA_00489	19883501	XM_008595586.1	XP_008593808.1	Actin-like protein, ARP5 class
BBA_00492	19883504	XM_008595589.1	XP_008593811.1	Got1 family protein
BBA_00493	19883505	XM_008595590.1	XP_008593812.1	profilin-like protein
BBA_00494	19883506	XM_008595591.1	XP_008593813.1	uncharacterized protein
BBA_00495	19883507	XM_008595592.1	XP_008593814.1	SNARE protein, putative
BBA_00497	19883509	XM_008595594.1	XP_008593816.1	Sec63 Brl domain-containing protein
BBA_00498	19883510	XM_008595595.1	XP_008593817.1	RTA1 domain protein, putative
BBA_00500	19883512	XM_008595597.1	XP_008593819.1	calcineurin-like phosphoesterase
BBA_00501	19883513	XM_008595598.1	XP_008593820.1	negative acting factor
BBA_00502	19883514	XM_008595599.1	XP_008593821.1	Ras family protein
BBA_00503	19883515	XM_008595600.1	XP_008593822.1	SUR7 protein
BBA_00506	19883518	XM_008595603.1	XP_008593825.1	RNA recognition domain-containing protein
BBA_00508	19883520	XM_008595605.1	XP_008593827.1	putative calcium/calmodulin-dependent protein kinase type I
BBA_00509	19883521	XM_008595606.1	XP_008593828.1	PAP2 superfamily protein
BBA_00510	19883522	XM_008595607.1	XP_008593829.1	DNA-directed RNA polymerase I subunit
BBA_00511	19883523	XM_008595608.1	XP_008593830.1	GRC3 protein
BBA_00512	19883524	XM_008595609.1	XP_008593831.1	trascription factor
BBA_00513	19883525	XM_008595610.1	XP_008593832.1	uncharacterized protein
BBA_00514	19883526	XM_008595611.1	XP_008593833.1	uncharacterized protein
BBA_00515	19883527	XM_008595612.1	XP_008593834.1	Concanavalin A-like lectin/glucanase
BBA_00518	19883530	XM_008595615.1	XP_008593837.1	uncharacterized protein
BBA_00519	19883531	XM_008595616.1	XP_008593838.1	RING finger domain protein, putative
BBA_00520	19883532	XM_008595617.1	XP_008593839.1	heterokaryon incompatibility protein Het-C
BBA_00521	19883533	XM_008595618.1	XP_008593840.1	nonhistone chromosomal protein
BBA_00522	19883534	XM_008595619.1	XP_008593841.1	Urease, alpha subunit
BBA_00523	19883535	XM_008595620.1	XP_008593842.1	histone acetyltransferase subunit 3
BBA_00524	19883536	XM_008595621.1	XP_008593843.1	GTP-binding family protein
BBA_00525	19883537	XM_008595622.1	XP_008593844.1	GPI anchored cell wall protein
BBA_00526	19883538	XM_008595623.1	XP_008593845.1	uncharacterized protein
BBA_00527	19883539	XM_008595624.1	XP_008593846.1	uncharacterized protein
BBA_00528	19883540	XM_008595625.1	XP_008593847.1	short chain dehydrogenase
BBA_00529	19883541	XM_008595626.1	XP_008593848.1	amino acid transporter
BBA_00530	19883542	XM_008595627.1	XP_008593849.1	Hydrophobin 2
BBA_00531	19883543	XM_008595628.1	XP_008593850.1	uncharacterized protein
BBA_00532	19883544	XM_008595629.1	XP_008593851.1	short chain dehydrogenase
BBA_00534	19883546	XM_008595631.1	XP_008593853.1	uncharacterized protein
BBA_00536	19883548	XM_008595633.1	XP_008593855.1	Alcohol dehydrogenase superfamily, zinc-containing
BBA_00537	19883549	XM_008595634.1	XP_008593856.1	WD domain-containing protein
BBA_00538	19883550	XM_008595635.1	XP_008593857.1	Atg28p-like protein
BBA_00539	19883551	XM_008595636.1	XP_008593858.1	Protein of unknown function DUF1748
BBA_00540	19883552	XM_008595637.1	XP_008593859.1	MFS transporter, putative
BBA_00541	19883553	XM_008595638.1	XP_008593860.1	phosphatidylserine decarboxylase family protein
BBA_00543	19883555	XM_008595640.1	XP_008593862.1	pyruvate kinase
BBA_00544	19883556	XM_008595641.1	XP_008593863.1	Major Facilitator Superfamily protein
BBA_00545	19883557	XM_008595642.1	XP_008593864.1	penicillin-binding protein
BBA_00547	19883559	XM_008595644.1	XP_008593866.1	purine nucleoside permease
BBA_00548	19883560	XM_008595645.1	XP_008593867.1	calcium-translocating P-type ATPase
BBA_00551	19883563	XM_008595648.1	XP_008593870.1	major facilitator superfamily transporter
BBA_00552	19883564	XM_008595649.1	XP_008593871.1	Bax-like protein
BBA_00554	19883566	XM_008595651.1	XP_008593873.1	cupin domain-containing protein
BBA_00555	19883567	XM_008595652.1	XP_008593874.1	F-box domain-containing protein
BBA_00559	19883571	XM_008595656.1	XP_008593878.1	oxidoreductase molybdopterin binding domain-containing protein
BBA_00560	19883572	XM_008595657.1	XP_008593879.1	proteasome/cyclosome
BBA_00562	19883574	XM_008595659.1	XP_008593881.1	purine permease
BBA_00567	19883579	XM_008595664.1	XP_008593886.1	uncharacterized protein
BBA_00568	19883580	XM_008595665.1	XP_008593887.1	uncharacterized protein
BBA_00569	19883581	XM_008595666.1	XP_008593888.1	uncharacterized protein
BBA_00570	19883582	XM_008595667.1	XP_008593889.1	retrograde regulation protein
BBA_00571	19883583	XM_008595668.1	XP_008593890.1	uncharacterized protein
BBA_00572	19883584	XM_008595669.1	XP_008593891.1	glyoxalase/bleomycin resistance protein/dioxygenase
BBA_00573	19883585	XM_008595670.1	XP_008593892.1	uncharacterized protein
BBA_00574	19883586	XM_008595671.1	XP_008593893.1	choriogenin Hminor
BBA_00575	19883587	XM_008595672.1	XP_008593894.1	F-box domain protein
BBA_00576	19883588	XM_008595673.1	XP_008593895.1	purine biosynthesis protein
BBA_00578	19883590	XM_008595675.1	XP_008593897.1	uncharacterized protein
BBA_00581	19883593	XM_008595678.1	XP_008593900.1	uncharacterized protein
BBA_00582	19883594	XM_008595679.1	XP_008593901.1	GDSL-like Lipase/Acylhydrolase
BBA_00586	19883598	XM_008595683.1	XP_008593905.1	DNA polymerase POL4, putative
BBA_00587	19883599	XM_008595684.1	XP_008593906.1	intracellular protein transport protein
BBA_00588	19883600	XM_008595685.1	XP_008593907.1	RNA polymerase II Mediator complex subunit Sin4
BBA_00590	19883602	XM_008595687.1	XP_008593909.1	uncharacterized protein
BBA_00591	19883603	XM_008595688.1	XP_008593910.1	mucin-like protein
BBA_00593	19883605	XM_008595690.1	XP_008593912.1	uncharacterized protein
BBA_00596	19883608	XM_008595693.1	XP_008593915.1	Autophagy-like protein 3
BBA_00599	19883611	XM_008595696.1	XP_008593918.1	hisactophilin C49S mutant/phototropin PHY3 fusion protein
BBA_00600	19883612	XM_008595697.1	XP_008593919.1	uncharacterized protein
BBA_00602	19883614	XM_008595699.1	XP_008593921.1	kelch domain-containing protein
BBA_00603	19883615	XM_008595700.1	XP_008593922.1	AMP-binding enzyme
BBA_00606	19883618	XM_008595703.1	XP_008593925.1	uncharacterized protein
BBA_00607	19883619	XM_008595704.1	XP_008593926.1	aldehyde dehydrogenase
BBA_00608	19883620	XM_008595705.1	XP_008593927.1	amino acid permease family protein
BBA_00609	19883621	XM_008595706.1	XP_008593928.1	peroxisomal copper amine oxidase
BBA_00610	19883622	XM_008595707.1	XP_008593929.1	myb family transcription factor
BBA_00611	19883623	XM_008595708.1	XP_008593930.1	patatin-like phospholipase
BBA_00612	19883624	XM_008595709.1	XP_008593931.1	protein kinase (Lkh1)
BBA_00614	19883626	XM_008595711.1	XP_008593933.1	fasciclin domain-containing protein
BBA_00615	19883627	XM_008595712.1	XP_008593934.1	uncharacterized protein
BBA_00616	19883628	XM_008595713.1	XP_008593935.1	glycoside hydrolase family 35
BBA_00617	19883629	XM_008595714.1	XP_008593936.1	ankyrin repeat protein
BBA_00618	19883630	XM_008595715.1	XP_008593937.1	Hemolysin-III protein
BBA_00622	19883634	XM_008595719.1	XP_008593941.1	uncharacterized protein
BBA_00623	19883635	XM_008595720.1	XP_008593942.1	uncharacterized protein
BBA_00625	19883637	XM_008595722.1	XP_008593944.1	Glycoside hydrolase, catalytic core
BBA_00627	19883639	XM_008595724.1	XP_008593946.1	Zn(II)2Cys6 transcription factor
BBA_00628	19883640	XM_008595725.1	XP_008593947.1	salicylate hydroxylase
