"seqnames","start","end","width","strand","score","p_value","q_value","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","distanceToTSS","GeneID","transcript_id","protein_id"
"NW_007930904.1",17,24,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",69,334,1358,1025,1,"BBA_09806",-310,NA,NA,NA
"NW_007930836.1",22,29,8,"+",12.7449,9.9e-06,0.241,"Promoter (3-4kb)",1,3335,3683,349,1,"BBA_00001",-3306,NA,NA,NA
"NW_007930893.1",141,148,8,"+",12.7449,9.9e-06,0.241,"Promoter (2-3kb)",58,2529,4150,1622,1,"BBA_09552",-2381,NA,NA,NA
"NW_007930923.1",144,151,8,"-",12.7449,9.9e-06,0.241,"Promoter (2-3kb)",88,2725,3601,877,1,"BBA_10100",-2581,NA,NA,NA
"NW_007930893.1",161,168,8,"+",12.7449,9.9e-06,0.241,"Promoter (2-3kb)",58,2529,4150,1622,1,"BBA_09552",-2361,NA,NA,NA
"NW_007930902.1",205,212,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",67,137,2248,2112,1,"BBA_09775",68,NA,NA,NA
"NW_007930893.1",234,241,8,"+",12.7449,9.9e-06,0.241,"Promoter (2-3kb)",58,2529,4150,1622,1,"BBA_09552",-2288,NA,NA,NA
"NW_007930895.1",273,280,8,"+",12.7449,9.9e-06,0.241,"Promoter (2-3kb)",60,2507,4129,1623,1,"BBA_09609",-2227,NA,NA,NA
"NW_007930987.1",284,291,8,"-",12.7449,9.9e-06,0.241,"Promoter (1-2kb)",146,1305,3035,1731,1,"BBA_10354",-1021,NA,NA,NA
"NW_007930898.1",520,527,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",63,31,645,615,1,"BBA_09687",489,NA,NA,NA
"NW_007931035.1",754,761,8,"-",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",154,106,1300,1195,1,"BBA_10365",655,"19893375","XM_008605460.1","XP_008603682.1"
"NW_007930990.1",1496,1503,8,"-",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",148,1961,2343,383,2,"BBA_10357",847,"19893369","XM_008605454.1","XP_008603676.1"
"NW_007930982.1",2173,2180,8,"-",12.7449,9.9e-06,0.241,"Promoter (1-2kb)",142,877,3095,2219,1,"BBA_10347",1303,"19893359","XM_008605444.1","XP_008603666.1"
"NW_007930862.1",2233,2240,8,"+",12.7449,9.9e-06,0.241,"Promoter (1-2kb)",27,835,1539,705,1,"BBA_07673",1398,NA,NA,NA
"NW_007930910.1",2290,2297,8,"-",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",75,9,2386,2378,2,"BBA_09920",96,NA,NA,NA
"NW_007930944.1",2572,2579,8,"+",12.7449,9.9e-06,0.241,"Promoter (2-3kb)",109,2595,4756,2162,2,"BBA_10253",2177,NA,NA,NA
"NW_007930934.1",2684,2691,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",99,2571,3869,1299,1,"BBA_10205",113,NA,NA,NA
"NW_007930857.1",2742,2749,8,"-",12.7449,9.9e-06,0.241,"Promoter (1-2kb)",22,2692,4239,1548,2,"BBA_06955",1497,NA,NA,NA
"NW_007930861.1",2803,2810,8,"-",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",26,2648,4957,2310,1,"BBA_07557",162,NA,NA,NA
"NW_007930875.1",2850,2857,8,"-",12.7449,9.9e-06,0.241,"Promoter (1-2kb)",40,155,1701,1547,2,"BBA_08765",-1156,NA,NA,NA
"NW_007930969.1",3002,3009,8,"-",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",132,2611,3965,1355,1,"BBA_10330",398,NA,NA,NA
"NW_007930924.1",3098,3105,8,"-",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",89,3155,5230,2076,1,"BBA_10107",-57,NA,NA,NA
"NW_007930907.1",3514,3521,8,"+",12.7449,9.9e-06,0.241,"Promoter (2-3kb)",72,1036,1578,543,1,"BBA_09864",2478,NA,NA,NA
"NW_007930857.1",3860,3867,8,"-",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",22,2692,4239,1548,2,"BBA_06955",379,NA,NA,NA
"NW_007930944.1",4118,4125,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",109,2595,4756,2162,2,"BBA_10253",631,NA,NA,NA
"NW_007930944.1",4133,4140,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",109,2595,4756,2162,2,"BBA_10253",616,NA,NA,NA
"NW_007930947.1",4219,4226,8,"-",12.7449,9.9e-06,0.241,"Distal Intergenic",112,14126,15933,1808,1,"BBA_10269",-9907,NA,NA,NA
"NW_007930859.1",4487,4494,8,"-",12.7449,9.9e-06,0.241,"Promoter (1-2kb)",24,4542,6410,1869,2,"BBA_07276",1923,NA,NA,NA
"NW_007930857.1",4516,4523,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",22,2692,4239,1548,2,"BBA_06955",-277,NA,NA,NA
"NW_007930860.1",4543,4550,8,"-",12.7449,9.9e-06,0.241,"Promoter (1-2kb)",25,5562,8673,3112,1,"BBA_07424",-1019,NA,NA,NA
"NW_007930838.1",4723,4730,8,"-",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",3,2920,4480,1561,2,"BBA_01240",-250,NA,NA,NA
"NW_007930902.1",4981,4988,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",67,4315,5042,728,2,"BBA_09777",54,NA,NA,NA
"NW_007930860.1",4986,4993,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",25,5562,8673,3112,1,"BBA_07424",-569,NA,NA,NA
"NW_007930928.1",5014,5021,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",93,5491,6731,1241,1,"BBA_10145",-470,NA,NA,NA
"NW_007930946.1",5463,5470,8,"+",12.7449,9.9e-06,0.241,"Promoter (1-2kb)",111,4814,6612,1799,2,"BBA_10265",1142,NA,NA,NA
"NW_007930899.1",5533,5540,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",64,5244,5722,479,2,"BBA_09713",182,NA,NA,NA
"NW_007930839.1",5658,5665,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",4,5209,6574,1366,2,"BBA_01780",909,NA,NA,NA
"NW_007930892.1",5694,5701,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",57,3915,5653,1739,2,"BBA_09526",-41,NA,NA,NA
"NW_007930852.1",5856,5863,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",17,3793,5493,1701,2,"BBA_06021",-363,NA,NA,NA
"NW_007930950.1",5990,5997,8,"-",12.7449,9.9e-06,0.241,"Promoter (1-2kb)",115,4710,7470,2761,1,"BBA_10281",1287,NA,NA,NA
"NW_007930948.1",6604,6611,8,"-",12.7449,9.9e-06,0.241,"Promoter (4-5kb)",113,2472,5416,2945,1,"BBA_10271",4139,NA,NA,NA
"NW_007930851.1",6827,6834,8,"-",12.7449,9.9e-06,0.241,"Promoter (1-2kb)",16,5807,7367,1561,1,"BBA_05804",1027,NA,NA,NA
"NW_007930945.1",6877,6884,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",110,7251,7604,354,2,"BBA_10259",720,NA,NA,NA
"NW_007930878.1",7029,7036,8,"-",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",43,5971,6708,738,2,"BBA_08955",-328,NA,NA,NA
"NW_007930896.1",7320,7327,8,"-",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",61,6826,8923,2098,1,"BBA_09636",501,NA,NA,NA
"NW_007930883.1",7337,7344,8,"+",12.7449,9.9e-06,0.241,"Promoter (2-3kb)",48,7210,9590,2381,2,"BBA_09219",2246,NA,NA,NA
"NW_007930837.1",7596,7603,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",2,7430,8015,586,1,"BBA_00684",166,NA,NA,NA
"NW_007930858.1",7615,7622,8,"+",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",23,7013,8059,1047,2,"BBA_07104",437,NA,NA,NA
"NW_007930854.1",7617,7624,8,"-",12.7449,9.9e-06,0.241,"Promoter (<=1kb)",19,7715,10798,3084,1,"BBA_06417",-98,NA,NA,NA
"NW_007930922.1",7773,7780,8,"+",12.7449,9.9e-06,0.241,"Promoter (2-3kb)",87,5188,5647,460,1,"BBA_10095",2585,NA,NA,NA
