locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00004	NW_007930836.1	13453	13460	8	+	10.1429	2.81e-05	0.38	Promoter (1-2kb)	1	12136	13042	907	1	1317	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00006	NW_007930836.1	19628	19635	8	-	10.1429	2.81e-05	0.38	Promoter (1-2kb)	1	21184	22451	1268	1	-1556	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00007	NW_007930836.1	22882	22889	8	-	10.051	5.11e-05	0.407	Promoter (<=1kb)	1	23340	25184	1845	1	-458	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00007	NW_007930836.1	23522	23529	8	+	10.051	5.11e-05	0.407	Promoter (<=1kb)	1	23340	25184	1845	1	182	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00007	NW_007930836.1	22931	22938	8	-	10.3265	6.67e-06	0.257	Promoter (<=1kb)	1	23340	25184	1845	1	-409	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00008	NW_007930836.1	25497	25504	8	+	10.2347	2.15e-05	0.364	Promoter (<=1kb)	1	25244	26096	853	2	592	19883020	XM_008595105.1	XP_008593327.1	uncharacterized protein
BBA_00010	NW_007930836.1	29587	29594	8	-	10.0714	4.44e-05	0.407	Promoter (<=1kb)	1	30265	32130	1866	1	-678	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00010	NW_007930836.1	28729	28736	8	-	10.2551	1.48e-05	0.364	Promoter (1-2kb)	1	30265	32130	1866	1	-1536	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00011	NW_007930836.1	34310	34317	8	+	10.2551	1.48e-05	0.364	Promoter (1-2kb)	1	33013	35806	2794	1	1297	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00011	NW_007930836.1	33691	33698	8	+	9.97959	7.72e-05	0.491	Promoter (<=1kb)	1	33013	35806	2794	1	678	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00011	NW_007930836.1	33929	33936	8	+	10.3265	6.67e-06	0.257	Promoter (<=1kb)	1	33013	35806	2794	1	916	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00011	NW_007930836.1	32869	32876	8	+	10.3265	6.67e-06	0.257	Promoter (<=1kb)	1	33013	35806	2794	1	-137	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00013	NW_007930836.1	40983	40990	8	-	10.3265	6.67e-06	0.257	Promoter (1-2kb)	1	38580	39928	1349	2	-1062	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00015	NW_007930836.1	46935	46942	8	-	10.051	5.11e-05	0.407	Promoter (<=1kb)	1	45678	47093	1416	2	158	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00016	NW_007930836.1	48259	48266	8	-	10.0102	5.92e-05	0.434	Promoter (<=1kb)	1	47545	49098	1554	2	839	19883028	XM_008595113.1	XP_008593335.1	U4/U6 small nuclear ribonucleoprotein Prp4
BBA_00017	NW_007930836.1	50750	50757	8	-	10.2551	1.48e-05	0.364	Promoter (<=1kb)	1	50976	55391	4416	1	-226	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
BBA_00020	NW_007930836.1	61703	61710	8	+	9.95918	8.54e-05	0.493	Promoter (2-3kb)	1	63451	64529	1079	2	2819	19883032	XM_008595117.1	XP_008593339.1	glycerate dehydrogenase
BBA_00020	NW_007930836.1	63209	63216	8	-	10.3265	6.67e-06	0.257	Promoter (1-2kb)	1	63451	64529	1079	2	1320	19883032	XM_008595117.1	XP_008593339.1	glycerate dehydrogenase
BBA_00021	NW_007930836.1	66620	66627	8	+	10.3265	6.67e-06	0.257	Promoter (<=1kb)	1	66572	67074	503	1	48	19883033	XM_008595118.1	XP_008593340.1	LSM domain-containing protein
BBA_00021	NW_007930836.1	66822	66829	8	-	10.1429	2.81e-05	0.38	Promoter (<=1kb)	1	66572	67074	503	1	257	19883033	XM_008595118.1	XP_008593340.1	LSM domain-containing protein
BBA_00022	NW_007930836.1	69069	69076	8	+	10.0714	4.44e-05	0.407	Promoter (<=1kb)	1	67095	68927	1833	2	-142	19883034	XM_008595119.1	XP_008593341.1	inosine-uridine preferring nucleoside hydrolase
BBA_00022	NW_007930836.1	68026	68033	8	-	10.2347	2.15e-05	0.364	Promoter (<=1kb)	1	67095	68927	1833	2	901	19883034	XM_008595119.1	XP_008593341.1	inosine-uridine preferring nucleoside hydrolase
