locus_tag	GeneID	transcript_id	protein_id	product
BBA_00001	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00002	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00005	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00010	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00013	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00016	19883028	XM_008595113.1	XP_008593335.1	U4/U6 small nuclear ribonucleoprotein Prp4
BBA_00019	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00028	19883040	XM_008595125.1	XP_008593347.1	oxysterol-binding family protein
BBA_00030	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00031	19883043	XM_008595128.1	XP_008593350.1	uncharacterized protein
BBA_00033	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00035	19883047	XM_008595132.1	XP_008593354.1	uncharacterized protein
BBA_00037	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
BBA_00043	19883055	XM_008595140.1	XP_008593362.1	uncharacterized protein
BBA_00045	19883057	XM_008595142.1	XP_008593364.1	uncharacterized protein
BBA_00046	19883058	XM_008595143.1	XP_008593365.1	glucan endo-1,3-beta-glucosidase A1-like protein
BBA_00047	19883059	XM_008595144.1	XP_008593366.1	Cel5b-like protein
BBA_00055	19883067	XM_008595152.1	XP_008593374.1	ARP2/3 actin-organizing complex subunit Sop2
BBA_00058	19883070	XM_008595155.1	XP_008593377.1	diphthamide biosynthesis protein 2
BBA_00060	19883072	XM_008595157.1	XP_008593379.1	MutS domain V
BBA_00062	19883074	XM_008595159.1	XP_008593381.1	cellobiose dehydrogenase
BBA_00066	19883078	XM_008595163.1	XP_008593385.1	Phosphotransferase enzyme family domain protein
BBA_00067	19883079	XM_008595164.1	XP_008593386.1	2-nitropropane dioxygenase
BBA_00069	19883081	XM_008595166.1	XP_008593388.1	metalloprotease MEP1
BBA_00071	19883083	XM_008595168.1	XP_008593390.1	nitrate assimilation regulatory protein nirA
BBA_00072	19883084	XM_008595169.1	XP_008593391.1	C6 transcription factor
BBA_00073	19883085	XM_008595170.1	XP_008593392.1	methylitaconate delta2-delta3-isomerase
BBA_00078	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00086	19883098	XM_008595183.1	XP_008593405.1	uncharacterized protein
BBA_00092	19883104	XM_008595189.1	XP_008593411.1	uncharacterized protein
BBA_00098	19883110	XM_008595195.1	XP_008593417.1	major facilitator superfamily transporter
BBA_00100	19883112	XM_008595197.1	XP_008593419.1	uncharacterized protein
BBA_00104	19883116	XM_008595201.1	XP_008593423.1	uncharacterized protein
BBA_00105	19883117	XM_008595202.1	XP_008593424.1	Putative Zn(II)2Cys6 transcription factor
BBA_00110	19883122	XM_008595207.1	XP_008593429.1	uncharacterized protein
BBA_00112	19883124	XM_008595209.1	XP_008593431.1	uncharacterized protein
BBA_00117	19883129	XM_008595214.1	XP_008593436.1	RNA recognition domain-containing protein
BBA_00119	19883131	XM_008595216.1	XP_008593438.1	golgi apparatus membrane protein TVP23
BBA_00120	19883132	XM_008595217.1	XP_008593439.1	uncharacterized protein
BBA_00126	19883138	XM_008595223.1	XP_008593445.1	protein kinase, putative
BBA_00145	19883157	XM_008595242.1	XP_008593464.1	prenylated Rab acceptor 1
BBA_00149	19883161	XM_008595246.1	XP_008593468.1	ATP-NAD kinase
BBA_00159	19883171	XM_008595256.1	XP_008593478.1	uncharacterized protein
BBA_00160	19883172	XM_008595257.1	XP_008593479.1	uncharacterized protein
BBA_00163	19883175	XM_008595260.1	XP_008593482.1	uncharacterized protein
BBA_00164	19883176	XM_008595261.1	XP_008593483.1	WLM domain-containing protein
BBA_00167	19883179	XM_008595264.1	XP_008593486.1	hemolysin-III family protein
BBA_00168	19883180	XM_008595265.1	XP_008593487.1	fms interacting protein
BBA_00170	19883182	XM_008595267.1	XP_008593489.1	serine/threonine-protein kinase cbk1
BBA_00171	19883183	XM_008595268.1	XP_008593490.1	serine/threonine protein kinase, putative
BBA_00173	19883185	XM_008595270.1	XP_008593492.1	MutS domain V
BBA_00174	19883186	XM_008595271.1	XP_008593493.1	60S acidic ribosomal protein P0
BBA_00176	19883188	XM_008595273.1	XP_008593495.1	DnaJ domain-containing protein
BBA_00177	19883189	XM_008595274.1	XP_008593496.1	CAP-Gly domain-containing protein
BBA_00181	19883193	XM_008595278.1	XP_008593500.1	BAH/PHD-containing protein
BBA_00182	19883194	XM_008595279.1	XP_008593501.1	uncharacterized protein
BBA_00186	19883198	XM_008595283.1	XP_008593505.1	uncharacterized protein
BBA_00188	19883200	XM_008595285.1	XP_008593507.1	T-complex protein 1
BBA_00191	19883203	XM_008595288.1	XP_008593510.1	uncharacterized protein
BBA_00192	19883204	XM_008595289.1	XP_008593511.1	Ribonuclease H1
BBA_00206	19883218	XM_008595303.1	XP_008593525.1	uncharacterized protein
BBA_00207	19883219	XM_008595304.1	XP_008593526.1	cation diffusion facilitator family transporter
BBA_00208	19883220	XM_008595305.1	XP_008593527.1	40S ribosomal protein S2
BBA_00211	19883223	XM_008595308.1	XP_008593530.1	integral membrane protein, putative
BBA_00212	19883224	XM_008595309.1	XP_008593531.1	proline dehydrogenase
BBA_00220	19883232	XM_008595317.1	XP_008593539.1	CLAP1-like protein
BBA_00221	19883233	XM_008595318.1	XP_008593540.1	Cytochrome P450 CYP51F1
BBA_00227	19883239	XM_008595324.1	XP_008593546.1	cutinase negative acting protein
BBA_00229	19883241	XM_008595326.1	XP_008593548.1	mitochondrial ribosomal protein subunit L37
BBA_00232	19883244	XM_008595329.1	XP_008593551.1	uncharacterized protein
BBA_00236	19883248	XM_008595333.1	XP_008593555.1	uncharacterized protein
BBA_00237	19883249	XM_008595334.1	XP_008593556.1	Putative Zn(II)2Cys6 transcription factor
BBA_00238	19883250	XM_008595335.1	XP_008593557.1	chaperone protein hchA
BBA_00244	19883256	XM_008595341.1	XP_008593563.1	BOUP1-like protein
BBA_00245	19883257	XM_008595342.1	XP_008593564.1	oxidoreductase NAD-binding domain-containing protein
BBA_00259	19883271	XM_008595356.1	XP_008593578.1	uncharacterized protein
BBA_00260	19883272	XM_008595357.1	XP_008593579.1	RNA polymerase Rpb1
BBA_00261	19883273	XM_008595358.1	XP_008593580.1	WD domain-containing protein
BBA_00262	19883274	XM_008595359.1	XP_008593581.1	tRNA(His) guanylyltransferase
BBA_00277	19883289	XM_008595374.1	XP_008593596.1	SET domain-containing protein
BBA_00279	19883291	XM_008595376.1	XP_008593598.1	uncharacterized protein
BBA_00281	19883293	XM_008595378.1	XP_008593600.1	cupin-like protein
BBA_00288	19883300	XM_008595385.1	XP_008593607.1	RNA polymerase N/8 kDa subunit
BBA_00289	19883301	XM_008595386.1	XP_008593608.1	uncharacterized protein
BBA_00290	19883302	XM_008595387.1	XP_008593609.1	uncharacterized protein
BBA_00291	19883303	XM_008595388.1	XP_008593610.1	COM1 protein
BBA_00292	19883304	XM_008595389.1	XP_008593611.1	WD domain-containing protein
BBA_00296	19883308	XM_008595393.1	XP_008593615.1	RING-8 protein
BBA_00300	19883312	XM_008595397.1	XP_008593619.1	FoabaA-like protein
BBA_00303	19883315	XM_008595400.1	XP_008593622.1	endoglucanase, putative
BBA_00304	19883316	XM_008595401.1	XP_008593623.1	dynein light chain type 1
BBA_00305	19883317	XM_008595402.1	XP_008593624.1	Cytochrome P450 CYP628A2
BBA_00311	19883323	XM_008595408.1	XP_008593630.1	UTP-glucose-1-phosphate uridylyltransferase
BBA_00312	19883324	XM_008595409.1	XP_008593631.1	raffinose synthase Sip1
BBA_00315	19883327	XM_008595412.1	XP_008593634.1	SMP2 protein
BBA_00318	19883330	XM_008595415.1	XP_008593637.1	AMP-binding enzyme, putative
BBA_00473	19883485	XM_008595570.1	XP_008593792.1	hexokinase-like protein
BBA_00475	19883487	XM_008595572.1	XP_008593794.1	mRNA decapping hydrolase, putative
BBA_00476	19883488	XM_008595573.1	XP_008593795.1	SH3 domain-containing protein
BBA_00479	19883491	XM_008595576.1	XP_008593798.1	exocyst complex component EXO84
BBA_00494	19883506	XM_008595591.1	XP_008593813.1	uncharacterized protein
BBA_00495	19883507	XM_008595592.1	XP_008593814.1	SNARE protein, putative
BBA_00497	19883509	XM_008595594.1	XP_008593816.1	Sec63 Brl domain-containing protein
BBA_00499	19883511	XM_008595596.1	XP_008593818.1	C6 finger domain protein
BBA_00505	19883517	XM_008595602.1	XP_008593824.1	ferric reductase like transmembrane component
BBA_00507	19883519	XM_008595604.1	XP_008593826.1	peptidyl-tRNA hydrolase domain-containing protein
BBA_00509	19883521	XM_008595606.1	XP_008593828.1	PAP2 superfamily protein
BBA_00511	19883523	XM_008595608.1	XP_008593830.1	GRC3 protein
BBA_00513	19883525	XM_008595610.1	XP_008593832.1	uncharacterized protein
BBA_00520	19883532	XM_008595617.1	XP_008593839.1	heterokaryon incompatibility protein Het-C
BBA_00522	19883534	XM_008595619.1	XP_008593841.1	Urease, alpha subunit
BBA_00526	19883538	XM_008595623.1	XP_008593845.1	uncharacterized protein
BBA_00530	19883542	XM_008595627.1	XP_008593849.1	Hydrophobin 2
BBA_00531	19883543	XM_008595628.1	XP_008593850.1	uncharacterized protein
BBA_00541	19883553	XM_008595638.1	XP_008593860.1	phosphatidylserine decarboxylase family protein
BBA_00543	19883555	XM_008595640.1	XP_008593862.1	pyruvate kinase
BBA_00545	19883557	XM_008595642.1	XP_008593864.1	penicillin-binding protein
BBA_00546	19883558	XM_008595643.1	XP_008593865.1	calcium-dependent protein kinase
BBA_00547	19883559	XM_008595644.1	XP_008593866.1	purine nucleoside permease
BBA_00548	19883560	XM_008595645.1	XP_008593867.1	calcium-translocating P-type ATPase
BBA_00550	19883562	XM_008595647.1	XP_008593869.1	DUF757 domain-containing protein
BBA_00553	19883565	XM_008595650.1	XP_008593872.1	uncharacterized protein
BBA_00554	19883566	XM_008595651.1	XP_008593873.1	cupin domain-containing protein
BBA_00556	19883568	XM_008595653.1	XP_008593875.1	cytidylyltransferase-like protein
BBA_00560	19883572	XM_008595657.1	XP_008593879.1	proteasome/cyclosome
BBA_00562	19883574	XM_008595659.1	XP_008593881.1	purine permease
BBA_00563	19883575	XM_008595660.1	XP_008593882.1	uncharacterized protein
BBA_00567	19883579	XM_008595664.1	XP_008593886.1	uncharacterized protein
BBA_00569	19883581	XM_008595666.1	XP_008593888.1	uncharacterized protein
BBA_00570	19883582	XM_008595667.1	XP_008593889.1	retrograde regulation protein
BBA_00571	19883583	XM_008595668.1	XP_008593890.1	uncharacterized protein
BBA_00574	19883586	XM_008595671.1	XP_008593893.1	choriogenin Hminor
BBA_00575	19883587	XM_008595672.1	XP_008593894.1	F-box domain protein
BBA_00577	19883589	XM_008595674.1	XP_008593896.1	SNF2 family N-terminal domain containing protein
BBA_00581	19883593	XM_008595678.1	XP_008593900.1	uncharacterized protein
BBA_00584	19883596	XM_008595681.1	XP_008593903.1	uncharacterized protein
BBA_00586	19883598	XM_008595683.1	XP_008593905.1	DNA polymerase POL4, putative
BBA_00587	19883599	XM_008595684.1	XP_008593906.1	intracellular protein transport protein
BBA_00589	19883601	XM_008595686.1	XP_008593908.1	pyruvate dehydrogenase
BBA_00590	19883602	XM_008595687.1	XP_008593909.1	uncharacterized protein
