#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-3D842A091CFD69E4-2C27B1E302DFEDBA
#datatype	hitsStandard Results
#status	0
#Start time	2025-03-07T12:09:54	Run time	0:00:00:22
#status	Warning: Too many queries.	msg	Error(s) occurred during search, the result may be incomplete

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	non-specific	185691	35	317	4.54106e-92	274.576	cd02182	GH16_Strep_laminarinase_like	 - 	cl22861
Q#1 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	superfamily	473984	35	317	4.54106e-92	274.576	cl22861	LamG superfamily	 - 	 - 
Q#1 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	specific	441874	1	317	8.10846e-42	145.517	COG2273	BglS	 - 	cl34454
Q#1 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	superfamily	441874	1	317	8.10846e-42	145.517	cl34454	BglS superfamily	 - 	 - 
Q#1 - >XP_008593365.1 glucan endo-1,3-beta-glucosidase A1-like protein [Beauveria bassiana ARSEF 2860]	non-specific	395585	106	263	0.0079777	36.4166	pfam00722	Glyco_hydro_16	 - 	cl22861
Q#2 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	non-specific	441213	67	132	1.13952e-08	51.6898	COG1605	PheA	C	cl43464
Q#2 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	superfamily	441213	67	132	1.13952e-08	51.6898	cl43464	PheA superfamily	C	 - 
Q#2 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	specific	214841	76	137	7.20928e-07	44.8769	smart00830	CM_2	C	cl00693
Q#2 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	superfamily	469881	76	137	7.20928e-07	44.8769	cl00693	CM_2 superfamily	C	 - 
Q#2 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	specific	460345	76	120	7.72831e-07	44.7915	pfam01817	CM_2	C	cl47697
Q#2 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	superfamily	460345	76	120	7.72831e-07	44.7915	cl47697	CM_2 superfamily	C	 - 
Q#2 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	non-specific	130851	72	122	0.00062839	37.0215	TIGR01791	CM_archaeal	C	cl00693
Q#2 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	non-specific	180509	65	122	0.00196211	35.7822	PRK06285	PRK06285	C	cl00693
Q#3 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	specific	199882	585	682	6.76489e-29	110.791	cd02851	E_set_GO_C	 - 	cl28984
Q#3 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	superfamily	475140	585	682	6.76489e-29	110.791	cl28984	E_set superfamily	 - 	 - 
Q#3 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	specific	462683	603	682	3.7874e-25	99.5623	pfam09118	GO-like_E_set	 - 	cl38296
Q#3 - >XP_008593512.1 galactose oxidase precursor [Beauveria bassiana ARSEF 2860]	superfamily	462683	603	682	3.7874e-25	99.5623	cl38296	GO-like_E_set superfamily	 - 	 - 
