seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930945.1	12068	12078	11	-	20.9394	1.13e-07	0.236	Promoter	110	11046	12484	1439	2	BBA_10261	416
NW_007930863.1	53502	53512	11	+	20.9394	1.13e-07	0.236	Distal Intergenic	28	54244	55514	1271	2	BBA_07789	2002
NW_007930876.1	58501	58511	11	-	20.9394	1.13e-07	0.236	Promoter	41	57542	59023	1482	1	BBA_08852	969
NW_007930877.1	149004	149014	11	+	20.9394	1.13e-07	0.236	Distal Intergenic	42	150077	150757	681	1	BBA_08943	-1063
NW_007930860.1	152731	152741	11	-	20.9394	1.13e-07	0.236	Exon (XM_008602573.1/BBA_07476, exon 5 of 5)	25	150495	153546	3052	1	BBA_07476	2246
NW_007930855.1	169327	169337	11	+	20.9394	1.13e-07	0.236	Promoter	20	168889	169667	779	2	BBA_06691	330
NW_007930861.1	326744	326754	11	+	20.9394	1.13e-07	0.236	Distal Intergenic	26	324792	326152	1361	1	BBA_07659	1952
NW_007930855.1	346965	346975	11	-	20.9394	1.13e-07	0.236	Promoter	20	346605	347057	453	2	BBA_06743	92
NW_007930839.1	385088	385098	11	-	20.9394	1.13e-07	0.236	Distal Intergenic	4	382300	383049	750	2	BBA_01913	-2049
NW_007930845.1	388245	388255	11	+	20.9394	1.13e-07	0.236	Promoter	10	386852	388291	1440	2	BBA_04467	36
NW_007930840.1	448359	448369	11	+	20.9394	1.13e-07	0.236	Promoter	5	448016	448489	474	2	BBA_02433	120
NW_007930836.1	490061	490071	11	+	20.9394	1.13e-07	0.236	Promoter	1	488963	490680	1718	2	BBA_00164	609
NW_007930845.1	601504	601514	11	+	20.9394	1.13e-07	0.236	Downstream (<=300bp)	10	602983	604260	1278	1	BBA_04526	-1469
NW_007930849.1	612493	612503	11	-	20.9394	1.13e-07	0.236	Promoter	14	612177	614599	2423	1	BBA_05545	326
NW_007930840.1	658654	658664	11	-	20.9394	1.13e-07	0.236	Promoter	5	657959	658828	870	2	BBA_02497	174
NW_007930841.1	662702	662712	11	-	20.9394	1.13e-07	0.236	Promoter	6	662211	664951	2741	1	BBA_02965	501
NW_007930843.1	1098722	1098732	11	+	20.9394	1.13e-07	0.236	Exon (XM_008599072.1/BBA_03975, exon 3 of 3)	8	1099274	1100020	747	2	BBA_03976	1288
NW_007930836.1	1812446	1812456	11	+	20.9394	1.13e-07	0.236	Exon (XM_008595686.1/BBA_00589, exon 1 of 1)	1	1812207	1813460	1254	2	BBA_00589	1004
NW_007930870.1	4829	4839	11	-	20.6727	2.52e-07	0.236	Promoter	35	4460	5587	1128	2	BBA_08439	758
NW_007930914.1	16527	16537	11	-	20.6727	2.52e-07	0.236	Promoter	79	16139	17050	912	2	BBA_09989	523
NW_007930888.1	89795	89805	11	+	20.6727	2.52e-07	0.236	Distal Intergenic	53	91331	92917	1587	2	BBA_09427	3112
NW_007930857.1	122991	123001	11	+	20.6727	2.52e-07	0.236	Promoter	22	123026	128847	5822	1	BBA_06990	-25
NW_007930846.1	134030	134040	11	+	20.6727	2.52e-07	0.236	Distal Intergenic	11	135701	139342	3642	1	BBA_04690	-1661
NW_007930860.1	152213	152223	11	+	20.6727	2.52e-07	0.236	Exon (XM_008602573.1/BBA_07476, exon 5 of 5)	25	150495	153546	3052	1	BBA_07476	1718
NW_007930874.1	194919	194929	11	+	20.6727	2.52e-07	0.236	Promoter	39	193423	194376	954	2	BBA_08764	-543
NW_007930863.1	198787	198797	11	+	20.6727	2.52e-07	0.236	Promoter	28	197825	199472	1648	2	BBA_07835	675
NW_007930843.1	201678	201688	11	-	20.6727	2.52e-07	0.236	Promoter	8	200871	201746	876	1	BBA_03701	817
NW_007930846.1	264806	264816	11	+	20.6727	2.52e-07	0.236	Promoter	11	265245	266515	1271	1	BBA_04726	-429
NW_007930861.1	270731	270741	11	-	20.6727	2.52e-07	0.236	Exon (XM_008602737.1/BBA_07640, exon 5 of 6)	26	269465	271031	1567	1	BBA_07640	1276
NW_007930844.1	282722	282732	11	+	20.6727	2.52e-07	0.236	Promoter	9	281965	282897	933	2	BBA_04090	165
NW_007930843.1	381110	381120	11	-	20.6727	2.52e-07	0.236	Distal Intergenic	8	382818	384497	1680	2	BBA_03758	3387
NW_007930856.1	409136	409146	11	+	20.6727	2.52e-07	0.236	Exon (XM_008602022.1/BBA_06925, exon 1 of 1)	21	408831	410198	1368	2	BBA_06925	1052
NW_007930849.1	415710	415720	11	+	20.6727	2.52e-07	0.236	Distal Intergenic	14	411672	414036	2365	2	BBA_05481	-1674
NW_007930851.1	418713	418723	11	-	20.6727	2.52e-07	0.236	Promoter	16	418859	419265	407	1	BBA_05944	-146
NW_007930855.1	435466	435476	11	-	20.6727	2.52e-07	0.236	Promoter	20	432909	435283	2375	2	BBA_06768	-193
NW_007930836.1	445502	445512	11	+	20.6727	2.52e-07	0.236	Distal Intergenic	1	440946	442502	1557	2	BBA_00152	-3000
NW_007930849.1	615204	615214	11	-	20.6727	2.52e-07	0.236	Promoter	14	615162	616136	975	1	BBA_05546	52
NW_007930844.1	639841	639851	11	+	20.6727	2.52e-07	0.236	Exon (XM_008599295.1/BBA_04198, exon 2 of 3)	9	640398	640920	523	2	BBA_04199	1069
NW_007930846.1	671574	671584	11	-	20.6727	2.52e-07	0.236	Promoter	11	671210	672334	1125	2	BBA_04845	760
NW_007930842.1	809225	809235	11	+	20.6727	2.52e-07	0.236	Promoter	7	807285	809007	1723	2	BBA_03477	-218
NW_007930836.1	915270	915280	11	+	20.6727	2.52e-07	0.236	Distal Intergenic	1	917512	918763	1252	1	BBA_00303	-2232
NW_007930840.1	1326388	1326398	11	+	20.6727	2.52e-07	0.236	Exon (XM_008597788.1/BBA_02691, exon 1 of 1)	5	1324060	1329270	5211	2	BBA_02691	2872
NW_007930913.1	2198	2208	11	-	16.4061	5.03e-07	0.236	Distal Intergenic	78	3260	5230	1971	2	BBA_09968	3032
NW_007930850.1	3308	3318	11	+	16.4061	5.03e-07	0.236	Promoter	15	2224	2919	696	2	BBA_05582	-389
NW_007930841.1	7997	8007	11	+	16.4061	5.03e-07	0.236	Promoter	6	7328	8131	804	2	BBA_02748	124
NW_007930867.1	15147	15157	11	+	16.4061	5.03e-07	0.236	Promoter	32	15662	16906	1245	1	BBA_08176	-505
NW_007930891.1	33283	33293	11	-	16.4061	5.03e-07	0.236	Exon (XM_008604602.1/BBA_09505, exon 5 of 5)	56	29865	33403	3539	1	BBA_09505	3428
NW_007930910.1	44480	44490	11	-	16.4061	5.03e-07	0.236	Promoter	75	43542	43730	189	2	BBA_09934	-760
NW_007930899.1	49544	49554	11	+	16.4061	5.03e-07	0.236	Exon (XM_008604824.1/BBA_09727, exon 1 of 1)	64	54351	55166	816	1	BBA_09728	-4797
NW_007930904.1	55129	55139	11	+	16.4061	5.03e-07	0.236	Promoter	69	54556	57069	2514	1	BBA_09821	573
NW_007930904.1	59129	59139	11	+	16.4061	5.03e-07	0.236	Exon (XM_008604919.1/BBA_09822, exon 4 of 4)	69	58224	60449	2226	2	BBA_09822	1310
NW_007930882.1	109864	109874	11	-	16.4061	5.03e-07	0.236	Promoter	47	108585	110042	1458	2	BBA_09207	178
NW_007930865.1	112052	112062	11	-	16.4061	5.03e-07	0.236	Exon (XM_008603115.1/BBA_08018, exon 1 of 1)	30	111194	113464	2271	2	BBA_08018	1412
NW_007930877.1	115284	115294	11	+	16.4061	5.03e-07	0.236	Promoter	42	113929	114655	727	2	BBA_08931	-629
NW_007930858.1	183217	183227	11	-	16.4061	5.03e-07	0.236	Exon (XM_008602260.1/BBA_07163, exon 1 of 1)	23	182286	184373	2088	2	BBA_07163	1156
NW_007930861.1	258196	258206	11	-	16.4061	5.03e-07	0.236	Promoter	26	256221	258223	2003	2	BBA_07634	27
NW_007930862.1	259130	259140	11	+	16.4061	5.03e-07	0.236	Exon (XM_008602846.1/BBA_07749, exon 2 of 2)	27	259491	260372	882	2	BBA_07750	1232
NW_007930837.1	286967	286977	11	-	16.4061	5.03e-07	0.236	Promoter	2	287322	289282	1961	1	BBA_00768	-355
NW_007930866.1	288959	288969	11	-	16.4061	5.03e-07	0.236	Promoter	31	287285	288832	1548	2	BBA_08170	-137
NW_007930847.1	323881	323891	11	+	16.4061	5.03e-07	0.236	Distal Intergenic	12	325718	326041	324	2	BBA_04996	2150
NW_007930842.1	330558	330568	11	+	16.4061	5.03e-07	0.236	Promoter	7	329156	329896	741	2	BBA_03320	-662
NW_007930841.1	374417	374427	11	-	16.4061	5.03e-07	0.236	Exon (XM_008597961.1/BBA_02864, exon 1 of 1)	6	374245	377568	3324	2	BBA_02864	3151
NW_007930841.1	466379	466389	11	+	16.4061	5.03e-07	0.236	Promoter	6	465156	465851	696	2	BBA_02890	-528
NW_007930852.1	492810	492820	11	+	16.4061	5.03e-07	0.236	Exon (XM_008601255.1/BBA_06158, exon 1 of 1)	17	490293	493628	3336	1	BBA_06158	2517
NW_007930838.1	568483	568493	11	-	16.4061	5.03e-07	0.236	Promoter	3	567608	570336	2729	1	BBA_01411	885
NW_007930838.1	620811	620821	11	-	16.4061	5.03e-07	0.236	Promoter	3	620024	620884	861	2	BBA_01424	73
NW_007930843.1	642252	642262	11	-	16.4061	5.03e-07	0.236	Promoter	8	641783	642743	961	1	BBA_03835	479
NW_007930846.1	645507	645517	11	+	16.4061	5.03e-07	0.236	Distal Intergenic	11	641047	643826	2780	2	BBA_04837	-1681
NW_007930838.1	674000	674010	11	+	16.4061	5.03e-07	0.236	Promoter	3	673351	674929	1579	2	BBA_01438	919
NW_007930845.1	718417	718427	11	-	16.4061	5.03e-07	0.236	Promoter	10	716005	718211	2207	2	BBA_04569	-216
NW_007930839.1	903324	903334	11	+	16.4061	5.03e-07	0.236	Exon (XM_008597170.1/BBA_02073, exon 9 of 11)	4	901981	907307	5327	2	BBA_02073	3973
NW_007930842.1	1060196	1060206	11	+	16.4061	5.03e-07	0.236	Promoter	7	1059495	1060806	1312	1	BBA_03567	701
NW_007930836.1	1824329	1824339	11	-	16.4061	5.03e-07	0.236	Exon (XM_008595689.1/BBA_00592, exon 2 of 2)	1	1820597	1822534	1938	1	BBA_00591	3742
NW_007930889.1	4890	4900	11	-	15.7152	1.1e-06	0.236	Promoter	54	3634	5296	1663	2	BBA_09430	406
NW_007930853.1	6672	6682	11	-	15.7152	1.1e-06	0.236	Promoter	18	4327	6654	2328	2	BBA_06209	-28
NW_007930917.1	7062	7072	11	-	15.7152	1.1e-06	0.236	Promoter	82	4184	6363	2180	2	BBA_10030	-709
NW_007930909.1	8917	8927	11	+	15.7152	1.1e-06	0.236	Exon (XM_008605007.1/BBA_09910, exon 4 of 6)	74	7793	11254	3462	2	BBA_09910	2327
NW_007930956.1	11645	11655	11	-	15.7152	1.1e-06	0.236	Distal Intergenic	121	2397	10507	8111	2	BBA_10302	-1148
NW_007930877.1	13924	13934	11	-	15.7152	1.1e-06	0.236	Promoter	42	11692	13466	1775	2	BBA_08901	-468
NW_007930850.1	14368	14378	11	-	15.7152	1.1e-06	0.236	Promoter	15	14006	14983	978	2	BBA_05587	615
NW_007930901.1	15221	15231	11	+	15.7152	1.1e-06	0.236	Promoter	66	13476	14845	1370	2	BBA_09756	-376
NW_007930901.1	15220	15230	11	-	15.7152	1.1e-06	0.236	Promoter	66	13476	14845	1370	2	BBA_09756	-385
NW_007930905.1	17991	18001	11	+	15.7152	1.1e-06	0.236	Promoter	70	17913	18993	1081	1	BBA_09830	78
NW_007930923.1	18461	18471	11	+	15.7152	1.1e-06	0.236	Distal Intergenic	88	15355	16920	1566	1	BBA_10103	3106
NW_007930923.1	24619	24629	11	+	15.7152	1.1e-06	0.236	Promoter	88	24890	31578	6689	1	BBA_10105	-261
NW_007930889.1	25920	25930	11	+	15.7152	1.1e-06	0.236	Promoter	54	25145	27346	2202	1	BBA_09437	775
NW_007930861.1	27881	27891	11	-	15.7152	1.1e-06	0.236	Exon (XM_008602662.1/BBA_07565, exon 1 of 1)	26	28798	30076	1279	2	BBA_07566	2195
NW_007930928.1	28870	28880	11	-	15.7152	1.1e-06	0.236	Promoter	93	28297	28620	324	1	BBA_10152	583
NW_007930914.1	30213	30223	11	-	15.7152	1.1e-06	0.236	Exon (XM_008605089.1/BBA_09992, exon 3 of 3)	79	31596	32855	1260	1	BBA_09993	-1383
NW_007930849.1	31932	31942	11	-	15.7152	1.1e-06	0.236	Distal Intergenic	14	33624	35158	1535	2	BBA_05348	3226
NW_007930903.1	32240	32250	11	+	15.7152	1.1e-06	0.236	Exon (XM_008604889.1/BBA_09792, exon 6 of 6)	68	30021	34052	4032	1	BBA_09792	2219
NW_007930903.1	41474	41484	11	+	15.7152	1.1e-06	0.236	Distal Intergenic	68	37071	39483	2413	2	BBA_09794	-1991
NW_007930847.1	44035	44045	11	+	15.7152	1.1e-06	0.236	Promoter	12	43954	44920	967	1	BBA_04917	81
NW_007930851.1	44058	44068	11	-	15.7152	1.1e-06	0.236	Promoter	16	43233	46220	2988	1	BBA_05816	835
NW_007930852.1	48236	48246	11	+	15.7152	1.1e-06	0.236	Distal Intergenic	17	49420	50851	1432	1	BBA_06036	-1174
NW_007930866.1	49181	49191	11	-	15.7152	1.1e-06	0.236	Promoter	31	47830	49393	1564	2	BBA_08100	212
