seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930946.1	9486	9495	10	-	9.03139	9.09e-07	1	Promoter (<=1kb)	111	7498	9267	1770	2	BBA_10266	-228
NW_007930853.1	14629	14638	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	18	13370	15275	1906	2	BBA_06212	637
NW_007930893.1	14754	14763	10	-	9.03139	9.09e-07	1	Promoter (1-2kb)	58	13633	14123	491	1	BBA_09555	1130
NW_007930859.1	34410	34419	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	24	33008	34384	1377	2	BBA_07287	-26
NW_007930865.1	34578	34587	10	+	9.03139	9.09e-07	1	Promoter (1-2kb)	30	33542	34315	774	1	BBA_07988	1036
NW_007930838.1	35170	35179	10	-	9.03139	9.09e-07	1	Promoter (<=1kb)	3	34982	35914	933	1	BBA_01250	197
NW_007930915.1	42300	42309	10	-	9.03139	9.09e-07	1	Promoter (2-3kb)	80	39757	41027	1271	1	BBA_10011	2552
NW_007930878.1	59510	59519	10	-	9.03139	9.09e-07	1	Promoter (<=1kb)	43	58835	59228	394	2	BBA_08974	-291
NW_007930890.1	60383	60392	10	+	9.03139	9.09e-07	1	Distal Intergenic	55	66526	68165	1640	1	BBA_09486	-6134
NW_007930842.1	70254	70263	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	7	70470	71117	648	1	BBA_03229	-207
NW_007930882.1	75538	75547	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	47	75690	76380	691	1	BBA_09196	-143
NW_007930848.1	81450	81459	10	-	9.03139	9.09e-07	1	Promoter (3-4kb)	13	77560	79592	2033	1	BBA_05140	3899
NW_007930867.1	101088	101097	10	+	9.03139	9.09e-07	1	Promoter (3-4kb)	32	104148	104512	365	2	BBA_08202	3415
NW_007930874.1	119243	119252	10	+	9.03139	9.09e-07	1	Distal Intergenic	39	113101	113631	531	2	BBA_08742	-5612
NW_007930855.1	122752	122761	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	20	120089	122366	2278	2	BBA_06679	-386
NW_007930869.1	126042	126051	10	-	9.03139	9.09e-07	1	Promoter (<=1kb)	34	126902	127942	1041	1	BBA_08381	-860
NW_007930881.1	134321	134330	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	46	135225	137304	2080	1	BBA_09169	-895
NW_007930877.1	137807	137816	10	+	9.03139	9.09e-07	1	Promoter (1-2kb)	42	136159	139310	3152	2	BBA_08939	1494
NW_007930852.1	152630	152639	10	+	9.03139	9.09e-07	1	Distal Intergenic	17	158808	160504	1697	2	BBA_06066	7865
NW_007930873.1	186003	186012	10	-	9.03139	9.09e-07	1	Promoter (1-2kb)	38	182586	184226	1641	2	BBA_08710	-1786
NW_007930865.1	212846	212855	10	-	9.03139	9.09e-07	1	Promoter (1-2kb)	30	212878	214784	1907	2	BBA_08055	1938
NW_007930841.1	231985	231994	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	6	231898	232806	909	1	BBA_02824	87
NW_007930863.1	247416	247425	10	-	9.03139	9.09e-07	1	Promoter (1-2kb)	28	244931	245551	621	2	BBA_07850	-1874
NW_007930853.1	282347	282356	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	18	279074	282070	2997	2	BBA_06286	-277
NW_007930837.1	289412	289421	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	2	290334	290771	438	1	BBA_00769	-913
NW_007930864.1	311374	311383	10	-	9.03139	9.09e-07	1	Promoter (2-3kb)	29	308928	313964	5037	1	BBA_07971	2455
NW_007930861.1	324496	324505	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	26	324792	326152	1361	1	BBA_07659	-287
NW_007930852.1	326956	326965	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	17	325191	325987	797	2	BBA_06116	-969
NW_007930838.1	327574	327583	10	-	9.03139	9.09e-07	1	Promoter (<=1kb)	3	327795	329264	1470	1	BBA_01342	-221
NW_007930839.1	388016	388025	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	4	388798	390529	1732	1	BBA_01914	-773
NW_007930848.1	452634	452643	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	13	451657	452167	511	2	BBA_05254	-467
NW_007930839.1	458588	458597	10	-	9.03139	9.09e-07	1	Promoter (<=1kb)	4	457649	458491	843	2	BBA_01933	-106
NW_007930852.1	477295	477304	10	-	9.03139	9.09e-07	1	Promoter (<=1kb)	17	475655	476939	1285	2	BBA_06152	-365
NW_007930843.1	492865	492874	10	+	9.03139	9.09e-07	1	Promoter (2-3kb)	8	489549	490385	837	2	BBA_03791	-2480
NW_007930843.1	496862	496871	10	+	9.03139	9.09e-07	1	Promoter (2-3kb)	8	499383	503083	3701	1	BBA_03792	-2512
NW_007930844.1	498223	498232	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	9	495843	498680	2838	2	BBA_04151	448
NW_007930840.1	538585	538594	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	5	538869	540755	1887	1	BBA_02463	-275
NW_007930850.1	559343	559352	10	-	9.03139	9.09e-07	1	Promoter (<=1kb)	15	559265	563081	3817	1	BBA_05766	87
NW_007930849.1	581590	581599	10	-	9.03139	9.09e-07	1	Promoter (<=1kb)	14	580669	581242	574	1	BBA_05535	930
NW_007930847.1	619861	619870	10	-	9.03139	9.09e-07	1	Promoter (<=1kb)	12	619555	620919	1365	1	BBA_05085	315
NW_007930853.1	631455	631464	10	-	9.03139	9.09e-07	1	Promoter (<=1kb)	18	631809	633001	1193	1	BBA_06412	-354
NW_007930847.1	654970	654979	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	12	655238	655849	612	1	BBA_05096	-259
NW_007930846.1	670259	670268	10	+	9.03139	9.09e-07	1	Promoter (2-3kb)	11	671210	672334	1125	2	BBA_04845	2066
NW_007930842.1	696932	696941	10	-	9.03139	9.09e-07	1	Promoter (1-2kb)	7	692093	695839	3747	2	BBA_03438	-1102
NW_007930844.1	703877	703886	10	-	9.03139	9.09e-07	1	Promoter (<=1kb)	9	702512	703225	714	2	BBA_04217	-661
NW_007930841.1	758132	758141	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	6	759056	761945	2890	1	BBA_02994	-915
NW_007930840.1	776534	776543	10	+	9.03139	9.09e-07	1	Promoter (4-5kb)	5	780364	780879	516	2	BBA_02529	4336
NW_007930845.1	801555	801564	10	+	9.03139	9.09e-07	1	Promoter (3-4kb)	10	802974	804632	1659	2	BBA_04594	3068
NW_007930838.1	825983	825992	10	+	9.03139	9.09e-07	1	Promoter (1-2kb)	3	824098	826110	2013	1	BBA_01487	1885
NW_007930841.1	837832	837841	10	-	9.03139	9.09e-07	1	Promoter (1-2kb)	6	838817	839641	825	2	BBA_03019	1809
NW_007930836.1	846669	846678	10	-	9.03139	9.09e-07	1	Promoter (2-3kb)	1	846974	849109	2136	2	BBA_00290	2440
NW_007930842.1	972542	972551	10	+	9.03139	9.09e-07	1	Promoter (<=1kb)	7	970579	972416	1838	2	BBA_03541	-126
NW_007930837.1	1106371	1106380	10	+	9.03139	9.09e-07	1	Promoter (2-3kb)	2	1106848	1108719	1872	2	BBA_00982	2339
NW_007930837.1	1109836	1109845	10	-	9.03139	9.09e-07	1	Promoter (<=1kb)	2	1109438	1110742	1305	2	BBA_00983	906
