locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	103	110	8	+	12.2317	4.81e-05	0.373	Promoter (3-4kb)	1	3335	3683	349	1	-3225	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00001	NW_007930836.1	2598	2605	8	+	13.5244	1.98e-05	0.373	Promoter (<=1kb)	1	3335	3683	349	1	-730	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00002	NW_007930836.1	6968	6975	8	-	12.4634	3.6e-05	0.373	Promoter (<=1kb)	1	5664	7104	1441	2	136	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00002	NW_007930836.1	7329	7336	8	-	13.5244	1.98e-05	0.373	Promoter (<=1kb)	1	5664	7104	1441	2	-232	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00004	NW_007930836.1	13377	13384	8	-	13.0854	2.79e-05	0.373	Promoter (1-2kb)	1	12136	13042	907	1	1248	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00005	NW_007930836.1	15998	16005	8	-	12.1707	6.44e-05	0.373	Promoter (<=1kb)	1	15330	20029	4700	1	675	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00005	NW_007930836.1	15712	15719	8	-	14.1463	9.9e-06	0.312	Promoter (<=1kb)	1	15330	20029	4700	1	389	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00007	NW_007930836.1	23439	23446	8	-	12.1707	6.44e-05	0.373	Promoter (<=1kb)	1	23340	25184	1845	1	106	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00009	NW_007930836.1	26866	26873	8	+	12.2317	4.81e-05	0.373	Promoter (<=1kb)	1	26627	26932	306	1	239	19883021	XM_008595106.1	XP_008593328.1	uncharacterized protein
BBA_00010	NW_007930836.1	30921	30928	8	-	12.1707	6.44e-05	0.373	Promoter (<=1kb)	1	30265	32130	1866	1	663	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00011	NW_007930836.1	32588	32595	8	-	12.2317	4.81e-05	0.373	Promoter (<=1kb)	1	33013	35806	2794	1	-425	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00013	NW_007930836.1	41140	41147	8	+	12.1707	6.44e-05	0.373	Promoter (1-2kb)	1	38580	39928	1349	2	-1212	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00014	NW_007930836.1	43499	43506	8	-	12.0732	7.64e-05	0.384	Promoter (<=1kb)	1	42774	44348	1575	2	849	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00014	NW_007930836.1	42760	42767	8	-	12.1707	6.44e-05	0.373	Promoter (1-2kb)	1	42774	44348	1575	2	1588	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00018	NW_007930836.1	57650	57657	8	-	13.5244	1.98e-05	0.373	Promoter (<=1kb)	1	55812	56743	932	2	-914	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00020	NW_007930836.1	61915	61922	8	+	14.1463	9.9e-06	0.312	Promoter (2-3kb)	1	63451	64529	1079	2	2607	19883032	XM_008595117.1	XP_008593339.1	glycerate dehydrogenase
BBA_00021	NW_007930836.1	67738	67745	8	+	12.4634	3.6e-05	0.373	Promoter (1-2kb)	1	66572	67074	503	1	1166	19883033	XM_008595118.1	XP_008593340.1	LSM domain-containing protein
BBA_00023	NW_007930836.1	71588	71595	8	-	13.5244	1.98e-05	0.373	Promoter (<=1kb)	1	71296	72546	1251	1	299	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
BBA_00024	NW_007930836.1	74044	74051	8	+	12.4634	3.6e-05	0.373	Promoter (1-2kb)	1	75584	76846	1263	1	-1533	19883036	XM_008595121.1	XP_008593343.1	uncharacterized protein
BBA_00024	NW_007930836.1	76557	76564	8	-	12.4634	3.6e-05	0.373	Promoter (<=1kb)	1	75584	76846	1263	1	980	19883036	XM_008595121.1	XP_008593343.1	uncharacterized protein
BBA_00024	NW_007930836.1	76386	76393	8	-	12.1707	6.44e-05	0.373	Promoter (<=1kb)	1	75584	76846	1263	1	809	19883036	XM_008595121.1	XP_008593343.1	uncharacterized protein
BBA_00024	NW_007930836.1	74226	74233	8	+	12.1707	6.44e-05	0.373	Promoter (1-2kb)	1	75584	76846	1263	1	-1351	19883036	XM_008595121.1	XP_008593343.1	uncharacterized protein
BBA_00025	NW_007930836.1	78066	78073	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	1	77430	78098	669	2	25	19883037	XM_008595122.1	XP_008593344.1	uncharacterized protein
BBA_00028	NW_007930836.1	84523	84530	8	-	12.1707	6.44e-05	0.373	Promoter (<=1kb)	1	81860	83583	1724	2	-947	19883040	XM_008595125.1	XP_008593347.1	oxysterol-binding family protein
BBA_00029	NW_007930836.1	87714	87721	8	+	12.1707	6.44e-05	0.373	Promoter (2-3kb)	1	85654	87786	2133	1	2060	19883041	XM_008595126.1	XP_008593348.1	pumilio-family RNA binding repeat domain-containing protein
BBA_00030	NW_007930836.1	88764	88771	8	-	13.0854	2.79e-05	0.373	Promoter (1-2kb)	1	88075	90170	2096	2	1406	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00030	NW_007930836.1	88525	88532	8	+	12.4634	3.6e-05	0.373	Promoter (1-2kb)	1	88075	90170	2096	2	1638	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00030	NW_007930836.1	89053	89060	8	+	14.1463	9.9e-06	0.312	Promoter (1-2kb)	1	88075	90170	2096	2	1110	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00030	NW_007930836.1	91166	91173	8	-	12.0732	7.64e-05	0.384	Promoter (1-2kb)	1	88075	90170	2096	2	-1003	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00030	NW_007930836.1	89867	89874	8	+	14.1463	9.9e-06	0.312	Promoter (<=1kb)	1	88075	90170	2096	2	296	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00031	NW_007930836.1	93589	93596	8	+	11.6098	8.85e-05	0.427	Promoter (1-2kb)	1	92358	93023	666	1	1231	19883043	XM_008595128.1	XP_008593350.1	uncharacterized protein
