"seqnames","start","end","width","strand","score","p_value","q_value","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","distanceToTSS","GeneID","transcript_id","protein_id"
"NW_007930915.1",34,42,9,"+",14.4146,7.28e-06,0.129,"Promoter (<=1kb)",80,959,1355,397,1,"BBA_09999",-917,NA,NA,NA
"NW_007930981.1",66,74,9,"+",14.4146,7.28e-06,0.129,"Promoter (2-3kb)",141,2901,4346,1446,1,"BBA_10346",-2827,"19893358","XM_008605443.1","XP_008603665.1"
"NW_007930937.1",85,93,9,"-",14.4146,7.28e-06,0.129,"Distal Intergenic",102,13919,14842,924,1,"BBA_10223",-13834,NA,NA,NA
"NW_007930968.1",113,121,9,"-",14.4146,7.28e-06,0.129,"Promoter (4-5kb)",131,4084,5021,938,2,"BBA_10328",4908,NA,NA,NA
"NW_007930857.1",122,130,9,"-",14.4146,7.28e-06,0.129,"Promoter (4-5kb)",22,2692,4239,1548,2,"BBA_06955",4117,NA,NA,NA
"NW_007930931.1",240,248,9,"-",14.4146,7.28e-06,0.129,"Promoter (2-3kb)",96,2154,2483,330,2,"BBA_10171",2243,NA,NA,NA
"NW_007930932.1",245,253,9,"-",14.4146,7.28e-06,0.129,"Promoter (1-2kb)",97,2054,3552,1499,1,"BBA_10182",-1809,NA,NA,NA
"NW_007930952.1",263,271,9,"-",14.4146,7.28e-06,0.129,"Promoter (1-2kb)",117,745,2075,1331,2,"BBA_10289",1812,NA,NA,NA
"NW_007930981.1",264,272,9,"-",14.4146,7.28e-06,0.129,"Promoter (2-3kb)",141,2901,4346,1446,1,"BBA_10346",-2637,"19893358","XM_008605443.1","XP_008603665.1"
"NW_007930877.1",319,327,9,"+",14.4146,7.28e-06,0.129,"Promoter (3-4kb)",42,2294,3574,1281,2,"BBA_08897",3247,NA,NA,NA
"NW_007930931.1",333,341,9,"+",14.4146,7.28e-06,0.129,"Promoter (2-3kb)",96,2154,2483,330,2,"BBA_10171",2142,NA,NA,NA
"NW_007930860.1",358,366,9,"+",14.4146,7.28e-06,0.129,"Promoter (<=1kb)",25,866,2673,1808,1,"BBA_07423",-500,NA,NA,NA
"NW_007930857.1",382,390,9,"-",14.4146,7.28e-06,0.129,"Promoter (3-4kb)",22,2692,4239,1548,2,"BBA_06955",3857,NA,NA,NA
"NW_007930974.1",556,564,9,"-",14.4146,7.28e-06,0.129,"Promoter (4-5kb)",136,3463,4804,1342,2,"BBA_10338",4248,"19893350","XM_008605435.1","XP_008603657.1"
"NW_007930941.1",607,615,9,"+",14.4146,7.28e-06,0.129,"Promoter (1-2kb)",106,1893,3356,1464,1,"BBA_10242",-1278,NA,NA,NA
"NW_007930973.1",637,645,9,"-",14.4146,7.28e-06,0.129,"Promoter (4-5kb)",135,1736,5128,3393,2,"BBA_10337",4491,"19893349","XM_008605434.1","XP_008603656.1"
"NW_007930884.1",693,701,9,"-",14.4146,7.28e-06,0.129,"Promoter (2-3kb)",49,1568,2701,1134,2,"BBA_09256",2008,NA,NA,NA
"NW_007930941.1",801,809,9,"+",14.4146,7.28e-06,0.129,"Promoter (1-2kb)",106,1893,3356,1464,1,"BBA_10242",-1084,NA,NA,NA
"NW_007930940.1",887,895,9,"-",14.4146,7.28e-06,0.129,"Distal Intergenic",105,5653,6429,777,2,"BBA_10236",5542,NA,NA,NA
"NW_007930851.1",983,991,9,"-",14.4146,7.28e-06,0.129,"Promoter (2-3kb)",16,3052,4812,1761,1,"BBA_05803",-2069,NA,NA,NA
"NW_007930851.1",1083,1091,9,"-",14.4146,7.28e-06,0.129,"Promoter (1-2kb)",16,3052,4812,1761,1,"BBA_05803",-1969,NA,NA,NA
"NW_007930851.1",1089,1097,9,"-",14.4146,7.28e-06,0.129,"Promoter (1-2kb)",16,3052,4812,1761,1,"BBA_05803",-1963,NA,NA,NA
"NW_007930914.1",1168,1176,9,"+",14.4146,7.28e-06,0.129,"Distal Intergenic",79,7379,8208,830,1,"BBA_09985",-6203,NA,NA,NA
"NW_007930931.1",1180,1188,9,"-",14.4146,7.28e-06,0.129,"Promoter (1-2kb)",96,2154,2483,330,2,"BBA_10171",1303,NA,NA,NA
"NW_007930950.1",1209,1217,9,"+",14.4146,7.28e-06,0.129,"Promoter (3-4kb)",115,4710,7470,2761,1,"BBA_10281",-3493,NA,NA,NA
"NW_007930865.1",1247,1255,9,"+",14.4146,7.28e-06,0.129,"Promoter (3-4kb)",30,3206,4513,1308,2,"BBA_07979",3258,NA,NA,NA
"NW_007930950.1",1262,1270,9,"+",14.4146,7.28e-06,0.129,"Promoter (3-4kb)",115,4710,7470,2761,1,"BBA_10281",-3440,NA,NA,NA
"NW_007930981.1",1263,1271,9,"+",14.4146,7.28e-06,0.129,"Promoter (1-2kb)",141,2901,4346,1446,1,"BBA_10346",-1630,"19893358","XM_008605443.1","XP_008603665.1"
"NW_007930963.1",1302,1310,9,"+",14.4146,7.28e-06,0.129,"Promoter (3-4kb)",127,2829,4710,1882,2,"BBA_10319",3400,NA,NA,NA
"NW_007930879.1",1304,1312,9,"+",14.4146,7.28e-06,0.129,"Promoter (1-2kb)",44,283,1218,936,1,"BBA_09024",1021,NA,NA,NA
"NW_007930914.1",1325,1333,9,"+",14.4146,7.28e-06,0.129,"Distal Intergenic",79,7379,8208,830,1,"BBA_09985",-6046,NA,NA,NA
"NW_007930927.1",1499,1507,9,"-",14.4146,7.28e-06,0.129,"Promoter (<=1kb)",92,1801,2865,1065,1,"BBA_10134",-302,NA,NA,NA
"NW_007930894.1",1563,1571,9,"-",14.4146,7.28e-06,0.129,"Promoter (2-3kb)",59,4039,4513,475,2,"BBA_09580",2950,NA,NA,NA
"NW_007930877.1",1623,1631,9,"-",14.4146,7.28e-06,0.129,"Promoter (1-2kb)",42,2294,3574,1281,2,"BBA_08897",1951,NA,NA,NA
"NW_007930913.1",1654,1662,9,"-",14.4146,7.28e-06,0.129,"Promoter (3-4kb)",78,3260,5230,1971,2,"BBA_09968",3576,NA,NA,NA
"NW_007930964.1",1660,1668,9,"-",14.4146,7.28e-06,0.129,"Promoter (<=1kb)",128,1758,4280,2523,1,"BBA_10321",-98,NA,NA,NA
"NW_007930910.1",1890,1898,9,"+",14.4146,7.28e-06,0.129,"Promoter (<=1kb)",75,9,2386,2378,2,"BBA_09920",488,NA,NA,NA
"NW_007930900.1",1894,1902,9,"+",14.4146,7.28e-06,0.129,"Promoter (1-2kb)",65,2268,3856,1589,2,"BBA_09737",1954,NA,NA,NA
"NW_007930939.1",1922,1930,9,"-",14.4146,7.28e-06,0.129,"Promoter (1-2kb)",104,77,356,280,1,"BBA_10231",1853,NA,NA,NA
"NW_007930901.1",1988,1996,9,"+",14.4146,7.28e-06,0.129,"Promoter (4-5kb)",66,6586,7038,453,1,"BBA_09753",-4590,NA,NA,NA
"NW_007930942.1",1991,1999,9,"-",14.4146,7.28e-06,0.129,"Promoter (1-2kb)",107,3576,3851,276,2,"BBA_10244",1860,NA,NA,NA
"NW_007930932.1",2028,2036,9,"-",14.4146,7.28e-06,0.129,"Promoter (<=1kb)",97,2054,3552,1499,1,"BBA_10182",-26,NA,NA,NA
"NW_007930926.1",2110,2118,9,"+",14.4146,7.28e-06,0.129,"Distal Intergenic",91,5089,8644,3556,2,"BBA_10126",6526,NA,NA,NA
