locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	22	29	8	+	12.7449	9.9e-06	0.241	Promoter (3-4kb)	1	3335	3683	349	1	-3306	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00001	NW_007930836.1	1159	1166	8	-	12.5	2.2e-05	0.271	Promoter (2-3kb)	1	3335	3683	349	1	-2176	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00002	NW_007930836.1	5472	5479	8	+	12.5	2.2e-05	0.271	Promoter (1-2kb)	1	5664	7104	1441	2	1625	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00002	NW_007930836.1	6414	6421	8	+	11.4082	7.88e-05	0.271	Promoter (<=1kb)	1	5664	7104	1441	2	683	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00003	NW_007930836.1	8283	8290	8	+	11.3061	9.68e-05	0.271	Promoter (<=1kb)	1	8108	8869	762	2	579	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00004	NW_007930836.1	12231	12238	8	+	12.7449	9.9e-06	0.241	Promoter (<=1kb)	1	12136	13042	907	1	95	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00005	NW_007930836.1	18163	18170	8	-	11.551	7.06e-05	0.271	Promoter (2-3kb)	1	15330	20029	4700	1	2840	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00005	NW_007930836.1	16116	16123	8	+	12.4082	3.4e-05	0.271	Promoter (<=1kb)	1	15330	20029	4700	1	786	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00006	NW_007930836.1	19898	19905	8	-	12.4082	3.4e-05	0.271	Promoter (1-2kb)	1	21184	22451	1268	1	-1286	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00007	NW_007930836.1	24029	24036	8	-	12.5	2.2e-05	0.271	Promoter (<=1kb)	1	23340	25184	1845	1	696	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00007	NW_007930836.1	22600	22607	8	+	11.551	7.06e-05	0.271	Promoter (<=1kb)	1	23340	25184	1845	1	-733	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00007	NW_007930836.1	24176	24183	8	+	12.4082	3.4e-05	0.271	Promoter (<=1kb)	1	23340	25184	1845	1	836	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00007	NW_007930836.1	24450	24457	8	-	12.5	2.2e-05	0.271	Promoter (1-2kb)	1	23340	25184	1845	1	1117	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00008	NW_007930836.1	25606	25613	8	+	12.5	2.2e-05	0.271	Promoter (<=1kb)	1	25244	26096	853	2	483	19883020	XM_008595105.1	XP_008593327.1	uncharacterized protein
BBA_00009	NW_007930836.1	28300	28307	8	-	11.3673	8.69e-05	0.271	Promoter (1-2kb)	1	26627	26932	306	1	1680	19883021	XM_008595106.1	XP_008593328.1	uncharacterized protein
BBA_00009	NW_007930836.1	28332	28339	8	+	12.7449	9.9e-06	0.241	Promoter (1-2kb)	1	26627	26932	306	1	1705	19883021	XM_008595106.1	XP_008593328.1	uncharacterized protein
BBA_00010	NW_007930836.1	29282	29289	8	+	12.4082	3.4e-05	0.271	Promoter (<=1kb)	1	30265	32130	1866	1	-976	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00010	NW_007930836.1	30471	30478	8	-	11.3061	9.68e-05	0.271	Promoter (<=1kb)	1	30265	32130	1866	1	213	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00010	NW_007930836.1	29353	29360	8	-	11.3061	9.68e-05	0.271	Promoter (<=1kb)	1	30265	32130	1866	1	-912	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00012	NW_007930836.1	38477	38484	8	-	12.5	2.2e-05	0.271	Promoter (1-2kb)	1	37116	37424	309	2	-1060	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00013	NW_007930836.1	41556	41563	8	+	12.1633	4.87e-05	0.271	Promoter (1-2kb)	1	38580	39928	1349	2	-1628	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00013	NW_007930836.1	41105	41112	8	-	11.551	7.06e-05	0.271	Promoter (1-2kb)	1	38580	39928	1349	2	-1184	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00013	NW_007930836.1	41213	41220	8	-	12.1633	4.87e-05	0.271	Promoter (1-2kb)	1	38580	39928	1349	2	-1292	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00013	NW_007930836.1	39653	39660	8	-	11.551	7.06e-05	0.271	Promoter (<=1kb)	1	38580	39928	1349	2	275	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00014	NW_007930836.1	44145	44152	8	+	11.3673	8.69e-05	0.271	Promoter (<=1kb)	1	42774	44348	1575	2	196	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00014	NW_007930836.1	43196	43203	8	+	12.5	2.2e-05	0.271	Promoter (1-2kb)	1	42774	44348	1575	2	1145	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00015	NW_007930836.1	46421	46428	8	+	11.8878	5.86e-05	0.271	Promoter (<=1kb)	1	45678	47093	1416	2	665	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00015	NW_007930836.1	46832	46839	8	-	11.3673	8.69e-05	0.271	Promoter (<=1kb)	1	45678	47093	1416	2	261	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00015	NW_007930836.1	45908	45915	8	-	11.3673	8.69e-05	0.271	Promoter (1-2kb)	1	45678	47093	1416	2	1185	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00015	NW_007930836.1	45783	45790	8	+	11.8878	5.86e-05	0.271	Promoter (1-2kb)	1	45678	47093	1416	2	1303	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00016	NW_007930836.1	48885	48892	8	+	12.4082	3.4e-05	0.271	Promoter (<=1kb)	1	47545	49098	1554	2	206	19883028	XM_008595113.1	XP_008593335.1	U4/U6 small nuclear ribonucleoprotein Prp4
