locus_tag	GeneID	transcript_id	protein_id	product
BBA_00002	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00003	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00005	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00006	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00008	19883020	XM_008595105.1	XP_008593327.1	uncharacterized protein
BBA_00010	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00011	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00012	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00013	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00015	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00018	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00020	19883032	XM_008595117.1	XP_008593339.1	glycerate dehydrogenase
BBA_00021	19883033	XM_008595118.1	XP_008593340.1	LSM domain-containing protein
BBA_00023	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
BBA_00025	19883037	XM_008595122.1	XP_008593344.1	uncharacterized protein
BBA_00030	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00032	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00033	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00034	19883046	XM_008595131.1	XP_008593353.1	group II pyridoxal-5-phosphate decarboxylase
BBA_00037	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
BBA_00038	19883050	XM_008595135.1	XP_008593357.1	AMME syndrome protein
BBA_00039	19883051	XM_008595136.1	XP_008593358.1	uncharacterized protein
BBA_00046	19883058	XM_008595143.1	XP_008593365.1	glucan endo-1,3-beta-glucosidase A1-like protein
BBA_00047	19883059	XM_008595144.1	XP_008593366.1	Cel5b-like protein
BBA_00048	19883060	XM_008595145.1	XP_008593367.1	uncharacterized protein
BBA_00054	19883066	XM_008595151.1	XP_008593373.1	endoribonuclease L-PSP
BBA_00057	19883069	XM_008595154.1	XP_008593376.1	uncharacterized protein
BBA_00058	19883070	XM_008595155.1	XP_008593377.1	diphthamide biosynthesis protein 2
BBA_00060	19883072	XM_008595157.1	XP_008593379.1	MutS domain V
BBA_00061	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00063	19883075	XM_008595160.1	XP_008593382.1	AMP-binding enzyme, putative
BBA_00064	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00065	19883077	XM_008595162.1	XP_008593384.1	major facilitator superfamily transporter
BBA_00066	19883078	XM_008595163.1	XP_008593385.1	Phosphotransferase enzyme family domain protein
BBA_00067	19883079	XM_008595164.1	XP_008593386.1	2-nitropropane dioxygenase
BBA_00068	19883080	XM_008595165.1	XP_008593387.1	vitamin H transporter
BBA_00071	19883083	XM_008595168.1	XP_008593390.1	nitrate assimilation regulatory protein nirA
BBA_00072	19883084	XM_008595169.1	XP_008593391.1	C6 transcription factor
BBA_00073	19883085	XM_008595170.1	XP_008593392.1	methylitaconate delta2-delta3-isomerase
BBA_00074	19883086	XM_008595171.1	XP_008593393.1	von Willebrand domain-containing protein
BBA_00075	19883087	XM_008595172.1	XP_008593394.1	uncharacterized protein
BBA_00079	19883091	XM_008595176.1	XP_008593398.1	LysR family regulatory protein
BBA_00082	19883094	XM_008595179.1	XP_008593401.1	uncharacterized protein
BBA_00083	19883095	XM_008595180.1	XP_008593402.1	uncharacterized protein
BBA_00084	19883096	XM_008595181.1	XP_008593403.1	Peptidase M64, IgA
BBA_00085	19883097	XM_008595182.1	XP_008593404.1	Orf2-like protein
BBA_00086	19883098	XM_008595183.1	XP_008593405.1	uncharacterized protein
BBA_00087	19883099	XM_008595184.1	XP_008593406.1	uncharacterized protein
BBA_00092	19883104	XM_008595189.1	XP_008593411.1	uncharacterized protein
BBA_00093	19883105	XM_008595190.1	XP_008593412.1	methyltransferase domain-containing protein
BBA_00094	19883106	XM_008595191.1	XP_008593413.1	major facilitator superfamily transporter
BBA_00098	19883110	XM_008595195.1	XP_008593417.1	major facilitator superfamily transporter
BBA_00104	19883116	XM_008595201.1	XP_008593423.1	uncharacterized protein
BBA_00105	19883117	XM_008595202.1	XP_008593424.1	Putative Zn(II)2Cys6 transcription factor
BBA_00109	19883121	XM_008595206.1	XP_008593428.1	RfeD protein
BBA_00114	19883126	XM_008595211.1	XP_008593433.1	uncharacterized protein
BBA_00115	19883127	XM_008595212.1	XP_008593434.1	peflin-like protein
BBA_00118	19883130	XM_008595215.1	XP_008593437.1	HpcH/HpaI aldolase/citrate lyase family protein
BBA_00119	19883131	XM_008595216.1	XP_008593438.1	golgi apparatus membrane protein TVP23
BBA_00121	19883133	XM_008595218.1	XP_008593440.1	transmembrane and coiled-coil domain-containing protein
