locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00005	NW_007930836.1	18112	18120	9	-	12.4268	3.72e-05	0.236	Promoter (2-3kb)	1	15330	20029	4700	1	2790	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00007	NW_007930836.1	23020	23028	9	-	11.122	8.33e-05	0.341	Promoter (<=1kb)	1	23340	25184	1845	1	-320	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00007	NW_007930836.1	23010	23018	9	-	12.1341	5.77e-05	0.292	Promoter (<=1kb)	1	23340	25184	1845	1	-330	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00007	NW_007930836.1	22632	22640	9	+	12.1341	5.77e-05	0.292	Promoter (<=1kb)	1	23340	25184	1845	1	-700	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00008	NW_007930836.1	25909	25917	9	-	12.4146	4.31e-05	0.25	Promoter (<=1kb)	1	25244	26096	853	2	187	19883020	XM_008595105.1	XP_008593327.1	uncharacterized protein
BBA_00010	NW_007930836.1	29787	29795	9	-	12.4268	3.72e-05	0.236	Promoter (<=1kb)	1	30265	32130	1866	1	-478	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00010	NW_007930836.1	29181	29189	9	-	14.4146	7.28e-06	0.129	Promoter (1-2kb)	1	30265	32130	1866	1	-1084	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00010	NW_007930836.1	29519	29527	9	+	12.1341	5.77e-05	0.292	Promoter (<=1kb)	1	30265	32130	1866	1	-738	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00010	NW_007930836.1	29464	29472	9	+	14.4146	7.28e-06	0.129	Promoter (<=1kb)	1	30265	32130	1866	1	-793	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00010	NW_007930836.1	29457	29465	9	+	14.4146	7.28e-06	0.129	Promoter (<=1kb)	1	30265	32130	1866	1	-800	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00011	NW_007930836.1	33767	33775	9	-	12.4268	3.72e-05	0.236	Promoter (<=1kb)	1	33013	35806	2794	1	762	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00011	NW_007930836.1	34866	34874	9	+	11.122	8.33e-05	0.341	Promoter (1-2kb)	1	33013	35806	2794	1	1853	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00012	NW_007930836.1	36049	36057	9	-	11.122	8.33e-05	0.341	Promoter (1-2kb)	1	37116	37424	309	2	1375	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00012	NW_007930836.1	35923	35931	9	-	14.4146	7.28e-06	0.129	Promoter (1-2kb)	1	37116	37424	309	2	1501	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00013	NW_007930836.1	41047	41055	9	-	11.122	8.33e-05	0.341	Promoter (1-2kb)	1	38580	39928	1349	2	-1127	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00014	NW_007930836.1	42722	42730	9	+	12.4268	3.72e-05	0.236	Promoter (1-2kb)	1	42774	44348	1575	2	1618	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00014	NW_007930836.1	45427	45435	9	+	12.1341	5.77e-05	0.292	Promoter (1-2kb)	1	42774	44348	1575	2	-1079	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00014	NW_007930836.1	44417	44425	9	+	13.1098	1.33e-05	0.171	Promoter (<=1kb)	1	42774	44348	1575	2	-69	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00015	NW_007930836.1	45766	45774	9	-	12.4268	3.72e-05	0.236	Promoter (1-2kb)	1	45678	47093	1416	2	1327	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
