"seqnames","start","end","width","strand","score","p_value","q_value","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","distanceToTSS","GeneID","transcript_id","protein_id"
"NW_007930861.1",152,158,7,"-",12,7.93e-05,1,"Promoter (<=1kb)",26,502,2122,1621,1,"BBA_07556",-350,NA,NA,NA
"NW_007930972.1",231,237,7,"+",12,7.93e-05,1,"Promoter (<=1kb)",134,1211,2353,1143,1,"BBA_10334",-974,NA,NA,NA
"NW_007930905.1",248,254,7,"-",12,7.93e-05,1,"Promoter (<=1kb)",70,740,1098,359,2,"BBA_09824",850,NA,NA,NA
"NW_007930983.1",307,313,7,"-",12,7.93e-05,1,"Promoter (<=1kb)",143,130,690,561,1,"BBA_10348",183,NA,NA,NA
"NW_007930951.1",366,372,7,"+",12,7.93e-05,1,"Promoter (1-2kb)",116,1227,1628,402,2,"BBA_10284",1256,NA,NA,NA
"NW_007930893.1",408,414,7,"+",12,7.93e-05,1,"Promoter (2-3kb)",58,2529,4150,1622,1,"BBA_09552",-2115,NA,NA,NA
"NW_007930843.1",418,424,7,"-",12,7.93e-05,1,"Promoter (<=1kb)",8,103,732,630,1,"BBA_03629",321,NA,NA,NA
"NW_007930908.1",499,505,7,"-",12,7.93e-05,1,"Promoter (1-2kb)",73,2199,2432,234,2,"BBA_09891",1933,NA,NA,NA
"NW_007931035.1",665,671,7,"+",12,7.93e-05,1,"Promoter (<=1kb)",154,106,1300,1195,1,"BBA_10365",559,"19893375","XM_008605460.1","XP_008603682.1"
"NW_007930869.1",740,746,7,"-",12,7.93e-05,1,"Promoter (<=1kb)",34,580,1367,788,1,"BBA_08331",166,NA,NA,NA
"NW_007931002.1",775,781,7,"+",12,7.93e-05,1,"Promoter (<=1kb)",151,587,2736,2150,1,"BBA_10360",188,"19893372","XM_008605457.1","XP_008603679.1"
"NW_007930874.1",865,871,7,"+",12,7.93e-05,1,"Promoter (<=1kb)",39,546,1391,846,2,"BBA_08715",520,NA,NA,NA
"NW_007930985.1",949,955,7,"+",12,7.93e-05,1,"Promoter (<=1kb)",145,929,4381,3453,1,"BBA_10353",20,"19893365","XM_008605450.1","XP_008603672.1"
"NW_007930846.1",1008,1014,7,"+",12,7.93e-05,1,"Promoter (<=1kb)",11,413,1629,1217,1,"BBA_04645",595,NA,NA,NA
"NW_007931030.1",1024,1030,7,"-",12,7.93e-05,1,"Promoter (1-2kb)",153,15,428,414,1,"BBA_10364",1015,"19893374","XM_008605459.1","XP_008603681.1"
"NW_007930983.1",1131,1137,7,"-",12,7.93e-05,1,"Promoter (1-2kb)",143,130,690,561,1,"BBA_10348",1007,NA,NA,NA
"NW_007930879.1",1178,1184,7,"-",12,7.93e-05,1,"Promoter (<=1kb)",44,283,1218,936,1,"BBA_09024",901,NA,NA,NA
"NW_007930961.1",1456,1462,7,"+",12,7.93e-05,1,"Promoter (<=1kb)",125,1854,4816,2963,1,"BBA_10314",-392,NA,NA,NA
"NW_007931002.1",1493,1499,7,"+",12,7.93e-05,1,"Promoter (<=1kb)",151,587,2736,2150,1,"BBA_10360",906,"19893372","XM_008605457.1","XP_008603679.1"
"NW_007930933.1",1611,1617,7,"-",12,7.93e-05,1,"Promoter (3-4kb)",98,2160,5193,3034,2,"BBA_10192",3582,NA,NA,NA
"NW_007930934.1",1718,1724,7,"-",12,7.93e-05,1,"Promoter (<=1kb)",99,2571,3869,1299,1,"BBA_10205",-853,NA,NA,NA
"NW_007930837.1",1766,1772,7,"-",12,7.93e-05,1,"Promoter (<=1kb)",2,1222,3333,2112,1,"BBA_00682",550,NA,NA,NA
"NW_007930924.1",1805,1811,7,"+",12,7.93e-05,1,"Promoter (1-2kb)",89,3155,5230,2076,1,"BBA_10107",-1344,NA,NA,NA
"NW_007930975.1",1940,1946,7,"+",12,7.93e-05,1,"Promoter (<=1kb)",137,1238,2454,1217,2,"BBA_10339",508,NA,NA,NA
"NW_007930856.1",1984,1990,7,"-",12,7.93e-05,1,"Promoter (<=1kb)",21,971,2003,1033,2,"BBA_06802",19,NA,NA,NA
"NW_007930938.1",1990,1996,7,"+",12,7.93e-05,1,"Promoter (1-2kb)",103,2161,3621,1461,2,"BBA_10225",1625,NA,NA,NA
"NW_007930936.1",2121,2127,7,"+",12,7.93e-05,1,"Promoter (<=1kb)",101,1807,2787,981,2,"BBA_10216",660,NA,NA,NA
"NW_007930875.1",2123,2129,7,"+",12,7.93e-05,1,"Promoter (<=1kb)",40,155,1701,1547,2,"BBA_08765",-422,NA,NA,NA
"NW_007930904.1",2145,2151,7,"+",12,7.93e-05,1,"Promoter (<=1kb)",69,1894,2460,567,1,"BBA_09807",251,NA,NA,NA
"NW_007930864.1",2190,2196,7,"+",12,7.93e-05,1,"Promoter (<=1kb)",29,1481,2263,783,2,"BBA_07880",67,NA,NA,NA
"NW_007930846.1",2233,2239,7,"+",12,7.93e-05,1,"Promoter (1-2kb)",11,2011,3807,1797,2,"BBA_04646",1568,NA,NA,NA
"NW_007930951.1",2232,2238,7,"-",12,7.93e-05,1,"Promoter (<=1kb)",116,1227,1628,402,2,"BBA_10284",-610,NA,NA,NA
"NW_007930920.1",2243,2249,7,"-",12,7.93e-05,1,"Promoter (<=1kb)",85,1255,2541,1287,1,"BBA_10068",994,NA,NA,NA
"NW_007930865.1",2258,2264,7,"+",12,7.93e-05,1,"Promoter (2-3kb)",30,3206,4513,1308,2,"BBA_07979",2249,NA,NA,NA
"NW_007930975.1",2267,2273,7,"-",12,7.93e-05,1,"Promoter (<=1kb)",137,1238,2454,1217,2,"BBA_10339",187,NA,NA,NA
"NW_007930912.1",2317,2323,7,"+",12,7.93e-05,1,"Promoter (<=1kb)",77,2422,2943,522,1,"BBA_09952",-99,NA,NA,NA
"NW_007930891.1",2327,2333,7,"+",12,7.93e-05,1,"Promoter (<=1kb)",56,1557,2214,658,2,"BBA_09497",-113,NA,NA,NA
"NW_007930848.1",2344,2350,7,"+",12,7.93e-05,1,"Promoter (<=1kb)",13,256,2040,1785,2,"BBA_05123",-304,NA,NA,NA
"NW_007930878.1",2361,2367,7,"-",12,7.93e-05,1,"Promoter (1-2kb)",43,580,1088,509,2,"BBA_08953",-1279,NA,NA,NA
"NW_007930972.1",2436,2442,7,"+",12,7.93e-05,1,"Promoter (1-2kb)",134,1211,2353,1143,1,"BBA_10334",1225,NA,NA,NA
"NW_007930919.1",2434,2440,7,"-",12,7.93e-05,1,"Promoter (1-2kb)",84,1000,2772,1773,1,"BBA_10050",1440,NA,NA,NA
"NW_007930987.1",2687,2693,7,"+",12,7.93e-05,1,"Promoter (1-2kb)",146,3320,3814,495,2,"BBA_10355",1121,"19893367","XM_008605452.1","XP_008603674.1"
"NW_007930871.1",2687,2693,7,"-",12,7.93e-05,1,"Promoter (1-2kb)",36,1242,1605,364,2,"BBA_08528",-1088,NA,NA,NA
