seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
NW_007930892.1	160	168	9	-	12.1837	2.23e-06	0.257	Promoter (1-2kb)	57	1584	3152	1569	1	BBA_09525	-1424
NW_007930985.1	411	419	9	-	12.1837	2.23e-06	0.257	Promoter (<=1kb)	145	929	4381	3453	1	BBA_10353	-518
NW_007930836.1	879	887	9	+	12.1837	2.23e-06	0.257	Promoter (2-3kb)	1	3335	3683	349	1	BBA_00001	-2448
NW_007930920.1	1774	1782	9	+	12.1837	2.23e-06	0.257	Promoter (<=1kb)	85	1255	2541	1287	1	BBA_10068	519
NW_007930871.1	1865	1873	9	-	12.1837	2.23e-06	0.257	Promoter (<=1kb)	36	1242	1605	364	2	BBA_08528	-268
NW_007930962.1	2370	2378	9	+	12.1837	2.23e-06	0.257	Promoter (1-2kb)	126	3325	4272	948	2	BBA_10316	1894
NW_007930966.1	2768	2776	9	-	12.1837	2.23e-06	0.257	Promoter (1-2kb)	130	899	2183	1285	1	BBA_10324	1877
NW_007930909.1	3063	3071	9	-	12.1837	2.23e-06	0.257	Promoter (<=1kb)	74	2626	3498	873	2	BBA_09909	435
NW_007930961.1	3208	3216	9	+	12.1837	2.23e-06	0.257	Promoter (1-2kb)	125	1854	4816	2963	1	BBA_10314	1354
NW_007930925.1	5251	5259	9	+	12.1837	2.23e-06	0.257	Promoter (<=1kb)	90	5846	6946	1101	1	BBA_10115	-587
NW_007930979.1	5335	5343	9	+	12.1837	2.23e-06	0.257	Promoter (3-4kb)	139	2130	3644	1515	1	BBA_10343	3205
NW_007930907.1	5366	5374	9	+	12.1837	2.23e-06	0.257	Promoter (<=1kb)	72	2294	6103	3810	2	BBA_09865	729
NW_007930934.1	5486	5494	9	-	12.1837	2.23e-06	0.257	Promoter (2-3kb)	99	6664	8384	1721	2	BBA_10206	2898
NW_007930875.1	5874	5882	9	+	12.1837	2.23e-06	0.257	Promoter (<=1kb)	40	5027	5633	607	1	BBA_08766	847
NW_007930945.1	6055	6063	9	-	12.1837	2.23e-06	0.257	Promoter (1-2kb)	110	7251	7604	354	2	BBA_10259	1549
NW_007930974.1	6300	6308	9	-	12.1837	2.23e-06	0.257	Promoter (1-2kb)	136	3463	4804	1342	2	BBA_10338	-1504
NW_007930951.1	8850	8858	9	+	12.1837	2.23e-06	0.257	Promoter (<=1kb)	116	9046	10528	1483	1	BBA_10287	-188
NW_007930942.1	11139	11147	9	-	12.1837	2.23e-06	0.257	Promoter (<=1kb)	107	4959	11445	6487	2	BBA_10245	306
NW_007930887.1	12717	12725	9	-	12.1837	2.23e-06	0.257	Promoter (<=1kb)	52	11868	13357	1490	2	BBA_09370	640
NW_007930890.1	12755	12763	9	-	12.1837	2.23e-06	0.257	Promoter (<=1kb)	55	12660	13142	483	1	BBA_09469	103
NW_007930882.1	12791	12799	9	+	12.1837	2.23e-06	0.257	Promoter (<=1kb)	47	12643	13257	615	2	BBA_09177	458
NW_007930857.1	12991	12999	9	-	12.1837	2.23e-06	0.257	Promoter (<=1kb)	22	12669	14002	1334	1	BBA_06959	330
NW_007930914.1	13450	13458	9	+	12.1837	2.23e-06	0.257	Promoter (<=1kb)	79	12589	13527	939	2	BBA_09987	69
NW_007930911.1	13902	13910	9	-	12.1837	2.23e-06	0.257	Promoter (<=1kb)	76	11141	13952	2812	2	BBA_09942	50
