locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	5200	5209	10	-	7.9417	2.29e-05	1	Promoter (1-2kb)	1	3335	3683	349	1	1874	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00002	NW_007930836.1	6307	6316	10	+	7.88341	2.75e-05	1	Promoter (<=1kb)	1	5664	7104	1441	2	788	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00005	NW_007930836.1	17482	17491	10	+	8.07175	1.89e-05	1	Promoter (2-3kb)	1	15330	20029	4700	1	2152	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00010	NW_007930836.1	30613	30622	10	-	7.62332	5.29e-05	1	Promoter (<=1kb)	1	30265	32130	1866	1	357	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00013	NW_007930836.1	41594	41603	10	+	7.83857	3.05e-05	1	Promoter (1-2kb)	1	38580	39928	1349	2	-1666	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00013	NW_007930836.1	40135	40144	10	+	7.77578	3.82e-05	1	Promoter (<=1kb)	1	38580	39928	1349	2	-207	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00016	NW_007930836.1	48515	48524	10	-	7.58744	5.9e-05	1	Promoter (<=1kb)	1	47545	49098	1554	2	583	19883028	XM_008595113.1	XP_008593335.1	U4/U6 small nuclear ribonucleoprotein Prp4
BBA_00019	NW_007930836.1	60749	60758	10	+	7.7713	4.04e-05	1	Promoter (2-3kb)	1	57711	58663	953	2	-2086	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00028	NW_007930836.1	84061	84070	10	-	8.07175	1.89e-05	1	Promoter (<=1kb)	1	81860	83583	1724	2	-487	19883040	XM_008595125.1	XP_008593347.1	oxysterol-binding family protein
BBA_00028	NW_007930836.1	83372	83381	10	+	8.58296	4.78e-06	1	Promoter (<=1kb)	1	81860	83583	1724	2	202	19883040	XM_008595125.1	XP_008593347.1	oxysterol-binding family protein
BBA_00030	NW_007930836.1	90462	90471	10	+	7.83857	3.05e-05	1	Promoter (<=1kb)	1	88075	90170	2096	2	-292	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00031	NW_007930836.1	91386	91395	10	+	8.67713	2.02e-06	1	Promoter (<=1kb)	1	92358	93023	666	1	-963	19883043	XM_008595128.1	XP_008593350.1	uncharacterized protein
BBA_00033	NW_007930836.1	104468	104477	10	+	7.79372	3.66e-05	1	Promoter (2-3kb)	1	102128	105545	3418	1	2340	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00033	NW_007930836.1	99176	99185	10	-	8.38565	6.43e-06	1	Promoter (2-3kb)	1	102128	105545	3418	1	-2952	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00035	NW_007930836.1	109133	109142	10	-	7.93722	2.36e-05	1	Promoter (<=1kb)	1	109584	109859	276	1	-451	19883047	XM_008595132.1	XP_008593354.1	uncharacterized protein
BBA_00037	NW_007930836.1	115010	115019	10	+	8.16143	1.46e-05	1	Promoter (<=1kb)	1	113425	114147	723	2	-863	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
