locus_tag	GeneID	transcript_id	protein_id	product
BBA_00011	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00012	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00014	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00019	19883031	XM_008595116.1	XP_008593338.1	tat pathway signal sequence
BBA_00032	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00033	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00034	19883046	XM_008595131.1	XP_008593353.1	group II pyridoxal-5-phosphate decarboxylase
BBA_00037	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
BBA_00044	19883056	XM_008595141.1	XP_008593363.1	uncharacterized protein
BBA_00046	19883058	XM_008595143.1	XP_008593365.1	glucan endo-1,3-beta-glucosidase A1-like protein
BBA_00051	19883063	XM_008595148.1	XP_008593370.1	uncharacterized protein
BBA_00052	19883064	XM_008595149.1	XP_008593371.1	polysaccharide export protein (CAP59)
BBA_00057	19883069	XM_008595154.1	XP_008593376.1	uncharacterized protein
BBA_00064	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00065	19883077	XM_008595162.1	XP_008593384.1	major facilitator superfamily transporter
BBA_00072	19883084	XM_008595169.1	XP_008593391.1	C6 transcription factor
BBA_00089	19883101	XM_008595186.1	XP_008593408.1	uncharacterized protein
BBA_00098	19883110	XM_008595195.1	XP_008593417.1	major facilitator superfamily transporter
BBA_00100	19883112	XM_008595197.1	XP_008593419.1	uncharacterized protein
BBA_00101	19883113	XM_008595198.1	XP_008593420.1	carbohydrate esterase family 4
BBA_00117	19883129	XM_008595214.1	XP_008593436.1	RNA recognition domain-containing protein
BBA_00118	19883130	XM_008595215.1	XP_008593437.1	HpcH/HpaI aldolase/citrate lyase family protein
BBA_00126	19883138	XM_008595223.1	XP_008593445.1	protein kinase, putative
BBA_00128	19883140	XM_008595225.1	XP_008593447.1	oligosaccharyl transferase STT3 subunit
BBA_00152	19883164	XM_008595249.1	XP_008593471.1	uncharacterized protein
BBA_00154	19883166	XM_008595251.1	XP_008593473.1	ATP synthase alpha chain
BBA_00159	19883171	XM_008595256.1	XP_008593478.1	uncharacterized protein
BBA_00161	19883173	XM_008595258.1	XP_008593480.1	RhoGAP domain-containing protein
BBA_00162	19883174	XM_008595259.1	XP_008593481.1	C6 transcription factor
BBA_00163	19883175	XM_008595260.1	XP_008593482.1	uncharacterized protein
BBA_00164	19883176	XM_008595261.1	XP_008593483.1	WLM domain-containing protein
BBA_00176	19883188	XM_008595273.1	XP_008593495.1	DnaJ domain-containing protein
BBA_00177	19883189	XM_008595274.1	XP_008593496.1	CAP-Gly domain-containing protein
BBA_00190	19883202	XM_008595287.1	XP_008593509.1	COX17 protein
BBA_00192	19883204	XM_008595289.1	XP_008593511.1	Ribonuclease H1
BBA_00197	19883209	XM_008595294.1	XP_008593516.1	uncharacterized protein
BBA_00198	19883210	XM_008595295.1	XP_008593517.1	cellobiose dehydrogenase
BBA_00205	19883217	XM_008595302.1	XP_008593524.1	uncharacterized protein
BBA_00207	19883219	XM_008595304.1	XP_008593526.1	cation diffusion facilitator family transporter
BBA_00220	19883232	XM_008595317.1	XP_008593539.1	CLAP1-like protein
BBA_00221	19883233	XM_008595318.1	XP_008593540.1	Cytochrome P450 CYP51F1
BBA_00222	19883234	XM_008595319.1	XP_008593541.1	uncharacterized protein
BBA_00225	19883237	XM_008595322.1	XP_008593544.1	uncharacterized protein
BBA_00226	19883238	XM_008595323.1	XP_008593545.1	uncharacterized protein
BBA_00234	19883246	XM_008595331.1	XP_008593553.1	alpha/beta hydrolase
BBA_00235	19883247	XM_008595332.1	XP_008593554.1	peptidase A4 family protein
BBA_00240	19883252	XM_008595337.1	XP_008593559.1	Spa2-like protein
BBA_00250	19883262	XM_008595347.1	XP_008593569.1	major facilitator superfamily transporter
BBA_00254	19883266	XM_008595351.1	XP_008593573.1	uncharacterized protein
BBA_00256	19883268	XM_008595353.1	XP_008593575.1	nucleoside-diphosphate-sugar epimerase
BBA_00260	19883272	XM_008595357.1	XP_008593579.1	RNA polymerase Rpb1
BBA_00280	19883292	XM_008595377.1	XP_008593599.1	C6 transcription factor, putative
BBA_00288	19883300	XM_008595385.1	XP_008593607.1	RNA polymerase N/8 kDa subunit
BBA_00291	19883303	XM_008595388.1	XP_008593610.1	COM1 protein
BBA_00292	19883304	XM_008595389.1	XP_008593611.1	WD domain-containing protein
BBA_00293	19883305	XM_008595390.1	XP_008593612.1	PIG-P domain-containing protein
BBA_00296	19883308	XM_008595393.1	XP_008593615.1	RING-8 protein
BBA_00297	19883309	XM_008595394.1	XP_008593616.1	class V chitinase, putative
BBA_00300	19883312	XM_008595397.1	XP_008593619.1	FoabaA-like protein
BBA_00302	19883314	XM_008595399.1	XP_008593621.1	glycosyltransferase family 2
BBA_00303	19883315	XM_008595400.1	XP_008593622.1	endoglucanase, putative
BBA_00314	19883326	XM_008595411.1	XP_008593633.1	fibronectin type III domain-containing protein
BBA_00315	19883327	XM_008595412.1	XP_008593634.1	SMP2 protein
BBA_00319	19883331	XM_008595416.1	XP_008593638.1	Peptidase S8
BBA_00323	19883335	XM_008595420.1	XP_008593642.1	inosine-5-monophosphate dehydrogenase
BBA_00467	19883479	XM_008595564.1	XP_008593786.1	major facilitator superfamily transporter
BBA_00469	19883481	XM_008595566.1	XP_008593788.1	major facilitator superfamily transporter
BBA_00476	19883488	XM_008595573.1	XP_008593795.1	SH3 domain-containing protein
BBA_00481	19883493	XM_008595578.1	XP_008593800.1	MAS20 protein import receptor
BBA_00493	19883505	XM_008595590.1	XP_008593812.1	profilin-like protein
BBA_00497	19883509	XM_008595594.1	XP_008593816.1	Sec63 Brl domain-containing protein
BBA_00498	19883510	XM_008595595.1	XP_008593817.1	RTA1 domain protein, putative
BBA_00501	19883513	XM_008595598.1	XP_008593820.1	negative acting factor
BBA_00505	19883517	XM_008595602.1	XP_008593824.1	ferric reductase like transmembrane component
BBA_00506	19883518	XM_008595603.1	XP_008593825.1	RNA recognition domain-containing protein
BBA_00508	19883520	XM_008595605.1	XP_008593827.1	putative calcium/calmodulin-dependent protein kinase type I
BBA_00511	19883523	XM_008595608.1	XP_008593830.1	GRC3 protein
BBA_00517	19883529	XM_008595614.1	XP_008593836.1	C6 zinc finger domain protein
BBA_00518	19883530	XM_008595615.1	XP_008593837.1	uncharacterized protein
BBA_00520	19883532	XM_008595617.1	XP_008593839.1	heterokaryon incompatibility protein Het-C
BBA_00521	19883533	XM_008595618.1	XP_008593840.1	nonhistone chromosomal protein
BBA_00524	19883536	XM_008595621.1	XP_008593843.1	GTP-binding family protein
BBA_00525	19883537	XM_008595622.1	XP_008593844.1	GPI anchored cell wall protein
BBA_00532	19883544	XM_008595629.1	XP_008593851.1	short chain dehydrogenase
BBA_00540	19883552	XM_008595637.1	XP_008593859.1	MFS transporter, putative
BBA_00543	19883555	XM_008595640.1	XP_008593862.1	pyruvate kinase
BBA_00548	19883560	XM_008595645.1	XP_008593867.1	calcium-translocating P-type ATPase
BBA_00549	19883561	XM_008595646.1	XP_008593868.1	multidrug resistance protein
BBA_00560	19883572	XM_008595657.1	XP_008593879.1	proteasome/cyclosome
BBA_00572	19883584	XM_008595669.1	XP_008593891.1	glyoxalase/bleomycin resistance protein/dioxygenase
BBA_00573	19883585	XM_008595670.1	XP_008593892.1	uncharacterized protein
BBA_00576	19883588	XM_008595673.1	XP_008593895.1	purine biosynthesis protein
BBA_00587	19883599	XM_008595684.1	XP_008593906.1	intracellular protein transport protein
BBA_00591	19883603	XM_008595688.1	XP_008593910.1	mucin-like protein
BBA_00592	19883604	XM_008595689.1	XP_008593911.1	vacuolar protein sorting/targeting protein PEP1
BBA_00600	19883612	XM_008595697.1	XP_008593919.1	uncharacterized protein
BBA_00603	19883615	XM_008595700.1	XP_008593922.1	AMP-binding enzyme
BBA_00607	19883619	XM_008595704.1	XP_008593926.1	aldehyde dehydrogenase
BBA_00609	19883621	XM_008595706.1	XP_008593928.1	peroxisomal copper amine oxidase
BBA_00611	19883623	XM_008595708.1	XP_008593930.1	patatin-like phospholipase
BBA_00613	19883625	XM_008595710.1	XP_008593932.1	uncharacterized protein
BBA_00617	19883629	XM_008595714.1	XP_008593936.1	ankyrin repeat protein
BBA_00619	19883631	XM_008595716.1	XP_008593938.1	intracellular serine protease
BBA_00620	19883632	XM_008595717.1	XP_008593939.1	uncharacterized protein
BBA_00622	19883634	XM_008595719.1	XP_008593941.1	uncharacterized protein
BBA_00623	19883635	XM_008595720.1	XP_008593942.1	uncharacterized protein
BBA_00625	19883637	XM_008595722.1	XP_008593944.1	Glycoside hydrolase, catalytic core
BBA_00629	19883641	XM_008595726.1	XP_008593948.1	Intradiol ring-cleavage dioxygenase, core
BBA_00633	19883645	XM_008595730.1	XP_008593952.1	NACHT and TPR domain-containing protein
BBA_00638	19883650	XM_008595735.1	XP_008593957.1	putative tricarboxylate transporter mitochondrial carrier protein
BBA_00642	19883654	XM_008595739.1	XP_008593961.1	protein-beta-aspartate methyltransferase
BBA_00643	19883655	XM_008595740.1	XP_008593962.1	uncharacterized protein
BBA_00648	19883660	XM_008595745.1	XP_008593967.1	cyanide hydratase
