locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	2225	2234	10	-	10.3469	8e-05	0.787	Promoter (1-2kb)	1	3335	3683	349	1	-1110	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00001	NW_007930836.1	4994	5003	10	+	10.3163	8.23e-05	0.787	Promoter (1-2kb)	1	3335	3683	349	1	1659	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00004	NW_007930836.1	12856	12865	10	-	10.6122	5.74e-05	0.787	Promoter (<=1kb)	1	12136	13042	907	1	729	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00007	NW_007930836.1	23572	23581	10	+	10.7449	4.57e-05	0.787	Promoter (<=1kb)	1	23340	25184	1845	1	232	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00011	NW_007930836.1	34502	34511	10	-	11.2857	1.96e-05	0.734	Promoter (1-2kb)	1	33013	35806	2794	1	1498	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00011	NW_007930836.1	32524	32533	10	+	11.1531	2.29e-05	0.734	Promoter (<=1kb)	1	33013	35806	2794	1	-480	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00011	NW_007930836.1	34907	34916	10	-	11.0204	3.24e-05	0.777	Promoter (1-2kb)	1	33013	35806	2794	1	1903	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00012	NW_007930836.1	37289	37298	10	+	10.6122	5.74e-05	0.787	Promoter (<=1kb)	1	37116	37424	309	2	126	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00014	NW_007930836.1	43245	43254	10	-	11.8673	7.68e-06	0.655	Promoter (1-2kb)	1	42774	44348	1575	2	1103	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00015	NW_007930836.1	47621	47630	10	+	11.7245	1.02e-05	0.655	Promoter (<=1kb)	1	45678	47093	1416	2	-528	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
