locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	2225	2233	9	+	9.96939	9.74e-05	1	Promoter (1-2kb)	1	3335	3683	349	1	-1102	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00005	NW_007930836.1	16384	16392	9	+	10.0306	9e-05	1	Promoter (1-2kb)	1	15330	20029	4700	1	1054	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00006	NW_007930836.1	21545	21553	9	+	10.449	4.89e-05	1	Promoter (<=1kb)	1	21184	22451	1268	1	361	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00006	NW_007930836.1	19900	19908	9	+	10.1735	7.34e-05	1	Promoter (1-2kb)	1	21184	22451	1268	1	-1276	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00006	NW_007930836.1	18774	18782	9	-	10.1735	7.34e-05	1	Promoter (2-3kb)	1	21184	22451	1268	1	-2410	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00010	NW_007930836.1	31330	31338	9	-	10.0408	8.73e-05	1	Promoter (1-2kb)	1	30265	32130	1866	1	1073	19883022	XM_008595107.1	XP_008593329.1	uncharacterized protein
BBA_00012	NW_007930836.1	37111	37119	9	-	10.0612	8.4e-05	1	Promoter (<=1kb)	1	37116	37424	309	2	313	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00012	NW_007930836.1	38575	38583	9	-	10.0408	8.73e-05	1	Promoter (1-2kb)	1	37116	37424	309	2	-1159	19883024	XM_008595109.1	XP_008593331.1	ATP synthase H chain
BBA_00015	NW_007930836.1	46260	46268	9	+	10.0102	9.34e-05	1	Promoter (<=1kb)	1	45678	47093	1416	2	825	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00017	NW_007930836.1	50232	50240	9	+	10.4184	5.57e-05	1	Promoter (<=1kb)	1	50976	55391	4416	1	-736	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
BBA_00017	NW_007930836.1	52662	52670	9	+	11.1837	1.47e-05	1	Promoter (1-2kb)	1	50976	55391	4416	1	1686	19883029	XM_008595114.1	XP_008593336.1	ABC transporter
BBA_00018	NW_007930836.1	55492	55500	9	-	10.2041	7.07e-05	1	Promoter (1-2kb)	1	55812	56743	932	2	1251	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00023	NW_007930836.1	71899	71907	9	+	10.8061	1.8e-05	1	Promoter (<=1kb)	1	71296	72546	1251	1	603	19883035	XM_008595120.1	XP_008593342.1	uncharacterized protein
BBA_00024	NW_007930836.1	74069	74077	9	+	11.5714	3.31e-06	1	Promoter (1-2kb)	1	75584	76846	1263	1	-1507	19883036	XM_008595121.1	XP_008593343.1	uncharacterized protein
BBA_00032	NW_007930836.1	94261	94269	9	-	10.2857	6.57e-05	1	Promoter (1-2kb)	1	94827	95943	1117	2	1682	19883044	XM_008595129.1	XP_008593351.1	uncharacterized protein
BBA_00034	NW_007930836.1	106639	106647	9	+	10.1735	7.34e-05	1	Promoter (1-2kb)	1	106279	108060	1782	2	1413	19883046	XM_008595131.1	XP_008593353.1	group II pyridoxal-5-phosphate decarboxylase
BBA_00036	NW_007930836.1	110974	110982	9	+	10.1327	7.67e-05	1	Promoter (<=1kb)	1	110439	111308	870	2	326	19883048	XM_008595133.1	XP_008593355.1	Ras family protein
BBA_00040	NW_007930836.1	122149	122157	9	-	10.2857	6.57e-05	1	Promoter (<=1kb)	1	121573	122736	1164	1	584	19883052	XM_008595137.1	XP_008593359.1	uncharacterized protein
BBA_00043	NW_007930836.1	127481	127489	9	-	10.0306	9e-05	1	Promoter (1-2kb)	1	127178	128543	1366	2	1062	19883055	XM_008595140.1	XP_008593362.1	uncharacterized protein
BBA_00049	NW_007930836.1	140224	140232	9	-	9.96939	9.74e-05	1	Promoter (1-2kb)	1	140006	141980	1975	2	1756	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00060	NW_007930836.1	169388	169396	9	-	10.1735	7.34e-05	1	Promoter (1-2kb)	1	168317	172112	3796	1	1079	19883072	XM_008595157.1	XP_008593379.1	MutS domain V
BBA_00061	NW_007930836.1	170714	170722	9	-	10.2857	6.57e-05	1	Promoter (2-3kb)	1	173082	174917	1836	1	-2368	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00061	NW_007930836.1	173671	173679	9	+	10.1327	7.67e-05	1	Promoter (<=1kb)	1	173082	174917	1836	1	589	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00064	NW_007930836.1	185536	185544	9	-	10.7653	2.53e-05	1	Promoter (1-2kb)	1	184120	184979	860	1	1424	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00064	NW_007930836.1	183614	183622	9	-	10.1327	7.67e-05	1	Promoter (<=1kb)	1	184120	184979	860	1	-506	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00067	NW_007930836.1	192241	192249	9	+	10.7653	2.53e-05	1	Promoter (<=1kb)	1	190905	192006	1102	2	-235	19883079	XM_008595164.1	XP_008593386.1	2-nitropropane dioxygenase
BBA_00067	NW_007930836.1	190720	190728	9	+	10.7653	2.53e-05	1	Promoter (1-2kb)	1	190905	192006	1102	2	1278	19883079	XM_008595164.1	XP_008593386.1	2-nitropropane dioxygenase
BBA_00067	NW_007930836.1	190688	190696	9	+	10.8061	1.8e-05	1	Promoter (1-2kb)	1	190905	192006	1102	2	1310	19883079	XM_008595164.1	XP_008593386.1	2-nitropropane dioxygenase
BBA_00068	NW_007930836.1	194457	194465	9	+	10.1735	7.34e-05	1	Promoter (2-3kb)	1	194874	196661	1788	2	2196	19883080	XM_008595165.1	XP_008593387.1	vitamin H transporter
BBA_00070	NW_007930836.1	200630	200638	9	-	10.102	8e-05	1	Promoter (1-2kb)	1	201650	202113	464	1	-1020	19883082	XM_008595167.1	XP_008593389.1	uncharacterized protein
BBA_00070	NW_007930836.1	202677	202685	9	+	10.2041	7.07e-05	1	Promoter (1-2kb)	1	201650	202113	464	1	1027	19883082	XM_008595167.1	XP_008593389.1	uncharacterized protein
BBA_00071	NW_007930836.1	206749	206757	9	-	10.0408	8.73e-05	1	Promoter (1-2kb)	1	204827	207269	2443	1	1930	19883083	XM_008595168.1	XP_008593390.1	nitrate assimilation regulatory protein nirA
BBA_00071	NW_007930836.1	205825	205833	9	+	9.96939	9.74e-05	1	Promoter (<=1kb)	1	204827	207269	2443	1	998	19883083	XM_008595168.1	XP_008593390.1	nitrate assimilation regulatory protein nirA
BBA_00078	NW_007930836.1	228736	228744	9	+	10.6633	3.27e-05	1	Promoter (1-2kb)	1	226883	227794	912	1	1853	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00080	NW_007930836.1	237950	237958	9	-	9.96939	9.74e-05	1	Promoter (<=1kb)	1	237968	238498	531	2	548	19883092	XM_008595177.1	XP_008593399.1	uncharacterized protein
BBA_00080	NW_007930836.1	238597	238605	9	-	10.551	4.49e-05	1	Promoter (<=1kb)	1	237968	238498	531	2	-107	19883092	XM_008595177.1	XP_008593399.1	uncharacterized protein
BBA_00080	NW_007930836.1	237597	237605	9	-	10.1327	7.67e-05	1	Promoter (<=1kb)	1	237968	238498	531	2	901	19883092	XM_008595177.1	XP_008593399.1	uncharacterized protein
BBA_00086	NW_007930836.1	249639	249647	9	-	11.4286	1.06e-05	1	Promoter (<=1kb)	1	249116	250015	900	2	376	19883098	XM_008595183.1	XP_008593405.1	uncharacterized protein
