locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	2327	2335	9	-	11.6147	5.1e-05	0.847	Distal Intergenic	1	3335	3683	349	1	-1008	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00001	NW_007930836.1	666	674	9	-	13.7431	1.63e-05	0.728	Distal Intergenic	1	3335	3683	349	1	-2669	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00004	NW_007930836.1	12031	12039	9	+	11.6147	5.1e-05	0.847	Promoter	1	12136	13042	907	1	-97	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00006	NW_007930836.1	20240	20248	9	-	12.9266	2.72e-05	0.839	Promoter	1	21184	22451	1268	1	-944	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00006	NW_007930836.1	18551	18559	9	-	15.055	8.94e-06	0.694	Exon (XM_008595102.1/BBA_00005, exon 9 of 11)	1	21184	22451	1268	1	-2633	19883018	XM_008595103.1	XP_008593325.1	uncharacterized protein
BBA_00007	NW_007930836.1	23251	23259	9	+	13.3303	2.12e-05	0.798	Promoter	1	23340	25184	1845	1	-81	19883019	XM_008595104.1	XP_008593326.1	iron only hydrogenase large subunit domain-containing protein
BBA_00011	NW_007930836.1	32142	32150	9	-	10.7798	7.95e-05	0.847	Promoter	1	33013	35806	2794	1	-871	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00014	NW_007930836.1	44622	44630	9	-	10.4404	9.09e-05	0.856	Promoter	1	42774	44348	1575	2	-282	19883026	XM_008595111.1	XP_008593333.1	serine/threonine-protein kinase psk1
BBA_00015	NW_007930836.1	46720	46728	9	+	10.9174	7.22e-05	0.847	Promoter	1	45678	47093	1416	2	365	19883027	XM_008595112.1	XP_008593334.1	Transcription regulator cyclin
BBA_00018	NW_007930836.1	56041	56049	9	+	15.4587	4.03e-06	0.664	Promoter	1	55812	56743	932	2	694	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00025	NW_007930836.1	78457	78465	9	+	12.0183	4.21e-05	0.847	Promoter	1	77430	78098	669	2	-359	19883037	XM_008595122.1	XP_008593344.1	uncharacterized protein
BBA_00027	NW_007930836.1	81633	81641	9	+	11.3211	5.84e-05	0.847	Distal Intergenic	1	80124	81112	989	1	1509	19883039	XM_008595124.1	XP_008593346.1	Mitochondrial glycoprotein
BBA_00027	NW_007930836.1	81028	81036	9	-	10.5872	8.28e-05	0.847	Promoter	1	80124	81112	989	1	912	19883039	XM_008595124.1	XP_008593346.1	Mitochondrial glycoprotein
BBA_00030	NW_007930836.1	91073	91081	9	+	13.3303	2.12e-05	0.798	Promoter	1	88075	90170	2096	2	-903	19883042	XM_008595127.1	XP_008593349.1	AMP-binding enzyme, putative
BBA_00033	NW_007930836.1	99246	99254	9	-	11.3211	5.84e-05	0.847	Distal Intergenic	1	102128	105545	3418	1	-2882	19883045	XM_008595130.1	XP_008593352.1	uncharacterized protein
BBA_00034	NW_007930836.1	105923	105931	9	+	10.4404	9.09e-05	0.856	Distal Intergenic	1	106279	108060	1782	2	2129	19883046	XM_008595131.1	XP_008593353.1	group II pyridoxal-5-phosphate decarboxylase
BBA_00039	NW_007930836.1	118585	118593	9	-	13.3303	2.12e-05	0.798	Promoter	1	119294	119569	276	1	-709	19883051	XM_008595136.1	XP_008593358.1	uncharacterized protein
BBA_00040	NW_007930836.1	120893	120901	9	+	14.1468	1.22e-05	0.694	Promoter	1	121573	122736	1164	1	-672	19883052	XM_008595137.1	XP_008593359.1	uncharacterized protein
BBA_00042	NW_007930836.1	126280	126288	9	-	11.3578	5.43e-05	0.847	Promoter	1	125824	127043	1220	1	464	19883054	XM_008595139.1	XP_008593361.1	homoserine acetyltransferase family protein
BBA_00046	NW_007930836.1	132474	132482	9	+	13.3303	2.12e-05	0.798	Promoter	1	133249	134214	966	1	-767	19883058	XM_008595143.1	XP_008593365.1	glucan endo-1,3-beta-glucosidase A1-like protein
BBA_00051	NW_007930836.1	149925	149933	9	-	11.3211	5.84e-05	0.847	Promoter	1	150227	151027	801	1	-302	19883063	XM_008595148.1	XP_008593370.1	uncharacterized protein
BBA_00052	NW_007930836.1	151750	151758	9	+	13.7431	1.63e-05	0.728	Exon (XM_008595149.1/BBA_00052, exon 3 of 3)	1	151356	152775	1420	2	1017	19883064	XM_008595149.1	XP_008593371.1	polysaccharide export protein (CAP59)
BBA_00053	NW_007930836.1	156572	156580	9	+	15.4587	4.03e-06	0.664	Promoter	1	153461	155881	2421	2	-691	19883065	XM_008595150.1	XP_008593372.1	glycosyltransferase family 39
BBA_00054	NW_007930836.1	156990	156998	9	+	13.3303	2.12e-05	0.798	Promoter	1	157526	158122	597	1	-528	19883066	XM_008595151.1	XP_008593373.1	endoribonuclease L-PSP
BBA_00057	NW_007930836.1	162827	162835	9	-	15.055	8.94e-06	0.694	Promoter	1	162045	163104	1060	2	277	19883069	XM_008595154.1	XP_008593376.1	uncharacterized protein
BBA_00059	NW_007930836.1	167314	167322	9	-	13.7431	1.63e-05	0.728	Promoter	1	166586	167842	1257	1	736	19883071	XM_008595156.1	XP_008593378.1	FAD binding domain containing protein
BBA_00059	NW_007930836.1	167284	167292	9	-	11.6147	5.1e-05	0.847	Promoter	1	166586	167842	1257	1	706	19883071	XM_008595156.1	XP_008593378.1	FAD binding domain containing protein
BBA_00060	NW_007930836.1	169277	169285	9	+	10.9174	7.22e-05	0.847	Promoter	1	168317	172112	3796	1	960	19883072	XM_008595157.1	XP_008593379.1	MutS domain V
BBA_00061	NW_007930836.1	174461	174469	9	+	10.9541	6.73e-05	0.847	Exon (XM_008595158.1/BBA_00061, exon 1 of 1)	1	173082	174917	1836	1	1379	19883073	XM_008595158.1	XP_008593380.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative
BBA_00062	NW_007930836.1	175544	175552	9	-	13.7431	1.63e-05	0.728	Exon (XM_008595159.1/BBA_00062, exon 2 of 2)	1	175409	177189	1781	2	1645	19883074	XM_008595159.1	XP_008593381.1	cellobiose dehydrogenase
BBA_00063	NW_007930836.1	178747	178755	9	-	13.3303	2.12e-05	0.798	Promoter	1	178123	178827	705	2	80	19883075	XM_008595160.1	XP_008593382.1	AMP-binding enzyme, putative
BBA_00064	NW_007930836.1	181518	181526	9	+	10.844	7.55e-05	0.847	Distal Intergenic	1	184120	184979	860	1	-2594	19883076	XM_008595161.1	XP_008593383.1	uncharacterized protein
BBA_00065	NW_007930836.1	186037	186045	9	-	10.7798	7.95e-05	0.847	Downstream (<=300bp)	1	186123	187605	1483	2	1568	19883077	XM_008595162.1	XP_008593384.1	major facilitator superfamily transporter
BBA_00065	NW_007930836.1	188273	188281	9	-	11.8991	4.61e-05	0.847	Promoter	1	186123	187605	1483	2	-676	19883077	XM_008595162.1	XP_008593384.1	major facilitator superfamily transporter
BBA_00070	NW_007930836.1	202232	202240	9	-	10.9541	6.73e-05	0.847	Promoter	1	201650	202113	464	1	590	19883082	XM_008595167.1	XP_008593389.1	uncharacterized protein
BBA_00072	NW_007930836.1	211261	211269	9	+	12.633	3.21e-05	0.847	Intron (XM_008595169.1/BBA_00072, intron 1 of 4)	1	208955	214143	5189	1	2306	19883084	XM_008595169.1	XP_008593391.1	C6 transcription factor
BBA_00073	NW_007930836.1	214334	214342	9	-	12.633	3.21e-05	0.847	Promoter	1	214545	215826	1282	1	-211	19883085	XM_008595170.1	XP_008593392.1	methylitaconate delta2-delta3-isomerase
BBA_00073	NW_007930836.1	215885	215893	9	+	10.7798	7.95e-05	0.847	Downstream (<=300bp)	1	214545	215826	1282	1	1340	19883085	XM_008595170.1	XP_008593392.1	methylitaconate delta2-delta3-isomerase
BBA_00076	NW_007930836.1	223011	223019	9	+	12.9266	2.72e-05	0.839	Exon (XM_008595173.1/BBA_00076, exon 5 of 7)	1	221936	224429	2494	2	1410	19883088	XM_008595173.1	XP_008593395.1	thiamine biosynthesis protein (Thi-4)
BBA_00076	NW_007930836.1	223119	223127	9	+	10.844	7.55e-05	0.847	Intron (XM_008595173.1/BBA_00076, intron 4 of 6)	1	221936	224429	2494	2	1302	19883088	XM_008595173.1	XP_008593395.1	thiamine biosynthesis protein (Thi-4)
BBA_00078	NW_007930836.1	226875	226883	9	+	10.7798	7.95e-05	0.847	Promoter	1	226883	227794	912	1	0	19883090	XM_008595175.1	XP_008593397.1	uncharacterized protein
BBA_00087	NW_007930836.1	252215	252223	9	+	15.055	8.94e-06	0.694	Promoter	1	250501	251633	1133	2	-582	19883099	XM_008595184.1	XP_008593406.1	uncharacterized protein
BBA_00088	NW_007930836.1	256296	256304	9	+	14.1468	1.22e-05	0.694	Promoter	1	254907	257196	2290	2	892	19883100	XM_008595185.1	XP_008593407.1	C6 finger domain protein
BBA_00091	NW_007930836.1	266859	266867	9	+	15.055	8.94e-06	0.694	Promoter	1	267128	270120	2993	1	-261	19883103	XM_008595188.1	XP_008593410.1	15-hydroxyprostaglandin dehydrogenase (NAD(+))
BBA_00091	NW_007930836.1	267080	267088	9	+	15.4587	4.03e-06	0.664	Promoter	1	267128	270120	2993	1	-40	19883103	XM_008595188.1	XP_008593410.1	15-hydroxyprostaglandin dehydrogenase (NAD(+))
BBA_00091	NW_007930836.1	267748	267756	9	-	10.5872	8.28e-05	0.847	Promoter	1	267128	270120	2993	1	628	19883103	XM_008595188.1	XP_008593410.1	15-hydroxyprostaglandin dehydrogenase (NAD(+))
BBA_00095	NW_007930836.1	276233	276241	9	-	10.844	7.55e-05	0.847	Promoter	1	277109	278999	1891	1	-876	19883107	XM_008595192.1	XP_008593414.1	oxidoreductase molybdopterin binding domain-containing protein
BBA_00102	NW_007930836.1	299906	299914	9	+	13.7431	1.63e-05	0.728	Promoter	1	299134	299745	612	1	772	19883114	XM_008595199.1	XP_008593421.1	ATP-binding protein
BBA_00104	NW_007930836.1	302979	302987	9	-	11.1651	6.33e-05	0.847	Distal Intergenic	1	303694	304524	831	2	1545	19883116	XM_008595201.1	XP_008593423.1	uncharacterized protein
