"seqnames","start","end","width","strand","score","p_value","q_value","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","distanceToTSS","GeneID","transcript_id","protein_id"
"NW_007930977.1",785,794,10,"+",10.3081,7.46e-07,1,"Promoter (1-2kb)",138,676,2011,1336,2,"BBA_10341",1217,NA,NA,NA
"NW_007930906.1",46194,46203,10,"-",10.3081,7.46e-07,1,"Promoter (<=1kb)",71,44446,46074,1629,2,"BBA_09858",-129,NA,NA,NA
"NW_007930863.1",46421,46430,10,"+",10.3081,7.46e-07,1,"Promoter (<=1kb)",28,43967,46089,2123,2,"BBA_07787",-332,NA,NA,NA
"NW_007930880.1",47183,47192,10,"-",10.3081,7.46e-07,1,"Promoter (<=1kb)",45,47687,48213,527,1,"BBA_09090",-504,NA,NA,NA
"NW_007930887.1",76098,76107,10,"+",10.3081,7.46e-07,1,"Promoter (2-3kb)",52,76374,78753,2380,2,"BBA_09388",2646,NA,NA,NA
"NW_007930873.1",124624,124633,10,"+",10.3081,7.46e-07,1,"Promoter (1-2kb)",38,123411,124004,594,1,"BBA_08688",1213,NA,NA,NA
"NW_007930877.1",148627,148636,10,"-",10.3081,7.46e-07,1,"Promoter (1-2kb)",42,150077,150757,681,1,"BBA_08943",-1450,NA,NA,NA
"NW_007930843.1",148806,148815,10,"-",10.3081,7.46e-07,1,"Promoter (<=1kb)",8,148402,148833,432,1,"BBA_03679",413,NA,NA,NA
"NW_007930848.1",171792,171801,10,"+",10.3081,7.46e-07,1,"Promoter (<=1kb)",13,172330,173277,948,1,"BBA_05170",-529,NA,NA,NA
"NW_007930869.1",178656,178665,10,"-",10.3081,7.46e-07,1,"Promoter (1-2kb)",34,177177,177943,767,1,"BBA_08403",1488,NA,NA,NA
"NW_007930849.1",189595,189604,10,"+",10.3081,7.46e-07,1,"Promoter (<=1kb)",14,189093,190196,1104,2,"BBA_05404",592,NA,NA,NA
"NW_007930853.1",215315,215324,10,"-",10.3081,7.46e-07,1,"Promoter (1-2kb)",18,217218,218648,1431,1,"BBA_06272",-1903,NA,NA,NA
"NW_007930842.1",237380,237389,10,"+",10.3081,7.46e-07,1,"Promoter (<=1kb)",7,235241,236494,1254,2,"BBA_03289",-886,NA,NA,NA
"NW_007930852.1",239952,239961,10,"-",10.3081,7.46e-07,1,"Promoter (1-2kb)",17,238529,240017,1489,1,"BBA_06088",1432,NA,NA,NA
"NW_007930841.1",262053,262062,10,"+",10.3081,7.46e-07,1,"Promoter (1-2kb)",6,260678,263749,3072,1,"BBA_02833",1375,NA,NA,NA
"NW_007930842.1",266809,266818,10,"+",10.3081,7.46e-07,1,"Promoter (<=1kb)",7,267368,268962,1595,1,"BBA_03303",-550,NA,NA,NA
"NW_007930851.1",268837,268846,10,"-",10.3081,7.46e-07,1,"Promoter (<=1kb)",16,267509,269279,1771,2,"BBA_05893",442,NA,NA,NA
"NW_007930853.1",276079,276088,10,"-",10.3081,7.46e-07,1,"Promoter (<=1kb)",18,274879,275718,840,2,"BBA_06285",-370,NA,NA,NA
