locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00001	NW_007930836.1	2162	2168	7	-	13.4268	7.93e-05	1	Distal Intergenic	1	3335	3683	349	1	-1173	19883013	XM_008595098.1	XP_008593320.1	uncharacterized protein
BBA_00004	NW_007930836.1	12711	12717	7	-	13.4268	7.93e-05	1	Promoter	1	12136	13042	907	1	581	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00005	NW_007930836.1	15206	15212	7	-	13.4268	7.93e-05	1	Promoter	1	15330	20029	4700	1	-124	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00036	NW_007930836.1	111817	111823	7	+	13.4268	7.93e-05	1	Promoter	1	110439	111308	870	2	-509	19883048	XM_008595133.1	XP_008593355.1	Ras family protein
BBA_00037	NW_007930836.1	113272	113278	7	+	13.4268	7.93e-05	1	Promoter	1	113425	114147	723	2	869	19883049	XM_008595134.1	XP_008593356.1	gp24-like protein
BBA_00049	NW_007930836.1	143323	143329	7	-	13.4268	7.93e-05	1	Distal Intergenic	1	140006	141980	1975	2	-1349	19883061	XM_008595146.1	XP_008593368.1	transporter-like protein
BBA_00052	NW_007930836.1	152171	152177	7	+	13.4268	7.93e-05	1	Promoter	1	151356	152775	1420	2	598	19883064	XM_008595149.1	XP_008593371.1	polysaccharide export protein (CAP59)
BBA_00059	NW_007930836.1	166207	166213	7	-	13.4268	7.93e-05	1	Promoter	1	166586	167842	1257	1	-379	19883071	XM_008595156.1	XP_008593378.1	FAD binding domain containing protein
BBA_00071	NW_007930836.1	203714	203720	7	-	13.4268	7.93e-05	1	Distal Intergenic	1	204827	207269	2443	1	-1113	19883083	XM_008595168.1	XP_008593390.1	nitrate assimilation regulatory protein nirA
BBA_00072	NW_007930836.1	207870	207876	7	-	13.4268	7.93e-05	1	Distal Intergenic	1	208955	214143	5189	1	-1085	19883084	XM_008595169.1	XP_008593391.1	C6 transcription factor
