locus_tag	seqnames	start	end	width	strand	score	p_value	q_value	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	distanceToTSS	GeneID	transcript_id	protein_id	product
BBA_00002	NW_007930836.1	7517	7526	10	-	9.04865	2e-05	1	Promoter (<=1kb)	1	5664	7104	1441	2	-422	19883014	XM_008595099.1	XP_008593321.1	ABC transporter
BBA_00003	NW_007930836.1	10480	10489	10	-	8.88649	2.94e-05	1	Promoter (1-2kb)	1	8108	8869	762	2	-1620	19883015	XM_008595100.1	XP_008593322.1	uncharacterized protein
BBA_00004	NW_007930836.1	11230	11239	10	+	8.33514	7.89e-05	1	Promoter (<=1kb)	1	12136	13042	907	1	-897	19883016	XM_008595101.1	XP_008593323.1	cell wall associated protein
BBA_00005	NW_007930836.1	16927	16936	10	+	8.29189	8.68e-05	1	Promoter (1-2kb)	1	15330	20029	4700	1	1597	19883017	XM_008595102.1	XP_008593324.1	ABC transporter transmembrane region
BBA_00009	NW_007930836.1	26838	26847	10	-	9.65405	4.96e-06	1	Promoter (<=1kb)	1	26627	26932	306	1	220	19883021	XM_008595106.1	XP_008593328.1	uncharacterized protein
BBA_00011	NW_007930836.1	31830	31839	10	+	8.95676	2.33e-05	1	Promoter (1-2kb)	1	33013	35806	2794	1	-1174	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00011	NW_007930836.1	34814	34823	10	+	8.23784	9.7e-05	1	Promoter (1-2kb)	1	33013	35806	2794	1	1801	19883023	XM_008595108.1	XP_008593330.1	serine/threonine-protein kinase sck1
BBA_00013	NW_007930836.1	40893	40902	10	+	8.27027	9.13e-05	1	Promoter (<=1kb)	1	38580	39928	1349	2	-965	19883025	XM_008595110.1	XP_008593332.1	cellobiose dehydrogenase, putative
BBA_00016	NW_007930836.1	48851	48860	10	+	8.34054	7.78e-05	1	Promoter (<=1kb)	1	47545	49098	1554	2	238	19883028	XM_008595113.1	XP_008593335.1	U4/U6 small nuclear ribonucleoprotein Prp4
BBA_00018	NW_007930836.1	55717	55726	10	+	8.39459	7.17e-05	1	Promoter (1-2kb)	1	55812	56743	932	2	1017	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
BBA_00018	NW_007930836.1	55961	55970	10	-	8.23243	9.93e-05	1	Promoter (<=1kb)	1	55812	56743	932	2	782	19883030	XM_008595115.1	XP_008593337.1	2OG-Fe(II) oxygenase family Oxidoreductase
