# SignalP-6.0	Organism: Other	Timestamp: 20250304234652
# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position
XP_008593322.1 uncharacterized protein BBA_00003 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593323.1 cell wall associated protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593324.1 ABC transporter transmembrane region _Beauveria bassiana ARSEF 2860_	OTHER	0.999665	0.000326	0.000003	0.000001	0.000001	0.000003	
XP_008593330.1 serine_threonine-protein kinase sck1 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000004	0.000000	0.000000	0.000000	0.000000	
XP_008593331.1 ATP synthase H chain _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593332.1 cellobiose dehydrogenase, putative _Beauveria bassiana ARSEF 2860_	OTHER	0.587828	0.411372	0.000164	0.000306	0.000168	0.000169	
XP_008593333.1 serine_threonine-protein kinase psk1 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593334.1 Transcription regulator cyclin _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593336.1 ABC transporter _Beauveria bassiana ARSEF 2860_	OTHER	0.999985	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593338.1 tat pathway signal sequence _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593339.1 glycerate dehydrogenase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593340.1 LSM domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	0.999773	0.000259	0.000006	0.000001	0.000000	0.000001	
XP_008593344.1 uncharacterized protein BBA_00025 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593345.1 uncharacterized protein BBA_00026 _Beauveria bassiana ARSEF 2860_	OTHER	0.999696	0.000308	0.000001	0.000000	0.000000	0.000005	
XP_008593346.1 Mitochondrial glycoprotein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593347.1 oxysterol-binding family protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593348.1 pumilio-family RNA binding repeat domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593349.1 AMP-binding enzyme, putative _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593351.1 uncharacterized protein BBA_00032 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593352.1 uncharacterized protein BBA_00033 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593353.1 group II pyridoxal-5-phosphate decarboxylase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000003	0.000000	0.000000	0.000000	0.000000	
XP_008593356.1 gp24-like protein _Beauveria bassiana ARSEF 2860_	SP	0.000305	0.999033	0.000166	0.000178	0.000156	0.000146	CS pos: 18-19. Pr: 0.9708
XP_008593357.1 AMME syndrome protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593358.1 uncharacterized protein BBA_00039 _Beauveria bassiana ARSEF 2860_	SP	0.000353	0.998865	0.000209	0.000211	0.000179	0.000160	CS pos: 23-24. Pr: 0.9681
XP_008593359.1 uncharacterized protein BBA_00040 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000007	0.000000	0.000000	0.000000	0.000000	
XP_008593361.1 homoserine acetyltransferase family protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000008	0.000000	0.000000	0.000000	0.000000	
XP_008593364.1 uncharacterized protein BBA_00045 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593366.1 Cel5b-like protein _Beauveria bassiana ARSEF 2860_	OTHER	0.692389	0.307012	0.000193	0.000150	0.000129	0.000146	
XP_008593368.1 transporter-like protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593369.1 Cys2-His2 zinc finger transcription factor ACEI _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593370.1 uncharacterized protein BBA_00051 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593371.1 polysaccharide export protein _CAP59_ _Beauveria bassiana ARSEF 2860_	OTHER	0.999955	0.000040	0.000000	0.000000	0.000000	0.000000	
XP_008593374.1 ARP2_3 actin-organizing complex subunit Sop2 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000007	0.000000	0.000000	0.000000	0.000000	
XP_008593375.1 uncharacterized protein BBA_00056 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593376.1 uncharacterized protein BBA_00057 _Beauveria bassiana ARSEF 2860_	SP	0.000326	0.999040	0.000152	0.000166	0.000147	0.000147	CS pos: 17-18. Pr: 0.9776
XP_008593377.1 diphthamide biosynthesis protein 2 _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593380.1 3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
XP_008593384.1 major facilitator superfamily transporter _Beauveria bassiana ARSEF 2860_	OTHER	0.998311	0.001553	0.000077	0.000009	0.000006	0.000042	
XP_008593385.1 Phosphotransferase enzyme family domain protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593386.1 2-nitropropane dioxygenase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593389.1 uncharacterized protein BBA_00070 _Beauveria bassiana ARSEF 2860_	OTHER	0.971814	0.006608	0.002971	0.000060	0.000028	0.018521	
XP_008593391.1 C6 transcription factor _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593392.1 methylitaconate delta2-delta3-isomerase _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593393.1 von Willebrand domain-containing protein _Beauveria bassiana ARSEF 2860_	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XP_008593395.1 thiamine biosynthesis protein _Thi-4_ _Beauveria bassiana ARSEF 2860_	SP	0.000659	0.998483	0.000205	0.000233	0.000206	0.000190	CS pos: 18-19. Pr: 0.9748
