#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2EAE088790AD6DCE-3EE7D8FB07EFAFBC
#datatype	hitsStandard Results
#status	0
#Start time	2025-03-07T12:21:46	Run time	0:00:00:34
#status	Warning: Too many queries.	msg	Error(s) occurred during search, the result may be incomplete

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >XP_008593388.1 metalloprotease MEP1 [Beauveria bassiana ARSEF 2860]	non-specific	239802	54	274	8.41771e-45	150.953	cd04275	ZnMc_pappalysin_like	 - 	cl00064
Q#1 - >XP_008593388.1 metalloprotease MEP1 [Beauveria bassiana ARSEF 2860]	superfamily	469599	54	274	8.41771e-45	150.953	cl00064	ZnMc superfamily	 - 	 - 
Q#1 - >XP_008593388.1 metalloprotease MEP1 [Beauveria bassiana ARSEF 2860]	non-specific	368506	186	269	0.00164053	37.9786	pfam05572	Peptidase_M43	N	cl00064
Q#2 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	non-specific	441213	67	132	1.13952e-08	51.6898	COG1605	PheA	C	cl43464
Q#2 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	superfamily	441213	67	132	1.13952e-08	51.6898	cl43464	PheA superfamily	C	 - 
Q#2 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	specific	214841	76	137	7.20928e-07	44.8769	smart00830	CM_2	C	cl00693
Q#2 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	superfamily	469881	76	137	7.20928e-07	44.8769	cl00693	CM_2 superfamily	C	 - 
Q#2 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	specific	460345	76	120	7.72831e-07	44.7915	pfam01817	CM_2	C	cl47697
Q#2 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	superfamily	460345	76	120	7.72831e-07	44.7915	cl47697	CM_2 superfamily	C	 - 
Q#2 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	non-specific	130851	72	122	0.00062839	37.0215	TIGR01791	CM_archaeal	C	cl00693
Q#2 - >XP_008593399.1 uncharacterized protein BBA_00080 [Beauveria bassiana ARSEF 2860]	non-specific	180509	65	122	0.00196211	35.7822	PRK06285	PRK06285	C	cl00693
Q#5 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	specific	431198	217	430	8.71861e-120	349.203	pfam10287	YJL171C_Tos1_C	 - 	cl10966
Q#5 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	superfamily	431198	217	430	8.71861e-120	349.203	cl10966	YJL171C_Tos1_C superfamily	 - 	 - 
Q#5 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	specific	463045	44	101	9.20935e-28	104.889	pfam10290	YJL171C_Tos1_N	 - 	cl10969
Q#5 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	superfamily	463045	44	101	9.20935e-28	104.889	cl10969	YJL171C_Tos1_N superfamily	 - 	 - 
Q#5 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	non-specific	441874	334	391	2.95168e-05	45.3648	COG2273	BglS	NC	cl34454
Q#5 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	superfamily	441874	334	391	2.95168e-05	45.3648	cl34454	BglS superfamily	NC	 - 
Q#5 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	non-specific	185693	334	379	0.00630907	38.3746	cd08023	GH16_laminarinase_like	NC	cl22861
Q#5 - >XP_008593626.1 Protein of unknown function DUF2401, secretory [Beauveria bassiana ARSEF 2860]	superfamily	473984	334	379	0.00630907	38.3746	cl22861	LamG superfamily	NC	 - 
Q#6 - >XP_008593849.1 Hydrophobin 2 [Beauveria bassiana ARSEF 2860]	specific	429109	232	296	5.19679e-31	110.804	pfam06766	Hydrophobin_2	 - 	cl06022
Q#6 - >XP_008593849.1 Hydrophobin 2 [Beauveria bassiana ARSEF 2860]	superfamily	429109	232	296	5.19679e-31	110.804	cl06022	Hydrophobin_2 superfamily	 - 	 - 
Q#6 - >XP_008593849.1 Hydrophobin 2 [Beauveria bassiana ARSEF 2860]	specific	438004	232	294	9.73979e-27	99.7024	cd23508	hydrophobin_II	 - 	cl45889
Q#6 - >XP_008593849.1 Hydrophobin 2 [Beauveria bassiana ARSEF 2860]	superfamily	459234	232	294	9.73979e-27	99.7024	cl45889	hydrophobin superfamily	 - 	 - 
Q#6 - >XP_008593849.1 Hydrophobin 2 [Beauveria bassiana ARSEF 2860]	specific	429109	97	138	3.62337e-14	66.1205	pfam06766	Hydrophobin_2	N	cl06022
Q#6 - >XP_008593849.1 Hydrophobin 2 [Beauveria bassiana ARSEF 2860]	superfamily	429109	97	138	3.62337e-14	66.1205	cl06022	Hydrophobin_2 superfamily	N	 - 
Q#6 - >XP_008593849.1 Hydrophobin 2 [Beauveria bassiana ARSEF 2860]	specific	438004	95	138	7.48635e-13	62.338	cd23508	hydrophobin_II	N	cl45889
Q#6 - >XP_008593849.1 Hydrophobin 2 [Beauveria bassiana ARSEF 2860]	superfamily	459234	95	138	7.48635e-13	62.338	cl45889	hydrophobin superfamily	N	 - 
Q#6 - >XP_008593849.1 Hydrophobin 2 [Beauveria bassiana ARSEF 2860]	non-specific	236090	29	218	0.000955816	40.7397	PRK07764	PRK07764	N	cl35613
Q#6 - >XP_008593849.1 Hydrophobin 2 [Beauveria bassiana ARSEF 2860]	superfamily	236090	29	218	0.000955816	40.7397	cl35613	PRK07764 superfamily	N	 - 
Q#9 - >XP_008593974.1 amidohydrolase-like protein [Beauveria bassiana ARSEF 2860]	specific	440841	20	372	5.17046e-67	217.521	COG1228	HutI	 - 	cl43362
Q#9 - >XP_008593974.1 amidohydrolase-like protein [Beauveria bassiana ARSEF 2860]	superfamily	440841	20	372	5.17046e-67	217.521	cl43362	HutI superfamily	 - 	 - 
Q#9 - >XP_008593974.1 amidohydrolase-like protein [Beauveria bassiana ARSEF 2860]	non-specific	238624	65	356	3.85389e-42	151.292	cd01299	Met_dep_hydrolase_A	 - 	cl00281
